---------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                   |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                   |              |                             |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------
       |                                   |              |      0.000   -  109812.233  |  4 - 2  | 2.92e+07  | D+   |    |
       |                                   |              |      0.000   -  109926.661  |  4 - 6  | 2.93e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    16 |         2s2.2p3 - 2s2.2p2.(3P).4d |   4S* - 4P   |      0       -  110315.896  |  4 - 12 | 9.98e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  110350.014  |  4 - 2  | 9.99e+07  | D+   |    |
       |                                   |              |      0.000   -  110322.721  |  4 - 4  | 9.99e+07  | D+   |    |
       |                                   |              |      0.000   -  110299.974  |  4 - 6  | 9.98e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    17 |         2s2.2p3 - 2s2.2p2.(3P).6s |   4S* - 4P   |      0       -  112638.144  |  4 - 12 | 1.51e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  112565.470  |  4 - 2  | 1.51e+07  | D+   |    |
       |                                   |              |      0.000   -  112609.612  |  4 - 4  | 1.51e+07  | D+   |    |
       |                                   |              |      0.000   -  112681.389  |  4 - 6  | 1.51e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    18 |         2s2.2p3 - 2s2.2p2.(3P).5d |   4S* - 4P   |      0       -  112836.61   |  4 - 12 | 5.58e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  112870.27   |  4 - 2  | 5.58e+07  | D+   |    |
       |                                   |              |      0.000   -  112838.02   |  4 - 4  | 5.58e+07  | D+   |    |
       |                                   |              |      0.000   -  112824.459  |  4 - 6  | 5.58e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    19 |         2s2.2p3 - 2s2.2p2.(3P).7s |   4S* - 4P   |      0       -  114101.422  |  4 - 12 | 8.80e+06  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  114026.654  |  4 - 2  | 8.78e+06  | D    |    |
       |                                   |              |      0.000   -  114071.153  |  4 - 4  | 8.79e+06  | D+   |    |
       |                                   |              |      0.000   -  114146.525  |  4 - 6  | 8.81e+06  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    20 |         2s2.2p3 - 2s2.2p2.(3P).6d |   4S* - 4P   |      0       -  114204.1    |  4 - 12 | 3.39e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  114249.5    |  4 - 2  | 3.40e+07  | D+   |    |
       |                                   |              |      0.000   -  114200.0    |  4 - 4  | 3.39e+07  | D+   |    |
       |                                   |              |      0.000   -  114191.6    |  4 - 6  | 3.39e+07  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    21 |         2s2.2p3 - 2s2.2p2.(3P).8s |   4S* - 4P   |      0       -  114972.7    |  4 - 12 | 5.55e+06  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  114894.0    |  4 - 2  | 5.54e+06  | D    |    |
       |                                   |              |      0.000   -  114939.1    |  4 - 4  | 5.55e+06  | D    |    |
       |                                   |              |      0.000   -  115021.3    |  4 - 6  | 5.56e+06  | D+   |    |
       |                                   |              |                             |         |           |      |    |
    22 |         2s2.2p3 - 2s2.2p2.(3P).9s |   4S* - 4P   |      0       -  115528.4    |  4 - 12 | 3.74e+06  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -  115449.5    |  4 - 2  | 3.73e+06  | E    |    |
       |                                   |              |      0.000   -  115495.5    |  4 - 4  | 3.74e+06  | D    |    |
       |                                   |              |      0.000   -  115576.6    |  4 - 6  | 3.74e+06  | D    |    |
       |                                   |              |                             |         |           |      |    |
    23 |         2s2.2p3 - 2s2.2p3         |   2D* - 2D*  |                             |         |           |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -   19233.177  |  6 - 4  | 1.07e-08  | A    | M1 |
       |                                   |              |                             |         |           |      |    |
    24 |                                   |   2D* - 2P*  |                             |         |           |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -   28839.306  |  6 - 4  | 1.02e-03  | C    | M1 |
       |                                   |              |  19224.464   -   28839.306  |  6 - 4  | 6.0e-02   | C    | E2 |
       |                                   |              |  19224.464   -   28838.920  |  6 - 2  | 3.45e-02  | C    | E2 |
       |                                   |              |  19233.177   -   28839.306  |  4 - 4  | 1.81e-03  | C    | M1 |
       |                                   |              |  19233.177   -   28839.306  |  4 - 4  | 2.56e-02  | C    | E2 |
       |                                   |              |  19233.177   -   28838.920  |  4 - 2  | 1.13e-03  | C    | M1 |
       |                                   |              |  19233.177   -   28838.920  |  4 - 2  | 5.2e-02   | C    | E2 |
       |                                   |              |                             |         |           |      |    |
    25 |         2s2.2p3 - 2s2.2p2.(3P).3s |   2D* - 2P   |  19227.949   -   86192.79   | 10 - 6  | 3.44e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -   86137.350  |  4 - 2  | 3.46e+08  | B+   |    |
       |                                   |              |  19233.177   -   86220.510  |  4 - 4  | 3.26e+07  | B+   |    |
       |                                   |              |  19224.464   -   86220.510  |  6 - 4  | 3.11e+08  | B+   |    |
       |                                   |              |                             |         |           |      |    |
