# MacLean AIAA-Paper 2004-0529 Figure 6
# L=101.7 mm    free-stream 0.5*rho*u**3=5.3876 MW/m**2
# x/L           Ch
0.179189379286  0.00557851239669
0.24296641463  0.00495867768595
0.268419201688  0.00402892561983
0.366247582205  0.00351239669421
0.417285036047  0.00320247933884
0.468331281871  0.0029958677686
0.557675400035  0.00278925619835
0.583233690874  0.00309917355372
0.625672586601  0.00175619834711
0.655424652717  0.00134297520661
0.676666080535  0.000929752066116
0.706462106559  0.00103305785124
0.727729910322  0.000929752066116
0.757499560401  0.000723140495868
0.778793740109  0.000929752066116
0.808589766133  0.00103305785124
0.825611042729  0.00103305785124
0.855398276772  0.00103305785124
0.906453314577  0.000929752066116
0.927756286267  0.00123966942149
0.961772463513  0.000929752066116
0.978828908036  0.00134297520661
1.04699314225  0.00227272727273
1.08109723932  0.0029958677686
1.10684016177  0.00547520661157
1.13648672411  0.00382231404959
1.1791366274  0.00495867768595
1.20929312467  0.00929752066116
1.23915069457  0.0101239669421
1.28204677334  0.014152892562
1.3123087744  0.0197314049587
1.33813082469  0.0231404958678
1.36809389836  0.0252066115702
1.4164410058  0.0432851239669
1.52084578864  0.020041322314
1.48656585194  0.0172520661157
1.58881659926  0.0186983471074
1.68660981185  0.0177685950413
1.71629154211  0.0165289256198
1.74604360823  0.0161157024793
1.77573413047  0.014979338843
1.85233866714  0.0150826446281
1.8863460524  0.0146694214876
1.91615087041  0.0148760330579
1.94593810445  0.0148760330579
1.97994548971  0.0144628099174
2.01822577809  0.0142561983471
2.0523562511  0.0152892561983
2.08207314929  0.0144628099174
