# MacLean AIAA-Paper 2004-0529 Figure 6
# L=101.7 mm    free-stream 0.5*rho*u**2=2338.4 Pa
# x/L           Cp
0.472375593459  0.0123966942149
0.519210480042  0.0198347107438
0.681106031299  0.0743801652893
0.736460348162  0.0842975206612
0.787532969931  0.0867768595041
0.84712502198  0.0917355371901
0.898162475822  0.0842975206612
0.945058906277  0.109090909091
1.0768770881  0.0818181818182
1.12803762968  0.109090909091
1.18780552136  0.163636363636
1.23919465448  0.255371900826
1.30343766485  0.371900826446
1.35095832601  0.572727272727
1.41184279937  0.942148760331
1.45922278882  1.10330578512
1.51327589239  0.746280991736
1.55109020573  0.609917355372
1.62301740812  0.493388429752
1.66978195885  0.480991735537
1.72943555477  0.503305785124
1.78049059258  0.500826446281
1.84436433972  0.513223140496
1.88692632319  0.515702479339
1.94643924741  0.498347107438
2.04859328293  0.505785123967
