-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
       |                                 |              |    130.8    -  186511.58  |  5 - 5  | 2.35e+06  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    13 |                                 |   3P  - 1D*  |    100      -  187091.37  |  9 - 5  | 5.03e+06  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     48.7    -  187091.37  |  3 - 5  | 4.96e+06  | B    |    |
       |                                 |              |    130.8    -  187091.37  |  5 - 5  | 7.14e+04  | B    |    |
       |                                 |              |                           |         |           |      |    |
    14 |                                 |   3P  - 3D*  |     88.9    -  187470.92  |  9 - 15 | 4.24e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  187491.90  |  5 - 7  | 4.24e+09  | B+   |    |
       |                                 |              |     48.7    -  187461.56  |  3 - 5  | 3.29e+09  | B+   |    |
       |                                 |              |      0.0    -  187437.56  |  1 - 3  | 2.46e+09  | B+   |    |
       |                                 |              |    130.8    -  187461.56  |  5 - 5  | 9.35e+08  | B+   |    |
       |                                 |              |     48.7    -  187437.56  |  3 - 3  | 1.70e+09  | B+   |    |
       |                                 |              |    130.8    -  187437.56  |  5 - 3  | 9.54e+07  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    15 |                                 |   3P  - 3P*  |     88.9    -  188883.51  |  9 - 9  | 2.44e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  188857.37  |  5 - 5  | 1.96e+09  | B+   |    |
       |                                 |              |     48.7    -  188909.17  |  3 - 3  | 6.86e+08  | B+   |    |
       |                                 |              |    130.8    -  188909.17  |  5 - 3  | 1.04e+09  | B+   |    |
       |                                 |              |     48.7    -  188937.24  |  3 - 1  | 2.44e+09  | B+   |    |
       |                                 |              |     48.7    -  188857.37  |  3 - 5  | 4.83e+08  | B+   |    |
       |                                 |              |      0.0    -  188909.17  |  1 - 3  | 7.17e+08  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    16 |                                 |   3P  - 1F*  |    130.8    -  189335.16  |  9 - 7  | 1.86e+06  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  189335.16  |  5 - 7  | 1.86e+06  | B    |    |
       |                                 |              |                           |         |           |      |    |
    17 |                                 |   3P  - 1P*  |     88.9    -  190120.24  |  9 - 3  | 4.62e+06  |      |    |
