-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
2s2.2p5.(2P*<1/2>).5p  | 2[1/2]    |   0 |             168586.8304    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6s  | 2[3/2]*   |   2 |             168924.6500    |
                       |           |   1 |             168967.3526    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5d  | 2[1/2]*   |   0 |             169482.9862    |
                       |           |   1 |             169488.4193    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5d  | 2[7/2]*   |   4 |             169501.6353    |
                       |           |   3 |             169502.2893    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5d  | 2[3/2]*   |   2 |             169508.5627    |
                       |           |   1 |             169516.9948    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5d  | 2[5/2]*   |   2 |             169526.2708    |
                       |           |   3 |             169526.8869    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5f  | 2[3/2]    |   1 |             169530.4673    |
                       |           |   2 |             169530.4862    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5f  | 2[9/2]    |   4 |             169534.3826    |
                       |           |   5 |             169534.3865    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5g  | 2[5/2]*   |   2 |             169536.8397    |
                       |           |   3 |             169536.8424    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5g  | 2[11/2]*  |   5 |             169538.2097    |
                       |           |   6 |             169538.2168    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5f  | 2[5/2]    |   3 |             169538.9668    |
                       |           |   2 |             169538.9794    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5g  | 2[7/2]*   |   3 |             169540.8092    |
                       |           |   4 |             169540.8134    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5g  | 2[9/2]*   |   4 |             169542.1973    |
                       |           |   5 |             169542.2039    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).5f  | 2[7/2]    |   3 |             169542.9742    |
                       |           |   4 |             169542.9772    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6s  | 2[1/2]*   |   0 |             169705.9275    |
                       |           |   1 |             169727.6312    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6p  | 2[1/2]    |   1 |             169748.1423    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6p  | 2[5/2]    |   3 |             169797.1890    |
                       |           |   2 |             169814.642     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6p  | 2[3/2]    |   1 |             169839.4581    |
                       |           |   2 |             169843.7973    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6p  | 2[1/2]    |   0 |             169976.7100    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5d  | 2[3/2]*   |   2 |             170288.9415    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5d  | 2[5/2]*   |   2 |             170289.3243    |
                       |           |   3 |             170289.6782    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5d  | 2[3/2]*   |   1 |             170296.0099    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5f  | 2[7/2]    |   3 |             170317.6829    |
                       |           |   4 |             170317.6884    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5f  | 2[5/2]    |   3 |             170317.7465    |
                       |           |   2 |             170317.7594    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5g  | 2[9/2]*   |   5 |             170320.1034    |
                       |           |   4 |             170320.1041    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).5g  | 2[7/2]*   |   4 |             170320.1185    |
                       |           |   3 |             170320.1301    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7s  | 2[3/2]*   |   2 |             170532.7169    |
                       |           |   1 |             170557.0484    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6p  | 2[1/2]    |   1 |             170578.3503    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6p  | 2[3/2]    |   1 |             170585.10      |
                       |           |   2 |             170597.2023    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6p  | 2[1/2]    |   0 |             170689.3736    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6d  | 2[1/2]*   |   0 |             170848.274     |
                       |           |   1 |             170851.3105    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6d  | 2[7/2]*   |   4 |             170858.4673    |
