----------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations                 |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                          |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                          |              |                             |         |           |      |    |
----------------------------------------------------------------------------------------------------------------------------------
    12 |          2s2.2p4 - 2s2.2p3.(4S*).6s      |   3P  - 3S*  |     77.975   -  105165.232  |  9 - 3  | 3.48e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  105165.232  |  5 - 3  | 1.94e+07  | C    |    |
       |                                          |              |    158.265   -  105165.232  |  3 - 3  | 1.16e+07  | C    |    |
       |                                          |              |    226.977   -  105165.232  |  1 - 3  | 3.85e+06  | C    |    |
       |                                          |              |                             |         |           |      |    |
    13 |          2s2.2p4 - 2s2.2p3.(4S*).5d      |   3P  - 3D*  |     77.975   -  105409.008  |  9 - 15 | 2.80e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  105409.008  |  5 - 5  | 7.02e+06  | C    |    |
       |                                          |              |      0.000   -  105409.008  |  5 - 3  | 7.80e+05  | D    |    |
       |                                          |              |      0.000   -  105409.008  |  5 - 7  | 2.81e+07  | C+   |    |
       |                                          |              |    158.265   -  105409.008  |  3 - 5  | 2.10e+07  | C+   |    |
       |                                          |              |    226.977   -  105409.008  |  1 - 3  | 1.55e+07  | C    |    |
       |                                          |              |    158.265   -  105409.008  |  3 - 3  | 1.16e+07  | C    |    |
       |                                          |              |                             |         |           |      |    |
    14 |          2s2.2p4 - 2s2.2p3.(4S*).7s      |   3P  - 3S*  |     77.975   -  106627.934  |  9 - 3  | 1.99e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  106627.934  |  5 - 3  | 1.11e+07  | C    |    |
       |                                          |              |    158.265   -  106627.934  |  3 - 3  | 6.63e+06  | C    |    |
       |                                          |              |    226.977   -  106627.934  |  1 - 3  | 2.21e+06  | D    |    |
       |                                          |              |                             |         |           |      |    |
