------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
    15 | 3s2.3p5.(2P*<3/2>).4s - 3s2.3p5.(2P*<1/2>).5p  |  2[3/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93143.7600   -  118469.0508  |  5 - 5  | 5.6e+04   | C    |    |
       |                                                |                    |  93750.5978   -  118469.0508  |  3 - 5  | 3.33e+05  | C    |    |
       |                                                |                    |  93750.5978   -  118407.4303  |  3 - 3  | 2.7e+04   | C    |    |
       |                                                |                    |                               |         |           |      |    |
    16 |                                                |  2[3/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93143.7600   -  118459.5975  |  5 - 3  | 4.55e+05  | C    |    |
       |                                                |                    |  93750.5978   -  118459.5975  |  3 - 3  | 4.1e+04   | C    |    |
       |                                                |                    |                               |         |           |      |    |
    17 | 3s2.3p5.(2P*<3/2>).4s - 3s2.3p5.(2P*<3/2>).6p  |  2[3/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93750.5978   -  121470.238   |  3 - 1  | 7.6e+05   | D    |    |
       |                                                |                    |  93750.5978   -  121068.736   |  3 - 3  | 4.4e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    18 |                                                |  2[3/2]* - 2[5/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93143.7600   -  121165.367   |  5 - 7  | 1.1e+05   | D    |    |
       |                                                |                    |  93750.5978   -  121191.805   |  3 - 5  | 2.4e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    19 |                                                |  2[3/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93143.7600   -  121270.617   |  5 - 5  | 2.7e+05   | D    |    |
       |                                                |                    |  93750.5978   -  121257.161   |  3 - 3  | 1.3e+05   | D    |    |
       |                                                |                    |  93750.5978   -  121270.617   |  3 - 5  | 6.6e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    20 | 3s2.3p5.(2P*<3/2>).4s - 3s2.3p5.(2P*<1/2>).6p  |  2[3/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  93750.5978   -  122635.054   |  3 - 5  | 6.7e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    21 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<3/2>).4p  |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  104102.0990  |  1 - 3  | 9.8e+05   | C    |    |
       |                                                |                    |  95399.8276   -  104102.0990  |  3 - 3  | 1.9e+05   | C    |    |
       |                                                |                    |                               |         |           |      |    |
    22 |                                                |  2[1/2]* - 2[5/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  95399.8276   -  105617.2700  |  3 - 5  | 1.47e+06  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    23 |                                                |  2[1/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  106087.2598  |  1 - 3  | 2.43e+06  | C    |    |
       |                                                |                    |  95399.8276   -  106237.5518  |  3 - 5  | 5.03e+06  | C    |    |
       |                                                |                    |  95399.8276   -  106087.2598  |  3 - 3  | 1.06e+06  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    24 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<1/2>).4p  |  2[1/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  107131.7086  |  1 - 3  | 1.86e+07  | C    |    |
       |                                                |                    |  95399.8276   -  107289.7001  |  3 - 5  | 2.23e+07  | C    |    |
       |                                                |                    |  95399.8276   -  107131.7086  |  3 - 3  | 1.39e+07  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    25 |                                                |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  95399.8276   -  108722.6194  |  3 - 1  | 4.45e+07  | C    |    |
       |                                                |                    |  94553.6652   -  107496.4166  |  1 - 3  | 1.17e+07  | C    |    |
       |                                                |                    |  95399.8276   -  107496.4166  |  3 - 3  | 1.53e+07  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    26 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<3/2>).5p  |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
