------------------------------------------------------------------
Configuration      | Term     |    J |                  Level    |
                   |          |  7/2 |             110501.83     |
                   |          |      |                           |
2s2.2p2.(1D).3p    | 2D*      |  3/2 |             110521.050    |
                   |          |  5/2 |             110544.850    |
                   |          |      |                           |
2s2.2p2.(1D).3p    | 2F*      |  5/2 |             110710.739    |
                   |          |  7/2 |             110715.152    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 2S*      |  1/2 |             111060.905    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 4D*      |  1/2 |             111143.567    |
                   |          |  3/2 |             111165.158    |
                   |          |  5/2 |             111204.016    |
                   |          |  7/2 |             111260.873    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 2P*      |  1/2 |             111198.848    |
                   |          |  3/2 |             111213.271    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 4P*      |  1/2 |             111271.596    |
                   |          |  3/2 |             111285.644    |
                   |          |  5/2 |             111326.798    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 4S*      |  3/2 |             111501.368    |
                   |          |      |                           |
2s2.2p2.(3P).5p    | 2D*      |  3/2 |             111853.061    |
                   |          |  5/2 |             111905.609    |
                   |          |      |                           |
2s2.2p2.(1D).3p    | 2P*      |  1/2 |             112294.007    |
                   |          |  3/2 |             112319.805    |
                   |          |      |                           |
2s2.2p2.(3P).6s    | 4P       |  1/2 |             112565.470    |
                   |          |  3/2 |             112609.612    |
                   |          |  5/2 |             112681.389    |
                   |          |      |                           |
2s2.2p2.(3P).6s    | 2P       |  1/2 |             112691.96     |
                   |          |  3/2 |             112736.961    |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 4F       |  3/2 |             112759.966    |
                   |          |  5/2 |             112760.325    |
                   |          |  7/2 |             112797.725    |
                   |          |  9/2 |             112861.348    |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 2P       |  3/2 |             112801.031    |
                   |          |  1/2 |             112807.567    |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 2F       |  5/2 |             112812.518    |
                   |          |  7/2 |             112891.238    |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 4P       |  5/2 |             112824.459    |
                   |          |  3/2 |             112838.02     |
                   |          |  1/2 |             112870.27     |
                   |          |      |                           |
2s2.2p2.(3P<0>).5f | 2[3]*    |  7/2 |            [112826.94]    |
                   |          |  5/2 |            [112826.94]    |
                   |          |      |                           |
2s2.2p2.(3P<1>).5f | 2[3]*    |  5/2 |                           |
                   |          |  7/2 |             112868.73     |
                   |          |      |                           |
2s2.2p2.(3P<1>).5f | 2[4]*    |  9/2 |             112877.91     |
                   |          |  7/2 |             112877.92     |
                   |          |      |                           |
2s2.2p2.(3P<1>).5f | 2[2]*    |  3/2 |             112880.1      |
                   |          |  5/2 |             112880.53     |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 4D       |  1/2 |             112904.5      |
                   |          |  3/2 |             112909.076    |
                   |          |  5/2 |             112910.630    |
                   |          |  7/2 |             112911.079    |
                   |          |      |                           |
2s2.2p2.(3P).5d    | 2D       |  3/2 |             112927.055    |
                   |          |  5/2 |             112945.809    |
                   |          |      |                           |
2s2.2p2.(3P<2>).5f | 2[1]*    |  3/2 |             112946.62     |
                   |          |  1/2 |             112946.62     |
                   |          |      |                           |
2s2.2p2.(3P<2>).5f | 2[9/2]*  | 11/2 |             112953.43     |
                   |          |  9/2 |             112953.53     |
                   |          |      |                           |
2s2.2p2.(3P<2>).5f | 2[2]*    |  3/2 |            [112957.77]    |
                   |          |  5/2 |            [112957.77]    |
                   |          |      |                           |
2s2.2p2.(3P<2>).5f | 2[3]*    |  7/2 |             112965.36     |
                   |          |  5/2 |                           |
                   |          |      |                           |
2s2.2p2.(3P<2>).5f | 2[4]*    |  9/2 |             112967.09     |
                   |          |  7/2 |             112967.20     |
                   |          |      |                           |
2s2.2p2.(3P).6p    | 4D*      |  1/2 |                           |
                   |          |  3/2 |                           |
                   |          |  5/2 |             113307.5      |
                   |          |  7/2 |             113370.5      |
                   |          |      |                           |
2s2.2p2.(3P).6p    | 4P*      |  1/2 |                           |
                   |          |  3/2 |             113349.8      |
                   |          |  5/2 |             113402.4      |
                   |          |      |                           |
2s2.2p2.(3P).7s    | 4P       |  1/2 |             114026.654    |
                   |          |  3/2 |             114071.153    |
                   |          |  5/2 |             114146.525    |
                   |          |      |                           |
2s2.2p2.(3P).7s    | 2P       |  1/2 |             114112.1      |
                   |          |  3/2 |             114206.1      |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 4F       |  3/2 |             114124.2      |
                   |          |  5/2 |             114132.7      |
                   |          |  7/2 |             114175.736    |
                   |          |  9/2 |             114245.309    |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 2P       |  3/2 |             114170.4      |
                   |          |  1/2 |             114183.5      |
                   |          |      |                           |
2s2.2p2.(3P<0>).6f | 2[3]*    |  7/2 |             114171.98     |
                   |          |  5/2 |             114171.98     |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 2F       |  5/2 |             114182.7      |
                   |          |  7/2 |             114262.1      |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 4P       |  5/2 |             114191.6      |
                   |          |  3/2 |             114200.0      |
                   |          |  1/2 |             114249.5      |
                   |          |      |                           |
2s2.2p2.(3P<1>).6f | 2[3]*    |  5/2 |             114216.70     |
                   |          |  7/2 |             114216.70     |
                   |          |      |                           |
2s2.2p2.(3P<1>).6f | 2[4]*    |  7/2 |             114222.08     |
                   |          |  9/2 |             114222.08     |
                   |          |      |                           |
2s2.2p2.(3P<1>).6f | 2[2]*    |  3/2 |             114223.88     |
                   |          |  5/2 |             114223.88     |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 4D       |  1/2 |             114271.8      |
                   |          |  3/2 |             114272.6      |
                   |          |  5/2 |             114274.0      |
                   |          |  7/2 |             114274.1      |
                   |          |      |                           |
2s2.2p2.(3P).6d    | 2D       |  3/2 |             114277.0      |
                   |          |  5/2 |             114293.5      |
                   |          |      |                           |
2s2.2p2.(3P<2>).6f | 2[1]*    |  3/2 |            [114296.19]    |
                   |          |  1/2 |            [114296.19]    |
                   |          |      |                           |
2s2.2p2.(3P<2>).6f | 2[5]*    |  9/2 |             114300.110    |
                   |          | 11/2 |             114300.110    |
                   |          |      |                           |
2s2.2p2.(3P<2>).6f | 2[2]*    |  3/2 |             114302.02     |
                   |          |  5/2 |             114302.02     |
                   |          |      |                           |
2s2.2p2.(3P<2>).6f | 2[3]*    |  5/2 |             114306.69     |
                   |          |  7/2 |             114306.69     |
                   |          |      |                           |
2s2.2p2.(3P<2>).6f | 2[4]*    |  9/2 |             114307.79     |
                   |          |  7/2 |             114307.79     |
                   |          |      |                           |
2s2.2p2.(3P).7p    | 4D*      |  1/2 |                           |
                   |          |  3/2 |                           |
                   |          |  5/2 |                           |
                   |          |  7/2 |             114545.6      |
                   |          |      |                           |
2s2.2p2.(3P).8s    | 4P       |  1/2 |             114894.0      |
                   |          |  3/2 |             114939.1      |
                   |          |  5/2 |             115021.3      |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 4F       |  3/2 |             114952.5      |
                   |          |  5/2 |             114959.0      |
                   |          |  7/2 |             115003.6      |
                   |          |  9/2 |             115077.2      |
                   |          |      |                           |
2s2.2p2.(3P).8s    | 2P       |  1/2 |             114963.1      |
                   |          |  3/2 |             115033.4      |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 2P       |  3/2 |             114992.8      |
                   |          |  1/2 |             115009.9      |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 2F       |  5/2 |             115003.0      |
                   |          |  7/2 |             115086.9      |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 4P       |  5/2 |             115011.0      |
                   |          |  3/2 |             115018.7      |
                   |          |  1/2 |                           |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 4D       |  1/2 |             115093.3      |
                   |          |  3/2 |             115094.5      |
                   |          |  5/2 |             115094.6      |
                   |          |  7/2 |             115094.4      |
                   |          |      |                           |
2s2.2p2.(3P).7d    | 2D       |  3/2 |             115100.0      |
                   |          |  5/2 |             115106.2      |
                   |          |      |                           |
2s2.2p2.(3P).9s    | 4P       |  1/2 |             115449.5      |
                   |          |  3/2 |             115495.5      |
                   |          |  5/2 |             115576.6      |
                   |          |      |                           |
2s2.2p2.(3P).9s    | 2P       |  1/2 |             115480        |
                   |          |  3/2 |             115480        |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 4F       |  3/2 |                           |
                   |          |  5/2 |             115495.5      |
                   |          |  7/2 |             115537.8      |
                   |          |  9/2 |             115613.3      |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 2P       |  1/2 |             115530        |
                   |          |  3/2 |             115535.4      |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 2F       |  5/2 |             115538.4      |
                   |          |  7/2 |             115620.6      |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 2D       |  3/2 |             115597        |
                   |          |  5/2 |             115633.5      |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 4P       |  3/2 |             115618        |
                   |          |  5/2 |             115618        |
                   |          |  1/2 |             115618        |
                   |          |      |                           |
2s2.2p2.(3P).8d    | 4D       |  1/2 |             115624.5      |
                   |          |  5/2 |             115626.9      |
                   |          |  3/2 |             115626.9      |
                   |          |  7/2 |             115627.7      |
                   |          |      |                           |
2s2.2p2.(3P).10s   | 4P       |  1/2 |             115829.3      |
                   |          |  3/2 |             115876.5      |
                   |          |  5/2 |             115955.2      |
                   |          |      |                           |
2s2.2p2.(3P).10s   | 2P       |  3/2 |             115842        |
                   |          |  1/2 |             115842        |
                   |          |      |                           |
2s2.2p2.(3P).9d    | 4D       |  7/2 |             115887        |
                   |          |  5/2 |             115887        |
                   |          |  1/2 |             115887        |
                   |          |  3/2 |             115887        |
                   |          |      |                           |
2s2.2p2.(3P).9d    | 2P       |  3/2 |             115889        |
                   |          |  1/2 |             115889        |
                   |          |      |                           |
2s2.2p2.(3P).9d    | 2F       |  7/2 |             115902        |
                   |          |  5/2 |             115902        |
                   |          |      |                           |
2s2.2p2.(3P).9d    | 2D       |  3/2 |             115973        |
                   |          |  5/2 |             115991        |
                   |          |      |                           |
2s2.2p2.(3P).9d    | 4P       |  3/2 |             115990        |
                   |          |  5/2 |             115990        |
                   |          |  1/2 |             115990        |
                   |          |      |                           |
2s2.2p2.(3P).11s   | 2P       |  1/2 |             116107        |
