# eta f fd fdd g gd y p T rho u
0.490982 0.055608 0.229764 0.484432 1.428552 0.651895 0.000287 1013.000000 428.565718 0.008233 319.371996
0.501002 0.057934 0.234620 0.484773 1.435034 0.641759 0.000294 1013.000000 430.510100 0.008196 326.121497
0.511022 0.060310 0.239479 0.485090 1.441413 0.631573 0.000301 1013.000000 432.423938 0.008160 332.875579
0.521042 0.062734 0.244341 0.485382 1.447690 0.621338 0.000308 1013.000000 434.307082 0.008124 339.633905
0.531062 0.065206 0.249206 0.485650 1.453865 0.611055 0.000315 1013.000000 436.159388 0.008090 346.396130
0.541082 0.067728 0.254073 0.485892 1.459936 0.600727 0.000322 1013.000000 437.980716 0.008056 353.161908
0.551102 0.070298 0.258943 0.486109 1.465903 0.590356 0.000329 1013.000000 439.770932 0.008023 359.930887
0.561122 0.072917 0.263815 0.486301 1.471766 0.579942 0.000336 1013.000000 441.529906 0.007991 366.702711
0.571142 0.075585 0.268689 0.486466 1.477525 0.569488 0.000343 1013.000000 443.257516 0.007960 373.477018
0.581162 0.078301 0.273564 0.486605 1.483179 0.558995 0.000350 1013.000000 444.953642 0.007930 380.253446
0.591182 0.081067 0.278440 0.486717 1.488727 0.548467 0.000357 1013.000000 446.618173 0.007900 387.031625
0.601202 0.083881 0.283317 0.486803 1.494170 0.537903 0.000364 1013.000000 448.251002 0.007871 393.811182
0.611222 0.086745 0.288195 0.486861 1.499507 0.527307 0.000371 1013.000000 449.852028 0.007843 400.591742
0.621242 0.089657 0.293074 0.486892 1.504737 0.516681 0.000378 1013.000000 451.421157 0.007816 407.372923
0.631263 0.092618 0.297953 0.486895 1.509861 0.506026 0.000385 1013.000000 452.958298 0.007790 414.154341
0.641283 0.095628 0.302831 0.486870 1.514878 0.495344 0.000393 1013.000000 454.463370 0.007764 420.935608
0.651303 0.098687 0.307710 0.486817 1.519788 0.484638 0.000400 1013.000000 455.936295 0.007739 427.716334
0.661323 0.101794 0.312587 0.486736 1.524590 0.473910 0.000407 1013.000000 457.377004 0.007714 434.496121
0.671343 0.104951 0.317464 0.486625 1.529285 0.463161 0.000414 1013.000000 458.785433 0.007691 441.274573
0.681363 0.108156 0.322339 0.486486 1.533872 0.452395 0.000422 1013.000000 460.161524 0.007668 448.051286
0.691383 0.111411 0.327213 0.486318 1.538351 0.441612 0.000429 1013.000000 461.505225 0.007645 454.825856
0.701403 0.114714 0.332085 0.486120 1.542722 0.430816 0.000436 1013.000000 462.816494 0.007624 461.597874
0.711423 0.118066 0.336955 0.485892 1.546984 0.420009 0.000444 1013.000000 464.095291 0.007603 468.366929
0.721443 0.121466 0.341822 0.485635 1.551139 0.409192 0.000451 1013.000000 465.341586 0.007582 475.132606
0.731463 0.124916 0.346687 0.485347 1.555185 0.398368 0.000458 1013.000000 466.555355 0.007563 481.894488
0.741483 0.128414 0.351548 0.485029 1.559122 0.387540 0.000466 1013.000000 467.736581 0.007544 488.652155
0.751503 0.131961 0.356407 0.484681 1.562951 0.376709 0.000473 1013.000000 468.885253 0.007525 495.405184
0.761523 0.135556 0.361261 0.484302 1.566671 0.365879 0.000481 1013.000000 470.001367 0.007507 502.153149
0.771543 0.139201 0.366112 0.483893 1.570283 0.355051 0.000488 1013.000000 471.084928 0.007490 508.895624
0.781563 0.142893 0.370958 0.483452 1.573786 0.344227 0.000496 1013.000000 472.135945 0.007473 515.632179
0.791583 0.146635 0.375800 0.482980 1.577181 0.333411 0.000503 1013.000000 473.154437 0.007457 522.362380
0.801603 0.150424 0.380637 0.482477 1.580468 0.322604 0.000511 1013.000000 474.140429 0.007442 529.085795
0.811623 0.154263 0.385469 0.481943 1.583647 0.311809 0.000518 1013.000000 475.093953 0.007427 535.801987
0.821643 0.158149 0.390295 0.481377 1.586717 0.301029 0.000526 1013.000000 476.015048 0.007412 542.510517
0.831663 0.162084 0.395116 0.480780 1.589679 0.290265 0.000533 1013.000000 476.903760 0.007399 549.210948
0.841683 0.166067 0.399930 0.480151 1.592534 0.279520 0.000541 1013.000000 477.760144 0.007385 555.902837
0.851703 0.170099 0.404738 0.479490 1.595281 0.268796 0.000549 1013.000000 478.584261 0.007373 562.585743
0.861723 0.174178 0.409539 0.478797 1.597921 0.258097 0.000556 1013.000000 479.376178 0.007360 569.259221
0.871743 0.178306 0.414333 0.478072 1.600453 0.247424 0.000564 1013.000000 480.135973 0.007349 575.922828
0.881764 0.182481 0.419120 0.477315 1.602879 0.236780 0.000571 1013.000000 480.863727 0.007338 582.576116
0.891784 0.186705 0.423898 0.476527 1.605198 0.226167 0.000579 1013.000000 481.559530 0.007327 589.218640
