-------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                         |                |                               |         |           |      |    |
-------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                |   1431.5831   -  174821.0098  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  174409.8916  |  4 - 4  |           |      |    |
       |                                         |                |      0.0000   -  174821.0098  |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    16 |            3s2.3p5 - 3s2.3p4.(1S).3d    |    2P* - 2D    |    477.1944   -  179728.0706  |  6 - 10 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  179931.8393  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  179592.2248  |  4 - 6  |           |      |    |
       |                                         |                |      0.0000   -  179931.8393  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    17 |            3s2.3p5 - 3s2.3p4.(3P).5s    |    2P* - 4P    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  182222.1209  |  2 - 4  |           |      |    |
       |                                         |                |   1431.5831   -  182951.2609  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  182222.1209  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    18 |                                         |    2P* - 2P    |    477.1944   -  183365.4765  |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  183090.8927  |  2 - 4  |           |      |    |
       |                                         |                |   1431.5831   -  183914.6440  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  183090.8927  |  4 - 4  |           |      |    |
       |                                         |                |      0.0000   -  183914.6440  |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    19 |            3s2.3p5 - 3s2.3p4.(3P).4d    |    2P* - 4D    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  184191.7917  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  183986.0137  |  4 - 4  |           |      |    |
       |                                         |                |      0.0000   -  184191.7917  |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    20 |            3s2.3p5 - 3s2.3p4.(1D).3d    |    2P* - 2S    |    477.1944   -  184093.1337  |  6 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  184093.1337  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  184093.1337  |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    21 |            3s2.3p5 - 3s2.3p4.(3P).4d    |    2P* - 4F    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  186340.5616  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  186074.4375  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    22 |                                         |    2P* - 4P    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  186171.3330  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  186171.3330  |  4 - 2  |           |      |    |
       |                                         |                |      0.0000   -  186891.0393  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    23 |                                         |    2P* - 2F    |      0        -  187589.3383  |  6 - 14 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  187589.3383  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    24 |                                         |    2P* - 2P    |    477.1944   -  190373.0311  |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  189934.6322  |  2 - 2  |           |      |    |
       |                                         |                |   1431.5831   -  190592.2306  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  189934.6322  |  4 - 2  |           |      |    |
       |                                         |                |      0.0000   -  190592.2306  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    25 |                                         |    2P* - 2D    |    477.1944   -  192618.974   |  6 - 10 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  192712.058   |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  192556.9179  |  4 - 6  |           |      |    |
       |                                         |                |      0.0000   -  192712.058   |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    26 |            3s2.3p5 - 3s2.3p4.(1D).5s    |    2P* - 2D    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  195866.8503  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  195864.7296  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    27 |            3s2.3p5 - 3s2.3p4.(3P).6s    |    2P* - 4P    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  199138.5106  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    28 |            3s2.3p5 - 3s2.3p4.(1D).4d    |    2P* - 2P    |    477.1944   -  199499.04    |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  199446.6269  |  2 - 2  |           |      |    |
       |                                         |                |   1431.5831   -  199525.2465  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  199446.6269  |  4 - 2  |           |      |    |
       |                                         |                |      0.0000   -  199525.2465  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    29 |                                         |    2P* - 2D    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  199982.0244  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  199679.8440  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
