# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.139260 0.145071 52.996122 0.022664 0.003491 1.336458 2374.847513 1.001972 207726.334497 0.038557
0.139852 0.145754 61.088234 0.026124 0.003483 1.445882 2475.932258 1.045201 215235.756869 0.039950
0.140443 0.146437 70.048127 0.029956 0.003475 1.554341 2573.872611 1.087085 224258.924637 0.041625
0.141035 0.147120 77.286430 0.033052 0.003467 1.650540 2662.550484 1.125008 227950.640059 0.042310
0.141626 0.147803 85.650465 0.036628 0.003459 1.745472 2736.554527 1.156656 233533.392330 0.043347
0.142218 0.148486 92.598191 0.039600 0.003451 1.830660 2802.876385 1.185018 235682.255954 0.043746
0.142809 0.149169 100.919297 0.043158 0.003443 1.917625 2860.167562 1.209519 239912.501739 0.044531
0.143401 0.149852 110.192278 0.047124 0.003435 2.008190 2888.616747 1.221685 241756.467708 0.044873
0.143992 0.150535 117.216765 0.050128 0.003427 2.074023 2886.340285 1.220712 240852.689016 0.044705
0.144584 0.151218 124.231337 0.053128 0.003419 2.135593 2864.794649 1.211498 238624.100440 0.044292
0.145175 0.151901 130.723964 0.055904 0.003412 2.188094 2815.863400 1.190572 234319.384540 0.043493
0.145767 0.152584 136.006781 0.058163 0.003404 2.226638 2736.919129 1.156812 227460.853496 0.042220
0.146358 0.153267 139.425601 0.059625 0.003396 2.247401 2634.585694 1.113049 218431.860377 0.040544
0.146950 0.153950 140.856443 0.060237 0.003389 2.248040 2513.796491 1.061393 208152.278385 0.038636
0.147541 0.154633 139.950696 0.059850 0.003381 2.228052 2382.915267 1.005422 196941.754791 0.036555
0.148133 0.155316 138.096632 0.059057 0.003374 2.197931 2248.754648 0.948048 185633.929554 0.034456
0.148724 0.155999 135.627739 0.058001 0.003366 2.158280 2111.860293 0.889505 174671.927590 0.032421
0.149316 0.156682 131.815809 0.056371 0.003359 2.109531 1985.316374 0.835388 164099.607658 0.030459
0.149907 0.157365 126.861914 0.054253 0.003352 2.053919 1871.489018 0.786710 154100.019979 0.028603
0.150499 0.158048 121.446944 0.051937 0.003345 1.995693 1771.212710 0.743827 145087.298094 0.026930
0.151090 0.158731 116.051496 0.049629 0.003337 1.938900 1686.073903 0.707417 137290.917560 0.025483
0.151682 0.159414 111.021658 0.047478 0.003330 1.886339 1615.131911 0.677079 130699.296073 0.024259
0.152273 0.160097 106.594850 0.045585 0.003323 1.839631 1555.929172 0.651761 125183.545394 0.023236
0.152865 0.160780 102.865306 0.043990 0.003316 1.799064 1505.344051 0.630128 120550.992331 0.022376
0.153456 0.161463 99.702230 0.042638 0.003309 1.763389 1460.545303 0.610970 116532.787987 0.021630
0.154048 0.162146 96.870996 0.041427 0.003302 1.730903 1420.173959 0.593705 112918.648810 0.020959
0.154639 0.162829 94.259171 0.040310 0.003295 1.700847 1383.816205 0.578156 109631.076702 0.020349
0.155231 0.163512 91.874474 0.039290 0.003288 1.673139 1350.920005 0.564088 106652.547664 0.019796
0.155822 0.164195 89.688466 0.038355 0.003281 1.647448 1320.948912 0.551271 103947.243925 0.019294
0.156414 0.164878 87.569051 0.037449 0.003275 1.622949 1293.935609 0.539719 101449.840719 0.018830
0.157005 0.165561 85.399664 0.036521 0.003268 1.599147 1270.816354 0.529832 99169.108355 0.018407
0.157597 0.166244 83.239370 0.035597 0.003261 1.576964 1252.235984 0.521886 97115.888216 0.018026
0.158188 0.166927 81.286939 0.034762 0.003254 1.557401 1237.888242 0.515750 95449.844933 0.017717
0.158780 0.167610 79.633449 0.034055 0.003248 1.541543 1226.549687 0.510901 93971.260104 0.017442
0.159371 0.168293 78.307059 0.033488 0.003241 1.528010 1217.329977 0.506958 92940.990601 0.017251
0.159963 0.168976 76.995291 0.032927 0.003235 1.516466 1208.764953 0.503296 91567.047122 0.016996
0.160554 0.169659 76.130907 0.032557 0.003228 1.506868 1201.713721 0.500280 90929.802379 0.016878
0.161146 0.170342 75.035573 0.032089 0.003222 1.497334 1196.293669 0.497962 89982.406237 0.016702
0.161737 0.171025 73.728653 0.031530 0.003215 1.486524 1192.860257 0.496494 89100.801691 0.016538
0.162329 0.171708 72.722070 0.031100 0.003209 1.479506 1192.785568 0.496462 88489.316541 0.016425
0.162920 0.172391 71.732059 0.030676 0.003202 1.472971 1194.145368 0.497044 87983.715385 0.016331
0.163512 0.173074 70.887953 0.030315 0.003196 1.468114 1197.167759 0.498336 87645.490498 0.016268
0.164103 0.173757 70.278774 0.030055 0.003190 1.465418 1201.451240 0.500168 87524.557119 0.016246
0.164695 0.174440 69.812095 0.029855 0.003184 1.464604 1206.348965 0.502262 87387.126293 0.016220
0.165286 0.175123 69.421825 0.029688 0.003177 1.464463 1211.529591 0.504478 87308.018297 0.016205
0.165878 0.175806 69.054577 0.029531 0.003171 1.464716 1217.076586 0.506850 87236.659957 0.016192
0.166469 0.176489 68.710109 0.029384 0.003165 1.465280 1223.124728 0.509437 87208.949899 0.016187
0.167061 0.177172 68.422582 0.029261 0.003159 1.466532 1229.659616 0.512231 87220.602701 0.016189
0.167652 0.177855 68.205625 0.029168 0.003153 1.468483 1236.445103 0.515133 87271.745148 0.016199
0.168244 0.178538 68.038244 0.029097 0.003147 1.470922 1243.356646 0.518089 87344.071449 0.016212
0.168835 0.179221 67.904887 0.029040 0.003141 1.473702 1250.344070 0.521077 87427.173281 0.016228
0.169427 0.179904 67.787137 0.028989 0.003135 1.476659 1257.405231 0.524097 87513.837826 0.016244
0.170018 0.180587 67.662589 0.028936 0.003129 1.479632 1264.646474 0.527193 87599.459000 0.016260
0.170610 0.181270 67.519719 0.028875 0.003123 1.482573 1272.254850 0.530447 87690.480588 0.016276
0.171201 0.181953 67.374190 0.028813 0.003117 1.485624 1280.251698 0.533867 87794.852495 0.016296
0.171793 0.182636 67.287466 0.028776 0.003111 1.489238 1288.627308 0.537449 87961.153526 0.016327
0.172384 0.183319 67.274380 0.028770 0.003105 1.493754 1297.367556 0.541187 88149.675681 0.016362
0.172976 0.184002 67.328841 0.028793 0.003100 1.498656 1305.718898 0.544758 88365.212096 0.016402
0.173567 0.184685 67.492453 0.028863 0.003094 1.504415 1313.364270 0.548028 88567.834549 0.016439
0.174159 0.185368 67.843560 0.029013 0.003088 1.511125 1319.419671 0.550617 88819.118403 0.016486
0.174750 0.186051 68.191428 0.029162 0.003083 1.517202 1323.324123 0.552287 88930.907076 0.016507
0.175342 0.186734 68.555432 0.029318 0.003077 1.523449 1326.221047 0.553526 88919.555271 0.016505
0.175933 0.187417 68.733559 0.029394 0.003071 1.527008 1327.247247 0.553965 88810.630959 0.016484
0.176525 0.188100 68.778306 0.029413 0.003066 1.529294 1328.025245 0.554297 88627.019472 0.016450
0.177116 0.188783 68.738656 0.029396 0.003060 1.530648 1328.485791 0.554494 88403.169621 0.016409
0.177708 0.189466 68.641331 0.029355 0.003055 1.531585 1329.292887 0.554839 88174.232293 0.016366
0.178299 0.190149 68.478586 0.029285 0.003049 1.532113 1330.567450 0.555385 87934.164627 0.016322
0.178891 0.190832 68.266749 0.029194 0.003044 1.532278 1332.447021 0.556188 87727.276409 0.016283
0.179482 0.191515 68.096063 0.029121 0.003038 1.532977 1334.675649 0.557141 87546.614275 0.016250
0.180074 0.192198 68.027945 0.029092 0.003033 1.534513 1337.210969 0.558226 87470.185807 0.016236
0.180665 0.192881 67.987144 0.029075 0.003028 1.536337 1339.290478 0.559115 87342.285834 0.016212
0.181257 0.193564 67.977846 0.029071 0.003022 1.538346 1341.109785 0.559893 87219.172557 0.016189
0.181848 0.194247 68.032207 0.029094 0.003017 1.540623 1342.131491 0.560330 87095.435902 0.016166
0.182440 0.194930 68.057457 0.029105 0.003012 1.542350 1342.354466 0.560425 86922.052499 0.016134
0.183031 0.195613 68.058180 0.029105 0.003006 1.543679 1342.133426 0.560331 86720.612162 0.016096
0.183623 0.196296 68.037959 0.029096 0.003001 1.544726 1341.466851 0.560046 86475.537583 0.016051
0.184214 0.196979 67.985021 0.029074 0.002996 1.545232 1340.332877 0.559561 86209.884181 0.016002
0.184806 0.197662 67.895192 0.029035 0.002991 1.545353 1339.109108 0.559037 85926.325430 0.015949
0.185397 0.198345 67.768071 0.028981 0.002986 1.545120 1337.910973 0.558525 85631.326941 0.015894
0.185989 0.199028 67.625668 0.028920 0.002980 1.544692 1336.688926 0.558002 85337.534373 0.015840
0.186580 0.199711 67.479510 0.028858 0.002975 1.544195 1335.444718 0.557470 85046.296990 0.015786
0.187172 0.200394 67.329445 0.028793 0.002970 1.543635 1334.178626 0.556929 84755.836753 0.015732
0.187763 0.201077 67.173937 0.028727 0.002965 1.543004 1332.905938 0.556385 84466.070011 0.015678
0.188355 0.201760 67.013031 0.028658 0.002960 1.542307 1331.641714 0.555844 84177.751036 0.015624
0.188946 0.202443 66.845742 0.028587 0.002955 1.541542 1330.403670 0.555314 83890.896975 0.015571
0.189538 0.203126 66.670128 0.028512 0.002950 1.540704 1329.223336 0.554810 83605.767238 0.015518
0.190129 0.203809 66.487818 0.028434 0.002945 1.539818 1328.137325 0.554345 83325.146642 0.015466
0.190721 0.204492 66.303837 0.028355 0.002940 1.538934 1327.155226 0.553925 83051.926900 0.015415
0.191312 0.205175 66.123451 0.028278 0.002935 1.538101 1326.268278 0.553546 82787.455436 0.015366
0.191904 0.205858 65.947111 0.028202 0.002931 1.537315 1325.449696 0.553196 82530.343309 0.015319
0.192495 0.206541 65.770588 0.028127 0.002926 1.536549 1324.704740 0.552877 82276.933252 0.015272
0.193087 0.207224 65.588833 0.028049 0.002921 1.535750 1324.068320 0.552605 82029.977564 0.015226
0.193678 0.207907 65.383017 0.027961 0.002916 1.534793 1323.600309 0.552405 81776.874183 0.015179
0.194270 0.208590 65.177753 0.027873 0.002911 1.533901 1323.422552 0.552329 81545.031256 0.015136
0.194861 0.209273 64.998299 0.027797 0.002907 1.533330 1323.430250 0.552332 81330.786659 0.015096
0.195453 0.209956 64.825706 0.027723 0.002902 1.532826 1323.519333 0.552370 81127.978129 0.015058
0.196044 0.210639 64.666133 0.027655 0.002897 1.532474 1323.673498 0.552436 80932.738898 0.015022
0.196636 0.211322 64.510867 0.027588 0.002892 1.532175 1323.885950 0.552527 80743.123080 0.014987
0.197227 0.212005 64.352293 0.027520 0.002888 1.531891 1324.182017 0.552654 80551.733579 0.014951
0.197819 0.212688 64.183680 0.027448 0.002883 1.531520 1324.619930 0.552841 80369.675236 0.014918
0.198410 0.213371 64.006771 0.027373 0.002878 1.531197 1325.251899 0.553111 80179.719446 0.014882
0.199002 0.214054 63.847906 0.027305 0.002874 1.530953 1326.059085 0.553457 80036.819408 0.014856
0.199593 0.214737 63.710656 0.027246 0.002869 1.531141 1326.867217 0.553802 79858.669910 0.014823
0.200185 0.215420 63.619591 0.027207 0.002865 1.531500 1327.641973 0.554133 79753.635920 0.014803
0.200776 0.216103 63.517063 0.027163 0.002860 1.531875 1328.271323 0.554403 79600.186458 0.014775
0.201368 0.216786 63.409721 0.027117 0.002856 1.532139 1328.826660 0.554640 79448.776557 0.014747
0.201959 0.217469 63.289370 0.027066 0.002851 1.532271 1329.386680 0.554880 79292.408245 0.014718
0.202551 0.218152 63.149342 0.027006 0.002847 1.532244 1330.064316 0.555169 79133.154815 0.014688
0.203142 0.218835 62.995074 0.026940 0.002842 1.532133 1330.921065 0.555536 78976.065864 0.014659
0.203734 0.219518 62.853647 0.026879 0.002838 1.532166 1331.935927 0.555970 78838.943368 0.014633
0.204325 0.220201 62.747929 0.026834 0.002833 1.532551 1332.990000 0.556421 78722.510411 0.014612
0.204917 0.220884 62.669557 0.026801 0.002829 1.533189 1333.917924 0.556817 78607.319474 0.014590
0.205508 0.221567 62.600148 0.026771 0.002825 1.533851 1334.643491 0.557128 78485.975524 0.014568
0.206100 0.222250 62.523815 0.026738 0.002820 1.534379 1335.192291 0.557362 78353.992198 0.014543
0.206691 0.222933 62.432828 0.026699 0.002816 1.534731 1335.666793 0.557565 78212.753622 0.014517
0.207283 0.223616 62.323359 0.026653 0.002812 1.534900 1336.159311 0.557776 78064.499040 0.014490
0.207874 0.224299 62.196572 0.026598 0.002807 1.534921 1336.760784 0.558033 77915.136165 0.014462
0.208466 0.224982 62.063707 0.026542 0.002803 1.534897 1337.454338 0.558330 77769.856338 0.014435
0.209057 0.225665 61.954503 0.026495 0.002799 1.535126 1338.253454 0.558671 77644.008945 0.014412
0.209649 0.226348 61.875983 0.026461 0.002795 1.535576 1338.873479 0.558937 77528.830582 0.014390
0.210240 0.227031 61.827654 0.026441 0.002791 1.536350 1339.395649 0.559160 77412.718191 0.014369
0.210832 0.227714 61.773088 0.026417 0.002786 1.536901 1339.539972 0.559222 77282.443623 0.014345
0.211423 0.228397 61.699684 0.026386 0.002782 1.537205 1339.528759 0.559217 77137.201376 0.014318
0.212015 0.229081 61.617608 0.026351 0.002778 1.537378 1339.396056 0.559160 76982.468884 0.014289
0.212606 0.229764 61.504636 0.026302 0.002774 1.537247 1339.308763 0.559123 76816.904378 0.014258
0.213198 0.230447 61.380763 0.026250 0.002770 1.537027 1339.297684 0.559118 76650.085273 0.014227
0.213789 0.231130 61.259039 0.026197 0.002766 1.536804 1339.360964 0.559145 76497.130844 0.014199
0.214381 0.231813 61.148292 0.026150 0.002762 1.536682 1339.357545 0.559144 76343.599507 0.014170
0.214972 0.232496 61.069970 0.026117 0.002758 1.536774 1339.240483 0.559094 76214.809821 0.014146
0.215564 0.233179 61.020777 0.026096 0.002754 1.537235 1338.923235 0.558958 76063.142151 0.014118
0.216155 0.233862 61.014103 0.026093 0.002749 1.537790 1338.225719 0.558660 75955.184369 0.014098
0.216747 0.234545 61.118955 0.026138 0.002745 1.539463 1336.625194 0.557975 75802.001219 0.014070
0.217338 0.235228 61.529303 0.026313 0.002741 1.542694 1333.249551 0.556532 75892.318383 0.014087
0.217930 0.235911 62.622196 0.026780 0.002738 1.552568 1325.120875 0.553055 75796.726769 0.014069
0.218521 0.236594 66.507742 0.028442 0.002734 1.579228 1304.690147 0.544318 77489.660476 0.014383
0.219113 0.237277 74.059413 0.031672 0.002730 1.621961 1239.103561 0.516270 77975.023966 0.014473
0.219704 0.237960 103.040055 0.044065 0.002726 1.810593 1219.038605 0.507689 92975.560980 0.017257
