# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.018637 0.018637 31.087939 0.013295 0.009740 0.133504 88.538104 0.024230 32735.832387 0.006076
0.019032 0.019032 30.700365 0.013129 0.009638 0.133271 87.962981 0.023984 32342.101465 0.006003
0.019429 0.019429 30.267552 0.012944 0.009539 0.132952 87.388431 0.023738 31863.376954 0.005914
0.019830 0.019830 29.957038 0.012811 0.009442 0.132861 86.833708 0.023501 31544.173060 0.005855
0.020234 0.020234 29.491361 0.012612 0.009347 0.132411 86.196128 0.023228 31009.580776 0.005756
0.020641 0.020641 29.242907 0.012506 0.009255 0.132403 85.627662 0.022985 30785.917210 0.005714
0.021052 0.021052 28.757905 0.012298 0.009164 0.132003 85.150449 0.022781 30261.280267 0.005617
0.021465 0.021465 28.477396 0.012178 0.009075 0.131967 84.644116 0.022565 29985.953681 0.005566
0.021882 0.021882 28.102274 0.012018 0.008988 0.131749 84.143883 0.022351 29562.810352 0.005487
0.022303 0.022303 27.791235 0.011885 0.008903 0.131638 83.645026 0.022137 29255.010982 0.005430
0.022726 0.022726 27.459827 0.011743 0.008820 0.131493 83.152828 0.021927 28883.177882 0.005361
0.023153 0.023153 27.148043 0.011610 0.008738 0.131373 82.665841 0.021719 28567.845003 0.005303
0.023583 0.023583 26.839688 0.011478 0.008658 0.131265 82.185292 0.021513 28227.133142 0.005239
0.024017 0.024017 26.536810 0.011348 0.008580 0.131156 81.710850 0.021310 27915.789995 0.005182
0.024454 0.024454 26.243900 0.011223 0.008503 0.131070 81.242834 0.021110 27596.627966 0.005122
0.024894 0.024894 25.952875 0.011099 0.008427 0.130980 80.781164 0.020913 27294.191457 0.005066
0.025337 0.025337 25.672332 0.010979 0.008353 0.130913 80.325869 0.020718 26991.743395 0.005010
0.025784 0.025784 25.393604 0.010860 0.008280 0.130843 79.876919 0.020526 26700.050978 0.004956
0.026234 0.026234 25.124044 0.010744 0.008209 0.130792 79.434244 0.020337 26411.706982 0.004902
0.026688 0.026688 24.857198 0.010630 0.008139 0.130742 78.997811 0.020150 26131.188145 0.004850
0.027145 0.027145 24.597851 0.010519 0.008070 0.130706 78.567508 0.019966 25855.404952 0.004799
