--------------------------------------------------------------------
Configuration           | Term      |   J |               Level    |
2s2.2p.(2P*<3/2>).5f    | 2[7/2]    |   3 |           221226.65    |
                        |           |   4 |           221231.92    |
                        |           |     |                        |
2s2.2p.5d               | 1P*       |   1 |           221246.17    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5f    | 2[5/2]    |   3 |           221292.31    |
                        |           |   2 |           221296.24    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5f    | 2[9/2]    |   5 |           221301.10    |
                        |           |   4 |           221311.11    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5g    | 2[9/2]*   |   4 |           221322.76    |
                        |           |   5 |           221322.86    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5g    | 2[7/2]*   |   3 |           221342.81    |
                        |           |   4 |           221343.00    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5f    | 2[3/2]    |   1 |           221351.63    |
                        |           |   2 |           221354.47    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5g    | 2[11/2]*  |   5 |           221363.98    |
                        |           |   6 |           221364.00    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).5g    | 2[5/2]*   |   3 |          [221380.3]    |
                        |           |   2 |          [221380.3]    |
                        |           |     |                        |
2s2.2p.6s               | 3P*       |   0 |                        |
                        |           |   1 |           222744.16    |
                        |           |   2 |           222878.39    |
                        |           |     |                        |
2s.2p2.(4P).3p          | 3S*       |   1 |           223069.02    |
                        |           |     |                        |
2s2.2p.6s               | 1P*       |   1 |           223101.82    |
                        |           |     |                        |
2s.2p2.(4P).3p          | 5D*       |   0 |           223643.30    |
                        |           |   1 |           223658.55    |
                        |           |   2 |           223688.45    |
                        |           |   3 |           223731.59    |
                        |           |   4 |           223785.51    |
                        |           |     |                        |
2s.2p2.(4P).3p          | 5P*       |   1 |           225603.50    |
                        |           |   2 |           225627.47    |
                        |           |   3 |           225671.22    |
                        |           |     |                        |
2s2.2p.(2P*<1/2>).6f    | 2[5/2]    |   3 |           226482.68    |
                        |           |   2 |           226484.64    |
                        |           |     |                        |
2s2.2p.(2P*<1/2>).6f    | 2[7/2]    |   3 |           226488.79    |
                        |           |   4 |           226492.09    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).6f    | 2[7/2]    |   3 |           226640.22    |
                        |           |   4 |           226643.25    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).6f    | 2[5/2]    |   3 |           226675.99    |
                        |           |   2 |           226678.4     |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).6f    | 2[9/2]    |   5 |           226688.9     |
                        |           |   4 |           226696.2     |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).6f    | 2[3/2]    |   1 |           226718.6     |
                        |           |   2 |           226720.8     |
                        |           |     |                        |
2s.2p2.(4P).3p          | 3D*       |   1 |           228694.30    |
                        |           |   2 |           228731.81    |
                        |           |   3 |           228791.83    |
                        |           |     |                        |
2s2.2p.(2P*<1/2>).7f    | 2[7/2]    |   3 |           229748.9     |
                        |           |   4 |           229749.7     |
                        |           |     |                        |
2s.2p2.(4P).3p          | 5S*       |   2 |           229838.96    |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).7f    | 2[7/2]    |   4 |           229907.5     |
                        |           |     |                        |
2s2.2p.(2P*<3/2>).7f    | 2[9/2]    |   5 |           229938.1     |
                        |           |   4 |           229943.1     |
                        |           |     |                        |
2s.2p2.(4P).3p          | 3P*       |   0 |                        |
                        |           |   1 |                        |
                        |           |   2 |           230831.74    |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
N III (2p 2P*<1/2>)     | Limit     | --- |       [238750.2(7)]    |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
N III (2p 2P*<3/2>)     | Limit     | --- |           238924.86    |
                        |           |     |                        |
2s.2p2.(4P).3d          | 5F        |   1 |           242969.16    |
                        |           |   2 |           242986.76    |
                        |           |   3 |           243012.77    |
                        |           |   4 |           243046.56    |
                        |           |   5 |           243086.94    |
                        |           |     |                        |
2s.2p2.(4P).3d          | 5P        |   3 |           244353.31    |
                        |           |   2 |           244391.88    |
                        |           |   1 |           244418.52    |
                        |           |     |                        |
2s.2p2.(4P).3d          | 5D        |   0 |           244935.74    |
                        |           |   1 |           244939.89    |
                        |           |   2 |           244947.77    |
                        |           |   3 |           244958.95    |
                        |           |   4 |           244973.31    |
                        |           |     |                        |
2s.2p2.(4P).4f          | 5G*       |   2 |                        |
                        |           |   3 |                        |
                        |           |   4 |           268378.35    |
                        |           |   5 |           268415.85    |
                        |           |   6 |           268463.26    |
                        |           |     |                        |
2s.2p2.(4P).4f          | 5D*       |   0 |                        |
                        |           |   1 |                        |
                        |           |   2 |                        |
                        |           |   3 |                        |
                        |           |   4 |           268415.27    |
                        |           |     |                        |
2s.2p2.(4P).4f          | 5F*       |   1 |                        |
                        |           |   2 |                        |
                        |           |   3 |           268716.02    |
                        |           |   4 |           268724.91    |
                        |           |   5 |           268733.72    |
                        |           |     |                        |
2s.2p2.(4P).5f          | 5G*       |   2 |                        |
                        |           |   3 |                        |
                        |           |   4 |           278333.5     |
                        |           |   5 |           278367.3     |
                        |           |   6 |           278420.26    |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
N III (2s.2p2 4P*<1/2>) | Limit     | --- |           295937.6     |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
N III (2s.2p2 4P*<3/2>) | Limit     | --- |           295997.3     |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
N III (2s.2p2 4P*<5/2>) | Limit     | --- |           296078.4     |
--------------------------------------------------------------------
