# s/Rn  Cp(CFD)  Cp(Newton)  x(m)  y(m)
6.2671 0.167587 0.0545463 4.607196e-02 1.857860e-02
6.35017 0.166927 0.0545463 4.688951e-02 1.872594e-02
6.43324 0.166301 0.0545463 4.770707e-02 1.887327e-02
6.51631 0.165701 0.0545463 4.852462e-02 1.902061e-02
6.59939 0.165118 0.0545463 4.934217e-02 1.916795e-02
6.68246 0.164544 0.0545463 5.015973e-02 1.931529e-02
6.76553 0.163963 0.0545463 5.097728e-02 1.946263e-02
6.8486 0.163367 0.0545463 5.179483e-02 1.960997e-02
6.93168 0.162755 0.0545463 5.261239e-02 1.975731e-02
7.01475 0.162102 0.0545463 5.342994e-02 1.990464e-02
7.09782 0.161387 0.0545463 5.424750e-02 2.005198e-02
7.18089 0.160596 0.0545463 5.506505e-02 2.019932e-02
7.26397 0.159727 0.0545463 5.588260e-02 2.034666e-02
7.34704 0.158781 0.0545463 5.670016e-02 2.049400e-02
7.43011 0.157777 0.0545463 5.751771e-02 2.064134e-02
7.51318 0.156702 0.0545463 5.833527e-02 2.078868e-02
7.59626 0.155604 0.0545463 5.915282e-02 2.093602e-02
7.67933 0.154474 0.0545463 5.997038e-02 2.108335e-02
7.7624 0.153343 0.0545463 6.078793e-02 2.123069e-02
7.84547 0.152247 0.0545463 6.160549e-02 2.137803e-02
7.92855 0.151204 0.0545463 6.242304e-02 2.152537e-02
8.01162 0.150228 0.0545463 6.324060e-02 2.167271e-02
8.09469 0.149336 0.0545463 6.405815e-02 2.182005e-02
8.17776 0.148531 0.0545463 6.487571e-02 2.196739e-02
8.26084 0.147843 0.0545463 6.569327e-02 2.211473e-02
8.34391 0.147247 0.0545463 6.651082e-02 2.226207e-02
8.42698 0.146789 0.0545463 6.732838e-02 2.240941e-02
8.51005 0.146393 0.0545463 6.814593e-02 2.255674e-02
8.59313 0.146174 0.0545463 6.896349e-02 2.270408e-02
8.6762 0.145992 0.0545463 6.978105e-02 2.285142e-02
8.75927 0.145897 0.0545463 7.059860e-02 2.299876e-02
8.84235 0.145828 0.0545463 7.141616e-02 2.314610e-02
8.92542 0.14578 0.0545463 7.223371e-02 2.329344e-02
9.00849 0.145735 0.0545463 7.305127e-02 2.344078e-02
9.09156 0.145687 0.0545463 7.386883e-02 2.358812e-02
9.17464 0.145635 0.0545463 7.468638e-02 2.373546e-02
9.25771 0.145574 0.0545463 7.550394e-02 2.388280e-02
9.34078 0.145501 0.0545463 7.632150e-02 2.403014e-02
9.42385 0.145415 0.0545463 7.713905e-02 2.417747e-02
9.50693 0.145306 0.0545463 7.795661e-02 2.432481e-02
9.59 0.145199 0.0545463 7.877417e-02 2.447215e-02
9.67307 0.144943 0.0545463 7.959172e-02 2.461949e-02
