0.045  0.722
0.163  0.721
0.241  0.721
0.353  0.719
0.431  0.719
0.605  0.717
0.851  0.716
1.021  0.713
1.241  0.709
1.426  0.705
1.621  0.702
1.826  0.698
2.031  0.695
2.236  0.689
2.415  0.683
2.631  0.677
2.831  0.670
2.996  0.662
3.221  0.655
3.426  0.645
3.621  0.635
3.821  0.625
4.016  0.614
4.216  0.605
4.406  0.597
4.601  0.593
4.839  0.593
5.016  0.600
5.236  0.612
5.421  0.634
5.651  0.657
5.821  0.695
6.001  0.725
6.226  0.756
6.441  0.792
6.616  0.818
6.841  0.830
7.021  0.828
7.221  0.813
7.426  0.780
7.611  0.733
7.836  0.681
8.011  0.612
8.211  0.561
8.436  0.503
8.651  0.443
8.811  0.388
9.031  0.348
9.226  0.293
9.401  0.245
9.636  0.202
9.801  0.151
10.051 0.205
10.216 0.172
10.436 0.176
10.641 0.165
10.806 0.149
11.008 0.152
11.201 0.142
11.421 0.140
11.626 0.129
11.831 0.121
12.001 0.108
12.221 0.115
