---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |         Ei           Ek         | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |       (cm-1)       (cm-1)       |         |    s^-1   |      |    |
       |                                         |                |                                 |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                |      0.00      -  265431.5      |  4 - 6  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    16 |            2s2.2p3 - 2s2.2p2.(3P).6s    |    4S* - 4P    |      0         -  266869.3      |  4 - 12 |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |      0.00      -  266971.23     |  4 - 6  |           |      |    |
       |                                         |                |      0.00      -  266802.0      |  4 - 4  |           |      |    |
       |                                         |                |      0.00      -  266698.0      |  4 - 2  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    17 |            2s2.2p3 - 2s2.2p3            |    2D* - 2D*   |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -   26830.57     |  6 - 4  | 1.30e-07  | B+   | M1 |
       |                                         |                |  26810.55      -   26830.57     |  6 - 4  | 1.49e-20  | E    | E2 |
       |                                         |                |                                 |         |           |      |    |
    18 |                                         |    2D* - 2P*   |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -   40470.00     |  6 - 2  | 5.19e-02  | B    | E2 |
       |                                         |                |  26810.55      -   40468.01     |  6 - 4  | 9.07e-02  | B    | E2 |
       |                                         |                |  26830.57      -   40470.00     |  4 - 2  | 7.74e-02  | B    | E2 |
       |                                         |                |  26830.57      -   40468.01     |  4 - 4  | 3.85e-02  | B    | E2 |
       |                                         |                |  26810.55      -   40468.01     |  6 - 4  | 8.37e-03  | B    | M1 |
       |                                         |                |  26830.57      -   40468.01     |  4 - 4  | 1.49e-02  | B    | M1 |
       |                                         |                |  26830.57      -   40470.00     |  4 - 2  | 9.32e-03  | B    | M1 |
       |                                         |                |                                 |         |           |      |    |
