---------------------------------------------------------------
Configuration      | Term   |    J |                 Level    |
                   |        |  1/2 |            255281.93     |
                   |        |      |                          |
2s2.2p2.(3P).4d    | 2F     |  5/2 |            255302.11     |
                   |        |  7/2 |            255466.10     |
                   |        |      |                          |
2s2.2p2.(1D).3d    | 2S     |  1/2 |            255622.80     |
                   |        |      |                          |
2s2.2p2.(3P).4f D  | 2[3]*  |  5/2 |            255689.939    |
                   |        |  7/2 |            255691.346    |
                   |        |      |                          |
2s2.2p2.(3P).4f G  | 2[3]*  |  5/2 |            255756.131    |
                   |        |  7/2 |            255759.384    |
                   |        |      |                          |
2s2.2p2.(3P).4f D  | 2[2]*  |  3/2 |            255812.728    |
                   |        |  5/2 |            255813.472    |
                   |        |      |                          |
2s2.2p2.(3P).4f G  | 2[4]*  |  9/2 |            255827.657    |
                   |        |  7/2 |            255829.58     |
                   |        |      |                          |
2s2.2p2.(3P).4d    | 2D     |  3/2 |            255842.91     |
                   |        |  5/2 |            255897.59     |
                   |        |      |                          |
2s2.2p2.(3P).4f D  | 2[1]*  |  3/2 |            255912.32     |
                   |        |  1/2 |            255912.37     |
                   |        |      |                          |
2s2.2p2.(3P).4f G  | 2[5]*  | 11/2 |            255977.481    |
                   |        |  9/2 |            255983.584    |
                   |        |      |                          |
2s2.2p2.(3P).4f F  | 2[2]*  |  3/2 |            256083.604    |
                   |        |  5/2 |            256087.746    |
                   |        |      |                          |
2s2.2p2.(3P).4f F  | 2[3]*  |  7/2 |            256123.231    |
                   |        |  5/2 |            256125.785    |
                   |        |      |                          |
2s2.2p2.(3P).4f F  | 2[4]*  |  9/2 |            256136.036    |
                   |        |  7/2 |            256143.187    |
                   |        |      |                          |
2s2.2p2.(3P).5s    | 4P     |  1/2 |            257695.74     |
                   |        |  3/2 |            257799.93     |
                   |        |  5/2 |            257965.11     |
                   |        |      |                          |
2s2.2p2.(3P).5s    | 2P     |  1/2 |            258411.26     |
                   |        |  3/2 |            258606.35     |
                   |        |      |                          |
2s2.2p2.(1D).4s    | 2D     |  5/2 |            259287.61     |
                   |        |  3/2 |            259288.07     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 2S*    |  1/2 |            260686.27     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 4D*    |  1/2 |            260911.96     |
                   |        |  3/2 |            260958.62     |
                   |        |  5/2 |            261044.03     |
                   |        |  7/2 |            261180.59     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 4P*    |  1/2 |            261214.47     |
                   |        |  3/2 |            261261.29     |
                   |        |  5/2 |            261356.02     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 4S*    |  3/2 |            261621.56     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 2D*    |  3/2 |            261698.75     |
                   |        |  5/2 |            261869.94     |
                   |        |      |                          |
2s2.2p2.(3P).5p    | 2P*    |  1/2 |            262286.82     |
                   |        |  3/2 |            262368.05     |
                   |        |      |                          |
2s2.2p2.(3P).5d    | 4D     |  3/2 |            265220.3      |
                   |        |  5/2 |            265220.3      |
                   |        |      |                          |
2s2.2p2.(3P).5d    | 4P     |  5/2 |            265431.5      |
                   |        |  3/2 |            265468.2      |
                   |        |      |                          |
2s2.2p2.(3P).5d    | 2F     |  7/2 |            265581.2      |
                   |        |      |                          |
2s2.2p2.(3P).5f D  | 2[3]*  |  5/2 |            265637.10     |
                   |        |  7/2 |            265638.59     |
                   |        |      |                          |
2s2.2p2.(3P<0>).5g | 2[4]   |  9/2 |            265697.13     |
                   |        |  7/2 |            265697.13     |
                   |        |      |                          |
2s2.2p2.(3P).5f G  | 2[3]*  |  5/2 |            265718.48     |
                   |        |  7/2 |            265720.38     |
                   |        |      |                          |
2s2.2p2.(3P).5f G  | 2[4]*  |  9/2 |            265761.29     |
                   |        |  7/2 |            265763.36     |
                   |        |      |                          |
2s2.2p2.(3P).5f D  | 2[2]*  |  3/2 |            265766.28     |
                   |        |  5/2 |            265767.55     |
                   |        |      |                          |
2s2.2p2.(3P<1>).5g | 2[4]   |  7/2 |            265794.08     |
                   |        |  9/2 |            265794.14     |
                   |        |      |                          |
2s2.2p2.(3P<1>).5g | 2[5]   |  9/2 |            265815.98     |
                   |        | 11/2 |            265816.06     |
                   |        |      |                          |
2s2.2p2.(3P<1>).5g | 2[3]   |  5/2 |            265820.27     |
                   |        |  7/2 |            265820.46     |
                   |        |      |                          |
2s2.2p2.(3P).5d    | 2D     |  5/2 |            265855.2      |
                   |        |      |                          |
2s2.2p2.(3P).5f D  | 2[1]*  |  1/2 |            265893.06     |
                   |        |  3/2 |            265893.62     |
                   |        |      |                          |
2s2.2p2.(3P).5f G  | 2[5]*  | 11/2 |            265925.19     |
                   |        |  9/2 |            265930.31     |
                   |        |      |                          |
2s2.2p2.(3P).5f F  | 2[2]*  |  3/2 |            265957.37     |
                   |        |  5/2 |            265963.54     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[2]   |  5/2 |            265980.11     |
                   |        |  3/2 |            265980.11     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[6]   | 11/2 |            265992.31     |
                   |        |      |                          |
