# Variables: 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k[0] 13:mu_t 14:k_t 15:S 16:tke 17:omega 18:massf[0]-LUT 19:e[0] 20:T[0] 21:M_local 22:pitot_p 23:total_p 24:total_h
 5.114270e-01 1.942938e-03 0.000000e+00 1.938940e-09 1.259697e-01 1.996218e+03 -2.605074e+00 0.000000e+00 1.606741e+04 4.211554e+02 2.483825e-05 3.542339e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000006e+00 1.000000e+00 3.201877e+05 4.443397e+02 4.739864e+00 4.699105e+05 6.454131e+06 2.440183e+06
 5.114270e-01 5.815955e-03 0.000000e+00 5.764855e-09 1.255640e-01 1.995900e+03 -7.380785e+00 0.000000e+00 1.603840e+04 4.214462e+02 2.486316e-05 3.546104e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000006e+00 1.000000e+00 3.206518e+05 4.449709e+02 4.735867e+00 4.682709e+05 6.412301e+06 2.440218e+06
 5.114271e-01 9.650730e-03 0.000000e+00 9.437821e-09 1.253465e-01 1.996202e+03 -1.181975e+01 0.000000e+00 1.599028e+04 4.211858e+02 2.484085e-05 3.542732e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000005e+00 1.000000e+00 3.202362e+05 4.444056e+02 4.739562e+00 4.675950e+05 6.420906e+06 2.440285e+06
 5.114273e-01 1.342288e-02 0.000000e+00 1.286542e-08 1.249704e-01 1.996625e+03 -1.559979e+01 0.000000e+00 1.591461e+04 4.208300e+02 2.481040e-05 3.538129e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000003e+00 1.000000e+00 3.196687e+05 4.436337e+02 4.744639e+00 4.663800e+05 6.428770e+06 2.440393e+06
 5.114274e-01 1.710961e-02 0.000000e+00 1.596860e-08 1.245998e-01 1.996933e+03 -1.841475e+01 0.000000e+00 1.584372e+04 4.205244e+02 2.478427e-05 3.534180e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000003e+00 1.000000e+00 3.191819e+05 4.429715e+02 4.748875e+00 4.651329e+05 6.432025e+06 2.440379e+06
 5.114277e-01 2.069025e-02 0.000000e+00 1.868525e-08 1.243783e-01 1.997140e+03 -1.998212e+01 0.000000e+00 1.580040e+04 4.203283e+02 2.476751e-05 3.531647e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.188697e+05 4.425468e+02 4.751618e+00 4.643975e+05 6.435109e+06 2.440388e+06
 5.114279e-01 2.414667e-02 0.000000e+00 2.097228e-08 1.244720e-01 1.997115e+03 -2.029210e+01 0.000000e+00 1.581419e+04 4.203525e+02 2.476958e-05 3.531960e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.189083e+05 4.425993e+02 4.751293e+00 4.647390e+05 6.438274e+06 2.440398e+06
 5.114282e-01 2.746354e-02 0.000000e+00 2.280624e-08 1.244633e-01 1.997160e+03 -1.973613e+01 0.000000e+00 1.581102e+04 4.203259e+02 2.476731e-05 3.531617e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.188660e+05 4.425417e+02 4.751688e+00 4.647231e+05 6.439975e+06 2.440419e+06
 5.114285e-01 3.062850e-02 0.000000e+00 2.418241e-08 1.245307e-01 1.997128e+03 -1.864164e+01 0.000000e+00 1.582310e+04 4.203715e+02 2.477120e-05 3.532205e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.189385e+05 4.426404e+02 4.751071e+00 4.649573e+05 6.440238e+06 2.440434e+06
 5.114288e-01 3.363222e-02 0.000000e+00 2.511292e-08 1.247043e-01 1.997008e+03 -1.711146e+01 0.000000e+00 1.585432e+04 4.204896e+02 2.478129e-05 3.533730e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.191265e+05 4.428961e+02 4.749419e+00 4.655506e+05 6.440457e+06 2.440429e+06
 5.114291e-01 3.646832e-02 0.000000e+00 2.562385e-08 1.249703e-01 1.996804e+03 -1.504664e+01 0.000000e+00 1.590282e+04 4.206784e+02 2.479744e-05 3.536170e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000002e+00 1.000000e+00 3.194273e+05 4.433053e+02 4.746763e+00 4.664521e+05 6.440047e+06 2.440406e+06
 5.114294e-01 3.913319e-02 0.000000e+00 2.575205e-08 1.254968e-01 1.996484e+03 -1.269530e+01 0.000000e+00 1.599562e+04 4.210088e+02 2.482569e-05 3.540441e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000003e+00 1.000000e+00 3.199538e+05 4.440215e+02 4.742238e+00 4.682790e+05 6.443340e+06 2.440466e+06
 5.114298e-01 4.162579e-02 0.000000e+00 2.554176e-08 1.262310e-01 1.996060e+03 -9.771679e+00 0.000000e+00 1.612601e+04 4.214769e+02 2.486578e-05 3.546500e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000006e+00 1.000000e+00 3.207007e+05 4.450374e+02 4.735928e+00 4.708392e+05 6.447949e+06 2.440627e+06
