#x(m)	y(m)	z(m)	du(m/s)	dy(m)	rho(kg/m^3)	mu(N.s/m^2)	tau_w(N/m^2)	y_plus 
3.240226e-03	1.317282e-02	0.000000	934.124070	1.582519e-05	5.870793e+00	5.246967e-05	3097.161	40.669704 
3.515771e-03	1.323132e-02	0.000000	934.195668	1.591434e-05	5.847371e+00	5.237928e-05	3074.742	40.739323 
3.793836e-03	1.329035e-02	0.000000	934.812821	1.600449e-05	5.824091e+00	5.228878e-05	3054.157	40.821881 
4.074440e-03	1.334993e-02	0.000000	935.024200	1.609564e-05	5.794250e+00	5.218237e-05	3031.365	40.879194 
4.357603e-03	1.341004e-02	0.000000	934.356760	1.618783e-05	5.757945e+00	5.205763e-05	3004.751	40.901780 
4.643347e-03	1.347071e-02	0.000000	933.259706	1.628105e-05	5.719711e+00	5.193240e-05	2976.860	40.908196 
4.931690e-03	1.353193e-02	0.000000	933.049736	1.637533e-05	5.685384e+00	5.181711e-05	2952.487	40.944039 
5.222655e-03	1.359370e-02	0.000000	933.453253	1.647067e-05	5.654174e+00	5.170842e-05	2930.505	41.002082 
5.516262e-03	1.365603e-02	0.000000	934.044400	1.656710e-05	5.614447e+00	5.158011e-05	2908.059	41.041135 
5.812532e-03	1.371893e-02	0.000000	933.906917	1.666462e-05	5.581789e+00	5.147260e-05	2884.591	41.081679 
6.111484e-03	1.378240e-02	0.000000	933.934552	1.676326e-05	5.548378e+00	5.136475e-05	2861.694	41.123291 
6.413142e-03	1.384644e-02	0.000000	934.119496	1.686302e-05	5.512320e+00	5.125116e-05	2839.036	41.160841 
6.717525e-03	1.391106e-02	0.000000	934.473779	1.696392e-05	5.474167e+00	5.113328e-05	2816.725	41.195892 
7.024656e-03	1.397626e-02	0.000000	934.926163	1.706599e-05	5.435120e+00	5.101437e-05	2794.721	41.229935 
7.334554e-03	1.404205e-02	0.000000	935.410425	1.716922e-05	5.395890e+00	5.089636e-05	2772.926	41.263362 
7.647243e-03	1.410844e-02	0.000000	935.908961	1.727365e-05	5.356663e+00	5.077975e-05	2751.313	41.296265 
7.962742e-03	1.417542e-02	0.000000	936.476165	1.737929e-05	5.316730e+00	5.066252e-05	2729.929	41.327899 
8.281075e-03	1.424300e-02	0.000000	937.148993	1.748616e-05	5.275638e+00	5.054324e-05	2708.803	41.357802 
8.602262e-03	1.431118e-02	0.000000	937.973920	1.759426e-05	5.232783e+00	5.042027e-05	2687.973	41.385165 
8.926326e-03	1.437998e-02	0.000000	938.958224	1.770363e-05	5.187926e+00	5.029240e-05	2667.389	41.409500 
9.253288e-03	1.444939e-02	0.000000	940.030701	1.781428e-05	5.142149e+00	5.016359e-05	2647.051	41.431741 
9.583170e-03	1.451942e-02	0.000000	941.025398	1.792623e-05	5.097144e+00	5.003686e-05	2626.651	41.453725 
9.915995e-03	1.459008e-02	0.000000	942.009135	1.803949e-05	5.052715e+00	4.991560e-05	2606.556	41.474769 
1.025173e-02	1.466136e-02	0.000000	942.873504	1.814578e-05	5.009077e+00	4.979233e-05	2587.261	41.487013 
1.059038e-02	1.473328e-02	0.000000	943.509750	1.823995e-05	4.965822e+00	4.966225e-05	2568.911	41.482742 
1.093204e-02	1.480583e-02	0.000000	944.264939	1.832978e-05	4.920868e+00	4.952600e-05	2551.349	41.469591 
1.127672e-02	1.487903e-02	0.000000	945.203585	1.842040e-05	4.873270e+00	4.938238e-05	2533.951	41.451140 
1.162445e-02	1.495288e-02	0.000000	946.251314	1.851183e-05	4.823982e+00	4.923269e-05	2516.580	41.428956 
1.197526e-02	1.502738e-02	0.000000	947.273708	1.860406e-05	4.774729e+00	4.908489e-05	2499.284	41.403977 
1.232916e-02	1.510254e-02	0.000000	948.175905	1.869711e-05	4.726642e+00	4.894078e-05	2481.907	41.378293 
1.268619e-02	1.517836e-02	0.000000	949.004161	1.879097e-05	4.679172e+00	4.879904e-05	2464.507	41.351150 
1.304635e-02	1.525485e-02	0.000000	949.778663	1.888567e-05	4.632028e+00	4.865863e-05	2447.090	41.322161 
1.340968e-02	1.533201e-02	0.000000	950.560331	1.898119e-05	4.584548e+00	4.851759e-05	2429.715	41.290510 
1.377620e-02	1.540985e-02	0.000000	951.395342	1.907756e-05	4.535944e+00	4.837264e-05	2412.338	41.254928 
1.414593e-02	1.548836e-02	0.000000	952.347909	1.917476e-05	4.485573e+00	4.821174e-05	2394.520	41.218802 
1.451889e-02	1.556757e-02	0.000000	953.426184	1.927282e-05	4.433733e+00	4.804743e-05	2376.906	41.178061 
1.489511e-02	1.564747e-02	0.000000	954.501814	1.937174e-05	4.381830e+00	4.788411e-05	2359.389	41.134357 
1.527461e-02	1.572806e-02	0.000000	955.509495	1.947151e-05	4.330491e+00	4.772332e-05	2341.887	41.088526 
1.565741e-02	1.580936e-02	0.000000	956.423277	1.957216e-05	4.279933e+00	4.756559e-05	2324.365	41.040863 
1.604355e-02	1.589136e-02	0.000000	957.270081	1.967368e-05	4.229926e+00	4.741029e-05	2306.862	40.991151 
1.643303e-02	1.597407e-02	0.000000	958.078450	1.977608e-05	4.180203e+00	4.725674e-05	2289.416	40.939018 
1.682588e-02	1.605751e-02	0.000000	958.899647	1.987937e-05	4.130300e+00	4.710374e-05	2272.092	40.883772 
1.722213e-02	1.614166e-02	0.000000	959.783228	1.998355e-05	4.079755e+00	4.695011e-05	2254.952	40.824566 
1.762181e-02	1.622654e-02	0.000000	960.763165	2.008863e-05	4.028240e+00	4.679492e-05	2238.024	40.760700 
1.802493e-02	1.631215e-02	0.000000	961.848958	2.019461e-05	3.975675e+00	4.663810e-05	2221.326	40.691737 
1.843151e-02	1.639849e-02	0.000000	963.021002	2.030151e-05	3.922230e+00	4.647965e-05	2204.805	40.617875 
1.884159e-02	1.648558e-02	0.000000	964.230857	2.040933e-05	3.868395e+00	4.632170e-05	2188.451	40.539466 
1.925519e-02	1.657342e-02	0.000000	965.399011	2.051807e-05	3.814822e+00	4.616400e-05	2172.070	40.458248 
1.967232e-02	1.666200e-02	0.000000	966.507889	2.062774e-05	3.761687e+00	4.600967e-05	2155.772	40.373395 
2.009302e-02	1.675135e-02	0.000000	967.524386	2.073835e-05	3.709372e+00	4.585794e-05	2139.451	40.286632 
2.051731e-02	1.684145e-02	0.000000	968.463606	2.084990e-05	3.657652e+00	4.570849e-05	2123.128	40.197255 
2.094520e-02	1.693232e-02	0.000000	969.349728	2.096240e-05	3.606352e+00	4.556087e-05	2106.840	40.105024 
