# dist-to-jet(mm) x/D() c_p 
-0.075711 -15.905632 0.000774 
-0.070631 -14.838489 0.000880 
-0.065607 -13.783071 0.001018 
-0.060675 -12.746817 0.001115 
-0.055866 -11.736622 0.001217 
-0.051211 -10.758670 0.001785 
-0.046735 -9.818296 0.013567 
-0.042459 -8.919908 0.051232 
-0.038399 -8.066933 0.086703 
-0.034566 -7.261836 0.103768 
-0.030969 -6.506145 0.106202 
-0.027610 -5.800521 0.096082 
-0.024490 -5.144857 0.076725 
-0.021603 -4.538372 0.079671 
-0.018943 -3.979725 0.166006 
-0.016504 -3.467130 0.299463 
-0.014273 -2.998460 0.292119 
-0.012240 -2.571338 0.214273 
-0.010392 -2.183233 0.157063 
-0.008718 -1.831527 0.210606 
-0.007205 -1.513584 0.208418 
-0.005840 -1.226796 0.162875 
-0.004611 -0.968624 0.093649 
-0.003506 -0.736630 0.024046 
-0.002516 -0.528494 0.273116 


0.002635 0.553513 0.191771 
0.003843 0.807300 -0.000340 
0.005119 1.075395 -0.049195 
0.006466 1.358500 -0.068127 
0.007889 1.657342 -0.077072 
0.009390 1.972674 -0.081601 
0.010973 2.305261 -0.082235 
0.012642 2.655891 -0.080401 
0.014401 3.025370 -0.078406 
0.016253 3.414517 -0.077131 
0.018203 3.824166 -0.075946 
0.020255 4.255162 -0.074512 
0.022412 4.708361 -0.072835 
0.024679 5.184601 -0.070651 
0.027059 5.684727 -0.067776 
0.029558 6.209622 -0.063838 
0.032178 6.760105 -0.059454 
0.034924 7.336975 -0.055010 
0.037799 7.941071 -0.050759 
0.040808 8.573130 -0.047469 
0.043953 9.233908 -0.044679 
0.047239 9.924097 -0.041670 
0.050667 10.644328 -0.039770 
0.054241 11.395189 -0.040465 
0.057963 12.177185 -0.033799 
0.061836 12.990777 -0.002765 
0.065861 13.836303 0.037262 
0.070039 14.714013 0.047972 
0.074371 15.624076 0.048614 
0.078857 16.566534 0.043426 
0.083497 17.541303 0.035784 
0.088289 18.548172 0.023855 
0.093233 19.586807 0.005801 
0.098326 20.656702 -0.015165 
0.103564 21.757227 -0.033237 
0.108945 22.887605 -0.038146 
0.114463 24.046870 -0.033488 
0.120114 25.233929 -0.023648 
0.125890 26.447500 -0.016435 
0.131786 27.686155 -0.013332 
0.137794 28.948340 -0.011983 
0.143906 30.232332 -0.011262 
0.150113 31.536239 -0.010225 
0.156405 32.858088 -0.008989 
0.162772 34.195735 -0.006846 
0.169203 35.546933 -0.003721 
0.175689 36.909370 -0.000703 
0.182216 38.280651 0.000116 
0.188773 39.658277 -0.001197 
0.195349 41.039727 -0.004862 
