# dist-to-jet(mm) x/D() c_p 
-0.075711 -15.905632 0.000774 
-0.070631 -14.838489 0.000880 
-0.065607 -13.783071 0.001024 
-0.060675 -12.746817 0.001102 
-0.055866 -11.736622 0.001220 
-0.051211 -10.758670 0.001808 
-0.046735 -9.818296 0.012843 
-0.042459 -8.919908 0.046732 
-0.038399 -8.066933 0.082467 
-0.034566 -7.261836 0.099397 
-0.030969 -6.506145 0.108828 
-0.027610 -5.800521 0.102661 
-0.024490 -5.144857 0.081467 
-0.021603 -4.538372 0.079174 
-0.018943 -3.979725 0.151500 
-0.016504 -3.467130 0.273259 
-0.014273 -2.998460 0.288838 
-0.012240 -2.571338 0.202548 
-0.010392 -2.183233 0.133199 
-0.008718 -1.831527 0.190666 
-0.007205 -1.513584 0.192265 
-0.005840 -1.226796 0.152395 
-0.004611 -0.968624 0.080871 
-0.003506 -0.736630 0.023177 
-0.002516 -0.528494 0.267154 


0.002635 0.553513 0.191808 
0.003843 0.807300 -0.000331 
0.005119 1.075395 -0.049232 
0.006466 1.358500 -0.068089 
0.007889 1.657342 -0.077082 
0.009390 1.972674 -0.081698 
0.010973 2.305261 -0.082711 
0.012642 2.655891 -0.081198 
0.014401 3.025370 -0.079390 
0.016253 3.414517 -0.078172 
0.018203 3.824166 -0.077256 
0.020255 4.255162 -0.076022 
0.022412 4.708361 -0.074696 
0.024679 5.184601 -0.072733 
0.027059 5.684727 -0.070054 
0.029558 6.209622 -0.066199 
0.032178 6.760105 -0.061489 
0.034924 7.336975 -0.056392 
0.037799 7.941071 -0.051206 
0.040808 8.573130 -0.047003 
0.043953 9.233908 -0.044245 
0.047239 9.924097 -0.042340 
0.050667 10.644328 -0.041316 
0.054241 11.395189 -0.041956 
0.057963 12.177185 -0.032947 
0.061836 12.990777 -0.000031 
0.065861 13.836303 0.035764 
0.070039 14.714013 0.045717 
0.074371 15.624076 0.045789 
0.078857 16.566534 0.038816 
0.083497 17.541303 0.029015 
0.088289 18.548172 0.017784 
0.093233 19.586807 0.001012 
0.098326 20.656702 -0.018465 
0.103564 21.757227 -0.033841 
0.108945 22.887605 -0.041142 
0.114463 24.046870 -0.036763 
0.120114 25.233929 -0.026942 
0.125890 26.447500 -0.018824 
0.131786 27.686155 -0.014102 
0.137794 28.948340 -0.011196 
0.143906 30.232332 -0.008284 
0.150113 31.536239 -0.006050 
0.156405 32.858088 -0.004481 
0.162772 34.195735 -0.003605 
0.169203 35.546933 -0.003444 
0.175689 36.909370 -0.004683 
0.182216 38.280651 -0.007142 
0.188773 39.658277 -0.009328 
0.195349 41.039727 -0.010505 
