# x(m) du(m/s) dy(m) tau_w(N/m^2) c_f y_plus 
0.205767 32.027960 1.020000e-05 55.556767 0.001235 0.863000 
0.210588 31.922270 1.020000e-05 55.375969 0.001231 0.861351 
0.215473 31.796160 1.020000e-05 55.157017 0.001226 0.859619 
0.220420 31.735240 1.020000e-05 55.063006 0.001224 0.858621 
0.225429 31.601010 1.020000e-05 54.830262 0.001219 0.856830 
0.230499 31.512810 1.020000e-05 54.683314 0.001216 0.855524 
0.235629 31.391550 1.020000e-05 54.476096 0.001211 0.853746 
0.240817 31.272280 1.020000e-05 54.273563 0.001207 0.851902 
0.246063 31.135800 1.020000e-05 54.040149 0.001202 0.849824 
0.251364 30.997700 1.020000e-05 53.804410 0.001196 0.847704 
0.256721 30.849490 1.020000e-05 53.551388 0.001191 0.845466 
0.262130 30.692720 1.020000e-05 53.282682 0.001185 0.843192 
0.267591 30.540080 1.010000e-05 53.546829 0.001191 0.836965 
0.273103 30.395170 1.010000e-05 53.297901 0.001185 0.835014 
0.278663 30.240820 1.010000e-05 53.031200 0.001179 0.832880 
0.284270 30.083050 1.010000e-05 52.759147 0.001173 0.830560 
0.289921 29.903090 1.000000e-05 52.970991 0.001178 0.823731 
0.295616 29.711620 1.000000e-05 52.636066 0.001170 0.820778 
0.301352 29.502750 1.000000e-05 52.269226 0.001162 0.817621 
0.307127 29.294230 9.900000e-06 52.428150 0.001166 0.810459 
0.312940 29.084420 9.900000e-06 52.057557 0.001157 0.807430 
0.318787 28.870640 9.800000e-06 52.206808 0.001161 0.800302 
0.324668 28.648470 9.800000e-06 51.809881 0.001152 0.797167 
0.330579 28.424700 9.700000e-06 51.939956 0.001155 0.789988 
0.336518 28.193900 9.700000e-06 51.523742 0.001146 0.786780 
0.342484 27.960430 9.600000e-06 51.633914 0.001148 0.779468 
0.348473 27.713280 9.500000e-06 51.721849 0.001150 0.771891 
0.354484 27.460960 9.500000e-06 51.254668 0.001140 0.768244 
0.360513 27.188560 9.400000e-06 51.292375 0.001140 0.760122 
0.366559 26.905720 9.300000e-06 51.306691 0.001141 0.751893 
0.372619 26.609280 9.200000e-06 51.301159 0.001141 0.743375 
0.378690 26.287370 9.100000e-06 51.239746 0.001139 0.734700 
0.384771 26.028970 9.100000e-06 50.741847 0.001128 0.730922 
0.390857 25.600160 9.000000e-06 50.483715 0.001122 0.720581 
0.396948 25.338780 8.900000e-06 50.496373 0.001123 0.713307 
