-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
                       |           |   0 |             122790.547     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).6p  | 2[3/2]    |   1 |             122609.637     |
                       |           |   2 |             122635.054     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5f  | 2[3/2]    |   1 |             122686.065     |
                       |           |   2 |             122686.410     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5f  | 2[9/2]    |   4 |             122695.697     |
                       |           |   5 |             122695.636     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5f  | 2[5/2]    |   3 |             122707.902     |
                       |           |   2 |             122708.126     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5g  | 2[5/2]*   |   3 |             122709.45      |
                       |           |   2 |             122709.45      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5g  | 2[11/2]*  |   5 |             122712.84      |
                       |           |   6 |             122712.84      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5f  | 2[7/2]    |   3 |             122717.823     |
                       |           |   4 |             122717.853     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5g  | 2[7/2]*   |   4 |             122719.47      |
                       |           |   3 |             122719.47      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5g  | 2[9/2]*   |   5 |             122722.99      |
                       |           |   4 |             122722.99      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7p  | 2[1/2]    |   1 |             123171.920     |
                       |           |   0 |             123385.044     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7p  | 2[5/2]    |   3 |             123205.780     |
                       |           |   2 |             123220.69      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7p  | 2[3/2]    |   1 |             123254.91      |
                       |           |   2 |             123261.525     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5d  | 2[3/2]*   |   2 |             123372.9253    |
                       |           |   1 |             123815.56      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6d  | 2[1/2]*   |   1 |             123467.9733    |
                       |           |   0 |             123508.927     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5d  | 2[5/2]*   |   2 |             123505.4896    |
                       |           |   3 |             123557.4227    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6d  | 2[7/2]*   |   4 |             123653.177     |
                       |           |   3 |             123773.8614    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6d  | 2[3/2]*   |   2 |             123808.513     |
                       |           |   1 |             123997.01      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6d  | 2[5/2]*   |   2 |             123826.750     |
                       |           |   3 |             123832.419     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7s  | 2[1/2]*   |   0 |             123873.000     |
                       |           |   1 |             123882.203     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8s  | 2[3/2]*   |   2 |             123903.220     |
                       |           |   1 |             123935.870     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6f  | 2[3/2]    |   1 |             124041.100     |
                       |           |   2 |             124041.26      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6f  | 2[9/2]    |   5 |             124046.602     |
                       |           |   4 |             124046.630     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6f  | 2[5/2]    |   3 |             124051.375     |
                       |           |   2 |             124051.630     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6g  | 2[5/2]*   |   2 |             124055.06      |
                       |           |   3 |             124055.06      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6g  | 2[11/2]*  |   5 |             124056.98      |
                       |           |   6 |             124056.98      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6f  | 2[7/2]    |   3 |             124058.232     |
                       |           |   4 |             124058.241     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6g  | 2[7/2]*   |   3 |             124060.55      |
                       |           |   4 |             124060.55      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).6g  | 2[9/2]*   |   4 |             124062.6       |
                       |           |   5 |             124062.6       |
                       |           |     |                            |
