-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
       |                                 |              |      0.00   -  184074.59  |  2 - 4  | 3.95e+08  | B    |    |
       |                                 |              |     63.42   -  184075.28  |  4 - 6  | 4.74e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    15 |         2s2.2p - 2s.2p.(3P*).3p |   2P* - 2D   |     42.28   -  188601.54  |  6 - 10 | 5.14e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     63.42   -  188581.25  |  4 - 4  | 8.56e+07  | B    |    |
       |                                 |              |      0.00   -  188581.25  |  2 - 4  | 4.28e+08  | B    |    |
       |                                 |              |     63.42   -  188615.07  |  4 - 6  | 5.14e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    16 |         2s2.2p - 2s.2p.(3P*).4p |   2P* - 2P   |     42.28   -  214421.41  |  6 - 6  | 2.73e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.00   -  214429.95  |  2 - 4  | 4.54e+07  | C+   |    |
       |                                 |              |     63.42   -  214404.33  |  4 - 2  | 9.08e+07  | C+   |    |
       |                                 |              |      0.00   -  214404.33  |  2 - 2  | 1.82e+08  | B    |    |
       |                                 |              |     63.42   -  214429.95  |  4 - 4  | 2.27e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    17 |         2s2.2p - 2s.2p.(3P*).5p |   2P* - 2P   |     42.28   -  227898.88  |  6 - 6  | 1.33e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.00   -  227907.71  |  2 - 4  | 2.23e+07  | C+   |    |
       |                                 |              |     63.42   -  227881.21  |  4 - 2  | 4.45e+07  | C+   |    |
       |                                 |              |      0.00   -  227881.21  |  2 - 2  | 8.90e+07  | C+   |    |
       |                                 |              |     63.42   -  227907.71  |  4 - 4  | 1.11e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    18 |         2s.2p2 - 2s2.3p         |   4P  - 2P*  |  43035.8    -  131731.8   | 12 - 6  | 2.20e+02  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  131735.52  |  2 - 4  | 1.01e+02  | B    |    |
       |                                 |              |  43003.3    -  131724.37  |  2 - 2  | 5.55e+01  | B    |    |
       |                                 |              |  43025.3    -  131735.52  |  4 - 4  | 1.91e+01  | B    |    |
       |                                 |              |  43025.3    -  131724.37  |  4 - 2  | 9.06e+00  | B    |    |
       |                                 |              |  43053.6    -  131735.52  |  6 - 4  | 1.78e+02  | B    |    |
       |                                 |              |                           |         |           |      |    |
    19 |         2s.2p2 - 2p3            |   4P  - 4S*  |  43035.8    -  142027.1   | 12 - 4  | 3.38e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43053.6    -  142027.1   |  6 - 4  | 1.69e+09  | A    |    |
       |                                 |              |  43025.3    -  142027.1   |  4 - 4  | 1.13e+09  | A    |    |
       |                                 |              |  43003.3    -  142027.1   |  2 - 4  | 5.65e+08  | A    |    |
       |                                 |              |                           |         |           |      |    |
    20 |         2s.2p2 - 2s.2p.(3P*).3s |   4P  - 4P*  |  43035.8    -  167009.29  | 12 - 12 | 8.42e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  166990.73  |  2 - 4  | 3.51e+08  | B    |    |
       |                                 |              |  43025.3    -  167035.71  |  4 - 6  | 2.53e+08  | B    |    |
       |                                 |              |  43025.3    -  166967.13  |  4 - 2  | 7.01e+08  | B    |    |
       |                                 |              |  43053.6    -  166990.73  |  6 - 4  | 3.79e+08  | B    |    |
       |                                 |              |  43003.3    -  166967.13  |  2 - 2  | 1.40e+08  | B    |    |
       |                                 |              |  43025.3    -  166990.73  |  4 - 4  | 1.12e+08  | B    |    |
       |                                 |              |  43053.6    -  167035.71  |  6 - 6  | 5.89e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    21 |         2s.2p2 - 2s.2p.(3P*).3d |   4P  - 4D*  |  43035.8    -  196572.8   | 12 - 20 | 4.19e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43025.3    -  196557.87  |  4 - 2  | 6.98e+08  | B    |    |
       |                                 |              |  43053.6    -  196563.41  |  6 - 4  | 2.09e+08  | B    |    |
       |                                 |              |  43003.3    -  196557.87  |  2 - 2  | 3.49e+09  | B    |    |
       |                                 |              |  43025.3    -  196563.41  |  4 - 4  | 2.24e+09  | B    |    |
       |                                 |              |  43053.6    -  196571.82  |  6 - 6  | 1.26e+09  | B    |    |
       |                                 |              |  43003.3    -  196563.41  |  2 - 4  | 1.75e+09  | B    |    |
       |                                 |              |  43025.3    -  196571.82  |  4 - 6  | 2.93e+09  | B    |    |
       |                                 |              |  43053.6    -  196581.96  |  6 - 8  | 4.19e+09  | B    |    |
       |                                 |              |                           |         |           |      |    |
    22 |                                 |   4P  - 4P*  |  43035.8    -  198856.92  | 12 - 12 | 2.20e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  198865.25  |  2 - 4  | 9.16e+08  | B    |    |
       |                                 |              |  43025.3    -  198844.00  |  4 - 6  | 6.59e+08  | B    |    |
       |                                 |              |  43025.3    -  198879.01  |  4 - 2  | 1.83e+09  | B    |    |
       |                                 |              |  43053.6    -  198865.25  |  6 - 4  | 9.88e+08  | B    |    |
       |                                 |              |  43003.3    -  198879.01  |  2 - 2  | 3.66e+08  | B    |    |
       |                                 |              |  43025.3    -  198865.25  |  4 - 4  | 2.93e+08  | B    |    |
       |                                 |              |  43053.6    -  198844.00  |  6 - 6  | 1.54e+09  | B    |    |
       |                                 |              |                           |         |           |      |    |
    23 |         2s.2p2 - 2s.2p.(3P*).4s |   4P  - 4P*  |  43035.8    -  209595.37  | 12 - 12 | 3.63e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  209576.46  |  2 - 4  | 1.51e+08  | B    |    |
       |                                 |              |  43025.3    -  209622.32  |  4 - 6  | 1.09e+08  | B    |    |
       |                                 |              |  43025.3    -  209552.36  |  4 - 2  | 3.02e+08  | B    |    |
       |                                 |              |  43053.6    -  209576.46  |  6 - 4  | 1.63e+08  | B    |    |
       |                                 |              |  43003.3    -  209552.36  |  2 - 2  | 6.05e+07  | B    |    |
       |                                 |              |  43025.3    -  209576.46  |  4 - 4  | 4.84e+07  | B    |    |
       |                                 |              |  43053.6    -  209622.32  |  6 - 6  | 2.54e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    24 |         2s.2p2 - 2s.2p.(3P*).4d |   4P  - 4D*  |  43035.8    -  220140.74  | 12 - 20 | 1.84e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43025.3    -  220125.51  |  4 - 2  | 3.07e+08  | B    |    |
       |                                 |              |  43053.6    -  220130.86  |  6 - 4  | 9.21e+07  | B    |    |
       |                                 |              |  43003.3    -  220125.51  |  2 - 2  | 1.54e+09  | B    |    |
       |                                 |              |  43025.3    -  220130.86  |  4 - 4  | 9.83e+08  | B    |    |
       |                                 |              |  43053.6    -  220139.41  |  6 - 6  | 5.53e+08  | B    |    |
       |                                 |              |  43003.3    -  220130.86  |  2 - 4  | 7.68e+08  | B    |    |
       |                                 |              |  43025.3    -  220139.41  |  4 - 6  | 1.29e+09  | B    |    |
       |                                 |              |  43053.6    -  220150.49  |  6 - 8  | 1.84e+09  | B    |    |
       |                                 |              |                           |         |           |      |    |
    25 |                                 |   4P  - 4P*  |  43035.8    -  220824.07  | 12 - 12 | 1.05e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  220832.15  |  2 - 4  | 4.37e+08  | B    |    |
       |                                 |              |  43025.3    -  220811.69  |  4 - 6  | 3.14e+08  | B    |    |
       |                                 |              |  43025.3    -  220845.07  |  4 - 2  | 8.73e+08  | B    |    |
       |                                 |              |  43053.6    -  220832.15  |  6 - 4  | 4.71e+08  | B    |    |
       |                                 |              |  43003.3    -  220845.07  |  2 - 2  | 1.75e+08  | B    |    |
       |                                 |              |  43025.3    -  220832.15  |  4 - 4  | 1.40e+08  | B    |    |
       |                                 |              |  43053.6    -  220811.69  |  6 - 6  | 7.33e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    26 |         2s.2p2 - 2s.2p.(3P*).5s |   4P  - 4P*  |  43035.8    -  225790.8   | 12 - 12 | 1.44e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  225771.8   |  2 - 4  | 6.01e+07  | B    |    |
       |                                 |              |  43025.3    -  225817.8   |  4 - 6  | 4.33e+07  | B    |    |
       |                                 |              |  43025.3    -  225748.0   |  4 - 2  | 1.20e+08  | B    |    |
       |                                 |              |  43053.6    -  225771.8   |  6 - 4  | 6.48e+07  | B    |    |
       |                                 |              |  43003.3    -  225748.0   |  2 - 2  | 2.40e+07  | C+   |    |
       |                                 |              |  43025.3    -  225771.8   |  4 - 4  | 1.92e+07  | C+   |    |
       |                                 |              |  43053.6    -  225817.8   |  6 - 6  | 1.01e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
