---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |               Configurations                |       Terms      |     Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                             |                  |   (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                             |                  |                           |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
       |                                             |                  |    16.40   -   78307.63   |  3 - 5  | 1.70e+08  | A    |    |
       |                                             |                  |    16.40   -   78293.49   |  3 - 3  | 9.24e+07  | A    |    |
       |                                             |                  |    43.40   -   78318.25   |  5 - 7  | 2.28e+08  | A    |    |
       |                                             |                  |    43.40   -   78307.63   |  5 - 5  | 6.30e+07  | A    |    |
       |                                             |                  |    43.40   -   78293.49   |  5 - 3  | 5.94e+06  | B+   |    |
       |                                             |                  |                           |         |           |      |    |
    13 |              2s2.2p2 - 2s2.2p.4s            |     3P  - 1P*    |    29.58   -   78340.28   |  9 - 3  | 1.62e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   78340.28   |  5 - 3  | 1.81e+06  | C+   |    |
       |                                             |                  |    16.40   -   78340.28   |  3 - 3  | 9.38e+06  | C+   |    |
       |                                             |                  |     0.00   -   78340.28   |  1 - 3  | 5.04e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    14 |              2s2.2p2 - 2s2.2p.3d            |     3P  - 1F*    |    43.4    -   78529.62   |  9 - 7  | 1.20e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   78529.62   |  5 - 7  | 1.20e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    15 |                                             |     3P  - 1P*    |    29.58   -   78731.27   |  9 - 3  | 6.7e+05   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   78731.27   |  3 - 3  | 2.14e+05  | C    |    |
       |                                             |                  |    43.40   -   78731.27   |  5 - 3  | 4.2e+03   | D    |    |
       |                                             |                  |     0.00   -   78731.27   |  1 - 3  | 4.54e+05  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    16 |                                             |     3P  - 3P*    |    29.58   -   79314.86   |  9 - 9  | 1.72e+08  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   79310.85   |  5 - 5  | 1.31e+08  | B    |    |
       |                                             |                  |    16.40   -   79318.78   |  3 - 3  | 4.55e+07  | B    |    |
       |                                             |                  |    43.40   -   79318.78   |  5 - 3  | 7.28e+07  | B    |    |
       |                                             |                  |    16.40   -   79323.16   |  3 - 1  | 1.76e+08  | B    |    |
       |                                             |                  |    16.40   -   79310.85   |  3 - 5  | 3.85e+07  | B    |    |
       |                                             |                  |     0.00   -   79318.78   |  1 - 3  | 5.51e+07  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    17 |              2s2.2p2 - 2s2.2p.4d            |     3P  - 1D*    |    33.28   -   83497.62   |  9 - 5  | 2.7e+05   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   83497.62   |  3 - 5  | 2.04e+05  | C    |    |
       |                                             |                  |    43.40   -   83497.62   |  5 - 5  | 6.8e+04   | C    |    |
       |                                             |                  |                           |         |           |      |    |
    18 |              2s2.2p2 - 2s2.2p.5s            |     3P  - 3P*    |    29.58   -   83772.5    |  9 - 9  | 5.07e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   83791.04   |  3 - 5  | 2.54e+07  | A    |    |
       |                                             |                  |    43.40   -   83791.04   |  5 - 5  | 2.98e+07  | B+   |    |
       |                                             |                  |    16.40   -   83752.41   |  3 - 3  | 8.34e+06  | A    |    |
       |                                             |                  |    43.40   -   83752.41   |  5 - 3  | 1.77e+07  | A    |    |
       |                                             |                  |    16.40   -   83740.06   |  3 - 1  | 4.40e+07  | A    |    |
       |                                             |                  |     0.00   -   83752.41   |  1 - 3  | 1.94e+07  | A    |    |
       |                                             |                  |                           |         |           |      |    |
    19 |              2s2.2p2 - 2s2.2p.4d            |     3P  - 3F*    |    33.28   -   83755.48   |  9 - 21 | 3.31e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   83747.39   |  5 - 5  | 3.43e+05  | B+   |    |
       |                                             |                  |    43.40   -   83761.26   |  5 - 7  | 6.77e+06  | B+   |    |
       |                                             |                  |    16.40   -   83747.39   |  3 - 5  | 4.10e+06  | B+   |    |
       |                                             |                  |                           |         |           |      |    |
    20 |                                             |     3P  - 3D*    |    29.58   -   83839.51   |  9 - 15 | 1.12e+08  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   83838.08   |  3 - 5  | 7.91e+07  | B+   |    |
       |                                             |                  |     0.00   -   83820.13   |  1 - 3  | 6.39e+07  | B+   |    |
