# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 3.043087e-06 3.774777e-09 1.241844e-01 2.640487e+01 -4.084238e-04 0.000000e+00 1.056524e+04 3.451200e+02 1.829645e-05 2.596075e-02 6.239525e-11 7.043812e-08 0.000000e+00 6.773801e-01 1.539689e+09 1.000000e+00 2.126925e+05 2.963699e+02
0.000000e+00 0.000000e+00 5.253053e-06 4.046054e-09 1.243858e-01 4.559721e+01 -8.316953e-04 0.000000e+00 1.056494e+04 3.448358e+02 1.827317e-05 2.592247e-02 1.069765e-09 1.207659e-06 0.000000e+00 4.305380e+00 5.470185e+08 1.000000e+00 2.123424e+05 2.958819e+02
0.000000e+00 0.000000e+00 7.631040e-06 4.337931e-09 1.247207e-01 6.627811e+01 -1.170761e-03 0.000000e+00 1.056398e+04 3.443568e+02 1.823394e-05 2.585794e-02 8.285164e-09 9.353137e-06 0.000000e+00 1.591644e+01 2.567703e+08 1.000000e+00 2.117529e+05 2.950606e+02
0.000000e+00 0.000000e+00 1.018980e-05 4.651968e-09 1.252183e-01 8.856757e+01 -1.487370e-03 0.000000e+00 1.056165e+04 3.436340e+02 1.817475e-05 2.576065e-02 4.090021e-08 4.617232e-05 0.000000e+00 4.384301e+01 1.421747e+08 1.000000e+00 2.108650e+05 2.938234e+02
0.000000e+00 0.000000e+00 1.294305e-05 4.989843e-09 1.259083e-01 1.125463e+02 -1.773410e-03 0.000000e+00 1.055687e+04 3.426140e+02 1.809122e-05 2.562342e-02 1.507517e-07 1.701839e-04 0.000000e+00 1.004438e+02 8.804527e+07 1.000000e+00 2.096151e+05 2.920818e+02
0.000000e+00 0.000000e+00 1.590554e-05 5.353358e-09 1.268283e-01 1.381991e+02 -1.806250e-03 0.000000e+00 1.054826e+04 3.412305e+02 1.797794e-05 2.543747e-02 4.484496e-07 5.062555e-04 0.000000e+00 2.016955e+02 5.936653e+07 1.000000e+00 2.079260e+05 2.897282e+02
0.000000e+00 0.000000e+00 1.909314e-05 5.744451e-09 1.280044e-01 1.652628e+02 -1.472646e-03 0.000000e+00 1.053430e+04 3.394353e+02 1.783098e-05 2.519649e-02 1.120835e-06 1.265312e-03 0.000000e+00 3.635147e+02 4.287906e+07 1.000000e+00 2.057445e+05 2.866884e+02
0.000000e+00 0.000000e+00 2.252292e-05 6.165208e-09 1.294666e-01 1.931692e+02 -5.919184e-04 0.000000e+00 1.051409e+04 3.371904e+02 1.764725e-05 2.489563e-02 2.411470e-06 2.722313e-03 0.000000e+00 5.933051e+02 3.269324e+07 1.000000e+00 2.030327e+05 2.829097e+02
0.000000e+00 0.000000e+00 2.621322e-05 6.617867e-09 1.311983e-01 2.210189e+02 6.374372e-04 0.000000e+00 1.048828e+04 3.345480e+02 1.743105e-05 2.454223e-02 4.554743e-06 5.141857e-03 0.000000e+00 8.801075e+02 2.589940e+07 1.000000e+00 1.998637e+05 2.784939e+02
0.000000e+00 0.000000e+00 3.018378e-05 7.104836e-09 1.331949e-01 2.479405e+02 1.320850e-03 0.000000e+00 1.045918e+04 3.315719e+02 1.718767e-05 2.414518e-02 7.717665e-06 8.712487e-03 0.000000e+00 1.193559e+03 2.098214e+07 1.000000e+00 1.963246e+05 2.735625e+02
0.000000e+00 0.000000e+00 3.445583e-05 7.628701e-09 1.354407e-01 2.731398e+02 -2.989813e-04 0.000000e+00 1.043011e+04 3.283553e+02 1.692476e-05 2.371722e-02 1.200947e-05 1.355752e-02 0.000000e+00 1.495469e+03 1.714792e+07 1.000000e+00 1.925344e+05 2.682813e+02
0.000000e+00 0.000000e+00 3.905219e-05 8.192246e-09 1.378243e-01 2.959619e+02 4.762365e-03 0.000000e+00 1.040505e+04 3.251131e+02 1.665991e-05 2.328716e-02 1.735291e-05 1.958973e-02 0.000000e+00 1.745682e+03 1.405316e+07 1.000000e+00 1.887512e+05 2.630096e+02
0.000000e+00 0.000000e+00 4.399739e-05 8.798457e-09 1.402934e-01 3.158871e+02 5.708854e-03 0.000000e+00 1.038456e+04 3.219225e+02 1.639946e-05 2.286528e-02 2.344102e-05 2.646261e-02 0.000000e+00 1.932274e+03 1.168419e+07 1.000000e+00 1.850648e+05 2.578729e+02
0.000000e+00 0.000000e+00 4.931780e-05 9.450542e-09 1.428315e-01 3.335980e+02 6.233943e-03 0.000000e+00 1.036657e+04 3.187734e+02 1.614259e-05 2.245024e-02 3.037745e-05 3.429315e-02 0.000000e+00 2.086795e+03 9.902153e+06 1.000000e+00 1.814619e+05 2.528526e+02
0.000000e+00 0.000000e+00 5.504179e-05 1.015195e-08 1.454266e-01 3.499038e+02 7.808557e-03 0.000000e+00 1.035064e+04 3.156737e+02 1.588996e-05 2.204307e-02 3.840973e-05 4.336081e-02 0.000000e+00 2.213833e+03 8.449990e+06 1.000000e+00 1.779500e+05 2.479590e+02
0.000000e+00 0.000000e+00 6.119985e-05 1.090639e-08 1.480687e-01 3.649625e+02 9.804917e-03 0.000000e+00 1.033690e+04 3.126367e+02 1.564265e-05 2.164551e-02 4.755600e-05 5.368606e-02 0.000000e+00 2.313721e+03 7.254955e+06 1.000000e+00 1.745424e+05 2.432108e+02
0.000000e+00 0.000000e+00 6.782473e-05 1.171783e-08 1.507529e-01 3.789112e+02 1.197609e-02 0.000000e+00 1.032521e+04 3.096653e+02 1.540092e-05 2.125789e-02 5.784925e-05 6.530613e-02 0.000000e+00 2.388954e+03 6.263619e+06 1.000000e+00 1.712402e+05 2.386094e+02
0.000000e+00 0.000000e+00 7.495166e-05 1.259054e-08 1.534726e-01 3.918851e+02 1.445847e-02 0.000000e+00 1.031538e+04 3.067626e+02 1.516499e-05 2.088057e-02 6.933520e-05 7.827264e-02 0.000000e+00 2.442802e+03 5.435254e+06 1.000000e+00 1.680446e+05 2.341567e+02
0.000000e+00 0.000000e+00 8.261847e-05 1.352912e-08 1.562246e-01 4.040101e+02 1.682082e-02 0.000000e+00 1.030716e+04 3.039268e+02 1.493475e-05 2.051327e-02 8.207393e-05 9.265340e-02 0.000000e+00 2.478474e+03 4.738135e+06 1.000000e+00 1.649518e+05 2.298470e+02
0.000000e+00 0.000000e+00 9.086583e-05 1.453848e-08 1.590102e-01 4.153936e+02 2.030494e-02 0.000000e+00 1.030045e+04 3.011539e+02 1.470987e-05 2.015544e-02 9.613910e-05 1.085316e-01 0.000000e+00 2.498750e+03 4.147289e+06 1.000000e+00 1.619552e+05 2.256716e+02
0.000000e+00 0.000000e+00 9.973744e-05 1.562391e-08 1.618303e-01 4.261291e+02 2.306515e-02 0.000000e+00 1.029505e+04 2.984390e+02 1.448995e-05 1.980638e-02 1.116200e-04 1.260080e-01 0.000000e+00 2.505900e+03 3.642888e+06 1.000000e+00 1.590480e+05 2.216206e+02
0.000000e+00 0.000000e+00 1.092802e-04 1.679106e-08 1.646847e-01 4.362945e+02 2.660034e-02 0.000000e+00 1.029068e+04 2.957773e+02 1.427459e-05 1.946545e-02 1.286219e-04 1.452014e-01 0.000000e+00 2.501622e+03 3.209049e+06 1.000000e+00 1.562232e+05 2.176843e+02
0.000000e+00 0.000000e+00 1.195446e-04 1.804602e-08 1.675802e-01 4.459560e+02 3.055530e-02 0.000000e+00 1.028749e+04 2.931640e+02 1.406341e-05 1.913198e-02 1.472935e-04 1.662798e-01 0.000000e+00 2.487159e+03 2.832770e+06 1.000000e+00 1.534743e+05 2.138540e+02
