# Mohammadian figure 13 heat-flux data for convex ramp -- modified Cheng theory.
# PJ, 27-Aug-2013
# x(inch)       q_dot(BTU/(ft^2.s)
0.487655914744  6.55509655363
0.530390577007  6.24751382199
0.583470588759  5.96047043741
0.646860337782  5.70422271881
0.720737885168  5.4274890715
0.804996394263  5.16103845229
0.920540237355  4.88441164163
1.02545383321  4.66929603547
1.14074839077  4.46446345741
1.32924386357  4.17776729196
1.49662129076  3.97306825972
1.65358214403  3.76834251832
1.7999839745  3.60461534352
1.97767113897  3.43071197728
2.16577487736  3.2568353202
2.3537717791  3.11372761995
2.55222086698  2.96039030992
2.71931339643  2.83774182922
2.91776248431  2.68440451919
3.11624718441  2.52081089022
3.3043509228  2.34693423314
3.46113371498  2.19349008645
3.61795211937  2.02978962082
3.78522270991  1.85585954541
3.94211233874  1.67164644189
4.1094185415  1.48746004754
4.29752227989  1.31358339046
4.53781572458  1.10907132237
4.76755014646  0.945557820888
4.98683238219  0.792273929185
5.22691215356  0.649299774753
5.44598071598  0.557553796708
5.68584681404  0.476117555933
5.92567729988  0.404937634102
6.20713846921  0.34412086787
6.48849280188  0.314073058466
6.79064467019  0.294334986334
7.23862857346  0.274970842496
7.66574371667  0.265809599274
8.10331104602  0.246418746272
8.55125933708  0.237310921377
9.03045734992  0.228283223974
9.32215703208  0.218774761621
