# Mohammadian figure 13 heat-flux data for convex ramp -- original Cheng theory.
# PJ, 27-Aug-2013
# x(inch)       q_dot(BTU/(ft^2.s)
0.469280009971  5.84735712823
0.511836611141  5.59105599131
0.554143926781  5.40654908699
0.607010265222  5.18104361606
0.659734154789  4.99656342091
0.743885827227  4.76088175853
0.817514089084  4.55594234382
0.901523312649  4.36128595721
0.995913497921  4.17691259871
1.12162462941  3.97210672982
1.25771672261  3.77758388903
1.36238103293  3.63426251547
1.52968723569  3.45007612112
1.67601784172  3.30686158421
1.84318159561  3.16370046563
1.97895317884  3.06148449533
2.1460813205  2.92857969569
2.32362603609  2.79570160522
2.53238486125  2.67315996118
2.73072711247  2.55059160798
2.90823621585  2.42796983645
3.10668530373  2.27463252642
3.28433685598  2.11098547912
3.46205963266  1.92682579393
3.57706929247  1.80404376742
3.84900419334  1.48679231844
4.01645284497  1.26158064832
4.21507999395  1.05696174357
4.39273154619  0.893314696272
4.64333472815  0.719598294175
4.87289108893  0.607366387408
5.13366155928  0.505470927075
5.39439641741  0.413831785686
5.60294156925  0.352828055306
5.83231986895  0.291877743254
6.08246009206  0.251493487416
6.36385003695  0.211189359069
6.61391903562  0.191317741117
6.86395242208  0.181702442108
7.14527114253  0.161910951648
7.4786371204  0.15250932595
7.82241967219  0.143134409416
8.2495348154  0.133973166193
8.62456708897  0.124678377151
8.99956375032  0.125639907052
