#  T(SEC)      TMP(K)       H2         H          O2         O          OH             HO2        H2O2       H2O        N          N2             NO        
 0.00000E+00 0.10000E+04 0.24390E+00 0.00000E+00 0.73171E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.24390E-01 0.00000E+00
 0.10000E-06 0.10000E+04 0.24390E+00 0.23268E-09 0.73171E+00 0.36127E-11 0.97682E-09 0.95288E-11 0.20297E-16 0.23325E-09 0.10103E-27 0.24390E-01 0.11127E-27
 0.20000E-06 0.10000E+04 0.24390E+00 0.78597E-09 0.73171E+00 0.24786E-10 0.16183E-08 0.35208E-10 0.12486E-15 0.82082E-09 0.13461E-26 0.24390E-01 0.16229E-26
 0.30000E-06 0.10000E+04 0.24390E+00 0.15226E-08 0.73171E+00 0.73082E-10 0.20550E-08 0.86794E-10 0.42277E-15 0.16448E-08 0.58005E-26 0.24390E-01 0.76308E-26
 0.40000E-06 0.10000E+04 0.24390E+00 0.23609E-08 0.73171E+00 0.15281E-09 0.23670E-08 0.16979E-09 0.10609E-14 0.26332E-08 0.15746E-25 0.24390E-01 0.22526E-25
 0.50000E-06 0.10000E+04 0.24390E+00 0.32527E-08 0.73171E+00 0.26526E-09 0.26034E-08 0.28718E-09 0.22071E-14 0.37423E-08 0.33234E-25 0.24390E-01 0.51526E-25
 0.60000E-06 0.10000E+04 0.24390E+00 0.41707E-08 0.73171E+00 0.41005E-09 0.27946E-08 0.44050E-09 0.40404E-14 0.49458E-08 0.59908E-25 0.24390E-01 0.10034E-24
 0.70000E-06 0.10000E+04 0.24390E+00 0.50996E-08 0.73171E+00 0.58591E-09 0.29590E-08 0.63044E-09 0.67455E-14 0.62280E-08 0.96967E-25 0.24390E-01 0.17493E-24
 0.80000E-06 0.10000E+04 0.24390E+00 0.60317E-08 0.73171E+00 0.79118E-09 0.31080E-08 0.85728E-09 0.10509E-13 0.75796E-08 0.14520E-24 0.24390E-01 0.28131E-24
 0.90000E-06 0.10000E+04 0.24390E+00 0.69636E-08 0.73171E+00 0.10240E-08 0.32488E-08 0.11211E-08 0.15519E-13 0.89956E-08 0.20507E-24 0.24390E-01 0.42546E-24
 0.10000E-05 0.10000E+04 0.24390E+00 0.78945E-08 0.73171E+00 0.12828E-08 0.33857E-08 0.14217E-08 0.21964E-13 0.10473E-07 0.27672E-24 0.24390E-01 0.61324E-24
 0.11000E-05 0.10000E+04 0.24390E+00 0.88249E-08 0.73171E+00 0.15656E-08 0.35213E-08 0.17593E-08 0.30031E-13 0.12012E-07 0.36014E-24 0.24390E-01 0.85031E-24
 0.12000E-05 0.10000E+04 0.24390E+00 0.97563E-08 0.73171E+00 0.18712E-08 0.36574E-08 0.21337E-08 0.39909E-13 0.13610E-07 0.45513E-24 0.24390E-01 0.11421E-23
 0.13000E-05 0.10000E+04 0.24390E+00 0.10690E-07 0.73171E+00 0.21981E-08 0.37949E-08 0.25451E-08 0.51785E-13 0.15270E-07 0.56140E-24 0.24390E-01 0.14939E-23
 0.14000E-05 0.10000E+04 0.24390E+00 0.11629E-07 0.73171E+00 0.25451E-08 0.39346E-08 0.29936E-08 0.65849E-13 0.16991E-07 0.67859E-24 0.24390E-01 0.19108E-23
 0.15000E-05 0.10000E+04 0.24390E+00 0.12574E-07 0.73171E+00 0.29112E-08 0.40770E-08 0.34794E-08 0.82292E-13 0.18776E-07 0.80632E-24 0.24390E-01 0.23974E-23
 0.16000E-05 0.10000E+04 0.24390E+00 0.13527E-07 0.73171E+00 0.32955E-08 0.42222E-08 0.40028E-08 0.10130E-12 0.20624E-07 0.94418E-24 0.24390E-01 0.29585E-23
 0.17000E-05 0.10000E+04 0.24390E+00 0.14490E-07 0.73171E+00 0.36973E-08 0.43706E-08 0.45642E-08 0.12308E-12 0.22538E-07 0.10918E-23 0.24390E-01 0.35985E-23
 0.18000E-05 0.10000E+04 0.24390E+00 0.15464E-07 0.73171E+00 0.41159E-08 0.45223E-08 0.51639E-08 0.14782E-12 0.24518E-07 0.12488E-23 0.24390E-01 0.43215E-23
 0.19000E-05 0.10000E+04 0.24390E+00 0.16452E-07 0.73171E+00 0.45509E-08 0.46774E-08 0.58025E-08 0.17571E-12 0.26567E-07 0.14147E-23 0.24390E-01 0.51317E-23
 0.20000E-05 0.10000E+04 0.24390E+00 0.17455E-07 0.73171E+00 0.50017E-08 0.48361E-08 0.64805E-08 0.20697E-12 0.28685E-07 0.15894E-23 0.24390E-01 0.60330E-23
 0.21000E-05 0.10000E+04 0.24390E+00 0.18473E-07 0.73171E+00 0.54682E-08 0.49984E-08 0.71986E-08 0.24179E-12 0.30876E-07 0.17724E-23 0.24390E-01 0.70293E-23
 0.22000E-05 0.10000E+04 0.24390E+00 0.19508E-07 0.73171E+00 0.59499E-08 0.51644E-08 0.79573E-08 0.28038E-12 0.33139E-07 0.19636E-23 0.24390E-01 0.81243E-23
 0.23000E-05 0.10000E+04 0.24390E+00 0.20562E-07 0.73171E+00 0.64467E-08 0.53343E-08 0.87574E-08 0.32296E-12 0.35477E-07 0.21627E-23 0.24390E-01 0.93216E-23
 0.24000E-05 0.10000E+04 0.24390E+00 0.21635E-07 0.73171E+00 0.69585E-08 0.55082E-08 0.95997E-08 0.36975E-12 0.37892E-07 0.23695E-23 0.24390E-01 0.10625E-22
 0.25000E-05 0.10000E+04 0.24390E+00 0.22729E-07 0.73171E+00 0.74852E-08 0.56860E-08 0.10485E-07 0.42096E-12 0.40385E-07 0.25838E-23 0.24390E-01 0.12038E-22
 0.26000E-05 0.10000E+04 0.24390E+00 0.23844E-07 0.73171E+00 0.80268E-08 0.58680E-08 0.11414E-07 0.47682E-12 0.42958E-07 0.28056E-23 0.24390E-01 0.13563E-22
 0.27000E-05 0.10000E+04 0.24390E+00 0.24981E-07 0.73171E+00 0.85833E-08 0.60542E-08 0.12387E-07 0.53756E-12 0.45613E-07 0.30346E-23 0.24390E-01 0.15205E-22
 0.28000E-05 0.10000E+04 0.24390E+00 0.26142E-07 0.73171E+00 0.91548E-08 0.62447E-08 0.13406E-07 0.60342E-12 0.48352E-07 0.32709E-23 0.24390E-01 0.16967E-22
 0.29000E-05 0.10000E+04 0.24390E+00 0.27327E-07 0.73171E+00 0.97413E-08 0.64397E-08 0.14472E-07 0.67463E-12 0.51177E-07 0.35144E-23 0.24390E-01 0.18853E-22
 0.30000E-05 0.10000E+04 0.24390E+00 0.28538E-07 0.73171E+00 0.10343E-07 0.66391E-08 0.15585E-07 0.75146E-12 0.54089E-07 0.37650E-23 0.24390E-01 0.20865E-22
 0.31000E-05 0.10000E+04 0.24390E+00 0.29774E-07 0.73171E+00 0.10960E-07 0.68432E-08 0.16746E-07 0.83414E-12 0.57092E-07 0.40228E-23 0.24390E-01 0.23007E-22
 0.32000E-05 0.10000E+04 0.24390E+00 0.31038E-07 0.73171E+00 0.11593E-07 0.70520E-08 0.17957E-07 0.92294E-12 0.60187E-07 0.42877E-23 0.24390E-01 0.25282E-22
 0.33000E-05 0.10000E+04 0.24390E+00 0.32329E-07 0.73171E+00 0.12241E-07 0.72656E-08 0.19219E-07 0.10181E-11 0.63375E-07 0.45598E-23 0.24390E-01 0.27695E-22
 0.34000E-05 0.10000E+04 0.24390E+00 0.33648E-07 0.73171E+00 0.12905E-07 0.74843E-08 0.20532E-07 0.11200E-11 0.66660E-07 0.48391E-23 0.24390E-01 0.30249E-22
 0.35000E-05 0.10000E+04 0.24390E+00 0.34998E-07 0.73171E+00 0.13586E-07 0.77079E-08 0.21899E-07 0.12287E-11 0.70043E-07 0.51257E-23 0.24390E-01 0.32947E-22
 0.36000E-05 0.10000E+04 0.24390E+00 0.36377E-07 0.73171E+00 0.14283E-07 0.79368E-08 0.23319E-07 0.13447E-11 0.73527E-07 0.54196E-23 0.24390E-01 0.35792E-22
 0.37000E-05 0.10000E+04 0.24390E+00 0.37787E-07 0.73171E+00 0.14997E-07 0.81710E-08 0.24794E-07 0.14682E-11 0.77115E-07 0.57210E-23 0.24390E-01 0.38789E-22
 0.38000E-05 0.10000E+04 0.24390E+00 0.39229E-07 0.73171E+00 0.15728E-07 0.84106E-08 0.26326E-07 0.15995E-11 0.80807E-07 0.60300E-23 0.24390E-01 0.41942E-22
 0.39000E-05 0.10000E+04 0.24390E+00 0.40704E-07 0.73171E+00 0.16476E-07 0.86557E-08 0.27916E-07 0.17390E-11 0.84608E-07 0.63466E-23 0.24390E-01 0.45253E-22
 0.40000E-05 0.10000E+04 0.24390E+00 0.42213E-07 0.73171E+00 0.17242E-07 0.89066E-08 0.29565E-07 0.18869E-11 0.88519E-07 0.66709E-23 0.24390E-01 0.48728E-22
 0.41000E-05 0.10000E+04 0.24390E+00 0.43756E-07 0.73171E+00 0.18026E-07 0.91632E-08 0.31274E-07 0.20435E-11 0.92544E-07 0.70032E-23 0.24390E-01 0.52369E-22
 0.42000E-05 0.10000E+04 0.24390E+00 0.45334E-07 0.73171E+00 0.18829E-07 0.94258E-08 0.33045E-07 0.22092E-11 0.96683E-07 0.73434E-23 0.24390E-01 0.56180E-22
 0.43000E-05 0.10000E+04 0.24390E+00 0.46948E-07 0.73171E+00 0.19651E-07 0.96945E-08 0.34879E-07 0.23844E-11 0.10094E-06 0.76919E-23 0.24390E-01 0.60167E-22
 0.44000E-05 0.10000E+04 0.24390E+00 0.48600E-07 0.73171E+00 0.20492E-07 0.99695E-08 0.36778E-07 0.25694E-11 0.10532E-06 0.80487E-23 0.24390E-01 0.64333E-22
 0.45000E-05 0.10000E+04 0.24390E+00 0.50289E-07 0.73171E+00 0.21353E-07 0.10251E-07 0.38743E-07 0.27645E-11 0.10982E-06 0.84140E-23 0.24390E-01 0.68682E-22
 0.46000E-05 0.10000E+04 0.24390E+00 0.52017E-07 0.73171E+00 0.22234E-07 0.10539E-07 0.40776E-07 0.29702E-11 0.11445E-06 0.87879E-23 0.24390E-01 0.73218E-22
 0.47000E-05 0.10000E+04 0.24390E+00 0.53785E-07 0.73171E+00 0.23135E-07 0.10833E-07 0.42878E-07 0.31867E-11 0.11921E-06 0.91707E-23 0.24390E-01 0.77947E-22
 0.48000E-05 0.10000E+04 0.24390E+00 0.55594E-07 0.73171E+00 0.24058E-07 0.11134E-07 0.45051E-07 0.34146E-11 0.12411E-06 0.95626E-23 0.24390E-01 0.82872E-22
 0.49000E-05 0.10000E+04 0.24390E+00 0.57445E-07 0.73171E+00 0.25002E-07 0.11443E-07 0.47297E-07 0.36541E-11 0.12913E-06 0.99636E-23 0.24390E-01 0.87998E-22
 0.50000E-05 0.10000E+04 0.24390E+00 0.59338E-07 0.73171E+00 0.25968E-07 0.11758E-07 0.49616E-07 0.39058E-11 0.13430E-06 0.10374E-22 0.24390E-01 0.93330E-22
 0.51000E-05 0.10000E+04 0.24390E+00 0.61275E-07 0.73171E+00 0.26956E-07 0.12081E-07 0.52012E-07 0.41700E-11 0.13961E-06 0.10794E-22 0.24390E-01 0.98872E-22
 0.52000E-05 0.10000E+04 0.24390E+00 0.63257E-07 0.73171E+00 0.27968E-07 0.12411E-07 0.54485E-07 0.44471E-11 0.14506E-06 0.11224E-22 0.24390E-01 0.10463E-21
 0.53000E-05 0.10000E+04 0.24390E+00 0.65284E-07 0.73171E+00 0.29003E-07 0.12749E-07 0.57037E-07 0.47377E-11 0.15067E-06 0.11664E-22 0.24390E-01 0.11061E-21
 0.54000E-05 0.10000E+04 0.24390E+00 0.67359E-07 0.73171E+00 0.30062E-07 0.13095E-07 0.59670E-07 0.50422E-11 0.15642E-06 0.12114E-22 0.24390E-01 0.11681E-21
 0.55000E-05 0.10000E+04 0.24390E+00 0.69481E-07 0.73171E+00 0.31146E-07 0.13449E-07 0.62387E-07 0.53610E-11 0.16234E-06 0.12575E-22 0.24390E-01 0.12325E-21
 0.56000E-05 0.10000E+04 0.24390E+00 0.71653E-07 0.73171E+00 0.32255E-07 0.13811E-07 0.65189E-07 0.56946E-11 0.16841E-06 0.13046E-22 0.24390E-01 0.12992E-21
 0.57000E-05 0.10000E+04 0.24390E+00 0.73875E-07 0.73171E+00 0.33390E-07 0.14181E-07 0.68078E-07 0.60436E-11 0.17464E-06 0.13529E-22 0.24390E-01 0.13683E-21
 0.58000E-05 0.10000E+04 0.24390E+00 0.76148E-07 0.73171E+00 0.34551E-07 0.14560E-07 0.71055E-07 0.64085E-11 0.18104E-06 0.14023E-22 0.24390E-01 0.14399E-21
 0.59000E-05 0.10000E+04 0.24390E+00 0.78475E-07 0.73171E+00 0.35739E-07 0.14948E-07 0.74124E-07 0.67898E-11 0.18761E-06 0.14528E-22 0.24390E-01 0.15141E-21
 0.60000E-05 0.10000E+04 0.24390E+00 0.80855E-07 0.73171E+00 0.36955E-07 0.15345E-07 0.77286E-07 0.71880E-11 0.19436E-06 0.15045E-22 0.24390E-01 0.15908E-21
 0.61000E-05 0.10000E+04 0.24390E+00 0.83290E-07 0.73171E+00 0.38198E-07 0.15751E-07 0.80543E-07 0.76036E-11 0.20128E-06 0.15574E-22 0.24390E-01 0.16702E-21
 0.62000E-05 0.10000E+04 0.24390E+00 0.85781E-07 0.73171E+00 0.39471E-07 0.16167E-07 0.83898E-07 0.80374E-11 0.20839E-06 0.16115E-22 0.24390E-01 0.17523E-21
 0.63000E-05 0.10000E+04 0.24390E+00 0.88331E-07 0.73171E+00 0.40773E-07 0.16592E-07 0.87353E-07 0.84899E-11 0.21569E-06 0.16669E-22 0.24390E-01 0.18371E-21
 0.64000E-05 0.10000E+04 0.24390E+00 0.90939E-07 0.73171E+00 0.42106E-07 0.17027E-07 0.90910E-07 0.89616E-11 0.22318E-06 0.17235E-22 0.24390E-01 0.19249E-21
 0.65000E-05 0.10000E+04 0.24390E+00 0.93608E-07 0.73171E+00 0.43469E-07 0.17472E-07 0.94571E-07 0.94532E-11 0.23086E-06 0.17815E-22 0.24390E-01 0.20155E-21
 0.66000E-05 0.10000E+04 0.24390E+00 0.96338E-07 0.73171E+00 0.44864E-07 0.17927E-07 0.98339E-07 0.99654E-11 0.23874E-06 0.18408E-22 0.24390E-01 0.21091E-21
 0.67000E-05 0.10000E+04 0.24390E+00 0.99132E-07 0.73171E+00 0.46291E-07 0.18393E-07 0.10222E-06 0.10499E-10 0.24683E-06 0.19015E-22 0.24390E-01 0.22057E-21
 0.68000E-05 0.10000E+04 0.24390E+00 0.10199E-06 0.73171E+00 0.47752E-07 0.18870E-07 0.10621E-06 0.11054E-10 0.25513E-06 0.19636E-22 0.24390E-01 0.23054E-21
 0.69000E-05 0.10000E+04 0.24390E+00 0.10492E-06 0.73171E+00 0.49246E-07 0.19357E-07 0.11031E-06 0.11632E-10 0.26364E-06 0.20272E-22 0.24390E-01 0.24084E-21
 0.70000E-05 0.10000E+04 0.24390E+00 0.10791E-06 0.73171E+00 0.50775E-07 0.19857E-07 0.11453E-06 0.12234E-10 0.27238E-06 0.20922E-22 0.24390E-01 0.25145E-21
 0.71000E-05 0.10000E+04 0.24390E+00 0.11097E-06 0.73171E+00 0.52339E-07 0.20367E-07 0.11887E-06 0.12859E-10 0.28133E-06 0.21587E-22 0.24390E-01 0.26241E-21
 0.72000E-05 0.10000E+04 0.24390E+00 0.11410E-06 0.73171E+00 0.53940E-07 0.20890E-07 0.12333E-06 0.13509E-10 0.29052E-06 0.22268E-22 0.24390E-01 0.27370E-21
 0.73000E-05 0.10000E+04 0.24390E+00 0.11731E-06 0.73171E+00 0.55578E-07 0.21425E-07 0.12792E-06 0.14185E-10 0.29995E-06 0.22965E-22 0.24390E-01 0.28534E-21
 0.74000E-05 0.10000E+04 0.24390E+00 0.12059E-06 0.73171E+00 0.57254E-07 0.21972E-07 0.13264E-06 0.14888E-10 0.30961E-06 0.23677E-22 0.24390E-01 0.29734E-21
 0.75000E-05 0.10000E+04 0.24390E+00 0.12395E-06 0.73171E+00 0.58968E-07 0.22532E-07 0.13749E-06 0.15618E-10 0.31952E-06 0.24407E-22 0.24390E-01 0.30971E-21
 0.76000E-05 0.10000E+04 0.24390E+00 0.12738E-06 0.73171E+00 0.60723E-07 0.23104E-07 0.14247E-06 0.16376E-10 0.32968E-06 0.25153E-22 0.24390E-01 0.32245E-21
 0.77000E-05 0.10000E+04 0.24390E+00 0.13090E-06 0.73171E+00 0.62518E-07 0.23690E-07 0.14759E-06 0.17163E-10 0.34011E-06 0.25916E-22 0.24390E-01 0.33557E-21
 0.78000E-05 0.10000E+04 0.24390E+00 0.13449E-06 0.73171E+00 0.64355E-07 0.24290E-07 0.15285E-06 0.17981E-10 0.35079E-06 0.26697E-22 0.24390E-01 0.34908E-21
 0.79000E-05 0.10000E+04 0.24390E+00 0.13817E-06 0.73171E+00 0.66234E-07 0.24904E-07 0.15826E-06 0.18829E-10 0.36175E-06 0.27497E-22 0.24390E-01 0.36299E-21
 0.80000E-05 0.10000E+04 0.24390E+00 0.14193E-06 0.73171E+00 0.68157E-07 0.25532E-07 0.16381E-06 0.19710E-10 0.37298E-06 0.28315E-22 0.24390E-01 0.37732E-21
 0.81000E-05 0.10000E+04 0.24390E+00 0.14578E-06 0.73171E+00 0.70124E-07 0.26174E-07 0.16951E-06 0.20623E-10 0.38450E-06 0.29151E-22 0.24390E-01 0.39206E-21
 0.82000E-05 0.10000E+04 0.24390E+00 0.14973E-06 0.73171E+00 0.72138E-07 0.26832E-07 0.17537E-06 0.21571E-10 0.39630E-06 0.30008E-22 0.24390E-01 0.40723E-21
 0.83000E-05 0.10000E+04 0.24390E+00 0.15376E-06 0.73171E+00 0.74197E-07 0.27504E-07 0.18139E-06 0.22554E-10 0.40840E-06 0.30884E-22 0.24390E-01 0.42284E-21
 0.84000E-05 0.10000E+04 0.24390E+00 0.15788E-06 0.73171E+00 0.76305E-07 0.28193E-07 0.18756E-06 0.23573E-10 0.42081E-06 0.31780E-22 0.24390E-01 0.43890E-21
 0.85000E-05 0.10000E+04 0.24390E+00 0.16210E-06 0.73171E+00 0.78461E-07 0.28897E-07 0.19390E-06 0.24630E-10 0.43352E-06 0.32697E-22 0.24390E-01 0.45542E-21
 0.86000E-05 0.10000E+04 0.24390E+00 0.16642E-06 0.73171E+00 0.80668E-07 0.29618E-07 0.20042E-06 0.25725E-10 0.44655E-06 0.33636E-22 0.24390E-01 0.47241E-21
 0.87000E-05 0.10000E+04 0.24390E+00 0.17084E-06 0.73171E+00 0.82926E-07 0.30355E-07 0.20710E-06 0.26860E-10 0.45991E-06 0.34596E-22 0.24390E-01 0.48989E-21
 0.88000E-05 0.10000E+04 0.24390E+00 0.17536E-06 0.73171E+00 0.85236E-07 0.31109E-07 0.21396E-06 0.28037E-10 0.47360E-06 0.35578E-22 0.24390E-01 0.50785E-21
 0.89000E-05 0.10000E+04 0.24390E+00 0.17999E-06 0.73171E+00 0.87599E-07 0.31881E-07 0.22100E-06 0.29256E-10 0.48762E-06 0.36584E-22 0.24390E-01 0.52632E-21
 0.90000E-05 0.10000E+04 0.24390E+00 0.18473E-06 0.73171E+00 0.90018E-07 0.32671E-07 0.22823E-06 0.30519E-10 0.50200E-06 0.37612E-22 0.24390E-01 0.54530E-21
 0.91000E-05 0.10000E+04 0.24390E+00 0.18957E-06 0.73171E+00 0.92492E-07 0.33480E-07 0.23564E-06 0.31827E-10 0.51673E-06 0.38665E-22 0.24390E-01 0.56481E-21
 0.92000E-05 0.10000E+04 0.24390E+00 0.19453E-06 0.73171E+00 0.95024E-07 0.34307E-07 0.24325E-06 0.33182E-10 0.53183E-06 0.39742E-22 0.24390E-01 0.58486E-21
 0.93000E-05 0.10000E+04 0.24390E+00 0.19960E-06 0.73171E+00 0.97615E-07 0.35153E-07 0.25106E-06 0.34585E-10 0.54730E-06 0.40843E-22 0.24390E-01 0.60547E-21
 0.94000E-05 0.10000E+04 0.24390E+00 0.20479E-06 0.73171E+00 0.10027E-06 0.36019E-07 0.25907E-06 0.36038E-10 0.56315E-06 0.41971E-22 0.24390E-01 0.62663E-21
 0.95000E-05 0.10000E+04 0.24390E+00 0.21010E-06 0.73171E+00 0.10298E-06 0.36905E-07 0.26729E-06 0.37542E-10 0.57939E-06 0.43124E-22 0.24390E-01 0.64838E-21
 0.96000E-05 0.10000E+04 0.24390E+00 0.21553E-06 0.73171E+00 0.10575E-06 0.37812E-07 0.27572E-06 0.39100E-10 0.59603E-06 0.44305E-22 0.24390E-01 0.67072E-21
 0.97000E-05 0.10000E+04 0.24390E+00 0.22109E-06 0.73171E+00 0.10859E-06 0.38740E-07 0.28437E-06 0.40712E-10 0.61308E-06 0.45512E-22 0.24390E-01 0.69366E-21
 0.98000E-05 0.10000E+04 0.24390E+00 0.22678E-06 0.73171E+00 0.11150E-06 0.39689E-07 0.29324E-06 0.42381E-10 0.63055E-06 0.46748E-22 0.24390E-01 0.71722E-21
 0.99000E-05 0.10000E+04 0.24390E+00 0.23259E-06 0.73171E+00 0.11447E-06 0.40661E-07 0.30233E-06 0.44109E-10 0.64844E-06 0.48013E-22 0.24390E-01 0.74142E-21
 0.10000E-04 0.10000E+04 0.24390E+00 0.23855E-06 0.73171E+00 0.11751E-06 0.41655E-07 0.31166E-06 0.45896E-10 0.66677E-06 0.49306E-22 0.24390E-01 0.76626E-21
 0.10100E-04 0.10000E+04 0.24390E+00 0.24464E-06 0.73171E+00 0.12062E-06 0.42672E-07 0.32123E-06 0.47746E-10 0.68555E-06 0.50630E-22 0.24390E-01 0.79177E-21
 0.10200E-04 0.10000E+04 0.24390E+00 0.25088E-06 0.73171E+00 0.12381E-06 0.43713E-07 0.33105E-06 0.49661E-10 0.70479E-06 0.51984E-22 0.24390E-01 0.81796E-21
 0.10300E-04 0.10000E+04 0.24390E+00 0.25726E-06 0.73171E+00 0.12707E-06 0.44778E-07 0.34111E-06 0.51642E-10 0.72450E-06 0.53370E-22 0.24390E-01 0.84484E-21
 0.10400E-04 0.10000E+04 0.24390E+00 0.26378E-06 0.73171E+00 0.13040E-06 0.45868E-07 0.35142E-06 0.53691E-10 0.74469E-06 0.54788E-22 0.24390E-01 0.87243E-21
 0.10500E-04 0.10000E+04 0.24390E+00 0.27046E-06 0.73171E+00 0.13381E-06 0.46983E-07 0.36200E-06 0.55812E-10 0.76537E-06 0.56239E-22 0.24390E-01 0.90075E-21
 0.10600E-04 0.10000E+04 0.24390E+00 0.27730E-06 0.73171E+00 0.13730E-06 0.48124E-07 0.37285E-06 0.58005E-10 0.78655E-06 0.57724E-22 0.24390E-01 0.92981E-21
 0.10700E-04 0.10000E+04 0.24390E+00 0.28429E-06 0.73171E+00 0.14087E-06 0.49291E-07 0.38396E-06 0.60275E-10 0.80824E-06 0.59243E-22 0.24390E-01 0.95964E-21
 0.10800E-04 0.10000E+04 0.24390E+00 0.29144E-06 0.73171E+00 0.14453E-06 0.50486E-07 0.39536E-06 0.62622E-10 0.83046E-06 0.60797E-22 0.24390E-01 0.99024E-21
 0.10900E-04 0.10000E+04 0.24390E+00 0.29876E-06 0.73171E+00 0.14827E-06 0.51709E-07 0.40704E-06 0.65051E-10 0.85322E-06 0.62388E-22 0.24390E-01 0.10216E-20
 0.11000E-04 0.10000E+04 0.24390E+00 0.30625E-06 0.73171E+00 0.15209E-06 0.52960E-07 0.41902E-06 0.67563E-10 0.87653E-06 0.64015E-22 0.24390E-01 0.10539E-20
 0.11100E-04 0.10000E+04 0.24390E+00 0.31392E-06 0.73171E+00 0.15601E-06 0.54240E-07 0.43129E-06 0.70161E-10 0.90041E-06 0.65680E-22 0.24390E-01 0.10869E-20
 0.11200E-04 0.10000E+04 0.24390E+00 0.32176E-06 0.73171E+00 0.16001E-06 0.55550E-07 0.44388E-06 0.72848E-10 0.92486E-06 0.67384E-22 0.24390E-01 0.11208E-20
 0.11300E-04 0.10000E+04 0.24390E+00 0.32978E-06 0.73171E+00 0.16411E-06 0.56890E-07 0.45677E-06 0.75628E-10 0.94990E-06 0.69127E-22 0.24390E-01 0.11556E-20
 0.11400E-04 0.10000E+04 0.24390E+00 0.33799E-06 0.73171E+00 0.16831E-06 0.58262E-07 0.46998E-06 0.78503E-10 0.97555E-06 0.70911E-22 0.24390E-01 0.11913E-20
 0.11500E-04 0.10000E+04 0.24390E+00 0.34640E-06 0.73171E+00 0.17260E-06 0.59665E-07 0.48353E-06 0.81476E-10 0.10018E-05 0.72736E-22 0.24390E-01 0.12278E-20
 0.11600E-04 0.10000E+04 0.24390E+00 0.35499E-06 0.73171E+00 0.17699E-06 0.61102E-07 0.49741E-06 0.84552E-10 0.10287E-05 0.74603E-22 0.24390E-01 0.12654E-20
 0.11700E-04 0.10000E+04 0.24390E+00 0.36379E-06 0.73171E+00 0.18148E-06 0.62571E-07 0.51163E-06 0.87733E-10 0.10562E-05 0.76514E-22 0.24390E-01 0.13039E-20
 0.11800E-04 0.10000E+04 0.24390E+00 0.37279E-06 0.73171E+00 0.18608E-06 0.64075E-07 0.52620E-06 0.91022E-10 0.10845E-05 0.78469E-22 0.24390E-01 0.13433E-20
 0.11900E-04 0.10000E+04 0.24390E+00 0.38200E-06 0.73171E+00 0.19078E-06 0.65614E-07 0.54113E-06 0.94425E-10 0.11133E-05 0.80470E-22 0.24390E-01 0.13838E-20
 0.12000E-04 0.10000E+04 0.24390E+00 0.39142E-06 0.73171E+00 0.19559E-06 0.67189E-07 0.55643E-06 0.97944E-10 0.11429E-05 0.82517E-22 0.24390E-01 0.14253E-20
 0.12100E-04 0.10000E+04 0.24390E+00 0.40106E-06 0.73171E+00 0.20052E-06 0.68801E-07 0.57211E-06 0.10158E-09 0.11732E-05 0.84612E-22 0.24390E-01 0.14678E-20
 0.12200E-04 0.10000E+04 0.24390E+00 0.41093E-06 0.73171E+00 0.20555E-06 0.70450E-07 0.58817E-06 0.10535E-09 0.12042E-05 0.86755E-22 0.24390E-01 0.15114E-20
 0.12300E-04 0.10000E+04 0.24390E+00 0.42103E-06 0.73171E+00 0.21071E-06 0.72137E-07 0.60463E-06 0.10924E-09 0.12360E-05 0.88948E-22 0.24390E-01 0.15561E-20
 0.12400E-04 0.10000E+04 0.24390E+00 0.43136E-06 0.73171E+00 0.21598E-06 0.73864E-07 0.62149E-06 0.11327E-09 0.12685E-05 0.91191E-22 0.24390E-01 0.16020E-20
 0.12500E-04 0.10000E+04 0.24390E+00 0.44193E-06 0.73171E+00 0.22138E-06 0.75631E-07 0.63876E-06 0.11743E-09 0.13018E-05 0.93487E-22 0.24390E-01 0.16490E-20
 0.12600E-04 0.10000E+04 0.24390E+00 0.45274E-06 0.73171E+00 0.22691E-06 0.77439E-07 0.65645E-06 0.12174E-09 0.13359E-05 0.95837E-22 0.24390E-01 0.16971E-20
 0.12700E-04 0.10000E+04 0.24390E+00 0.46381E-06 0.73171E+00 0.23256E-06 0.79290E-07 0.67457E-06 0.12620E-09 0.13708E-05 0.98241E-22 0.24390E-01 0.17465E-20
 0.12800E-04 0.10000E+04 0.24390E+00 0.47513E-06 0.73171E+00 0.23834E-06 0.81184E-07 0.69314E-06 0.13081E-09 0.14065E-05 0.10070E-21 0.24390E-01 0.17971E-20
 0.12900E-04 0.10000E+04 0.24390E+00 0.48672E-06 0.73171E+00 0.24426E-06 0.83121E-07 0.71216E-06 0.13558E-09 0.14431E-05 0.10322E-21 0.24390E-01 0.18490E-20
 0.13000E-04 0.10000E+04 0.24390E+00 0.49858E-06 0.73171E+00 0.25031E-06 0.85104E-07 0.73163E-06 0.14051E-09 0.14806E-05 0.10579E-21 0.24390E-01 0.19021E-20
 0.13100E-04 0.10000E+04 0.24390E+00 0.51071E-06 0.73171E+00 0.25650E-06 0.87134E-07 0.75159E-06 0.14562E-09 0.15189E-05 0.10843E-21 0.24390E-01 0.19566E-20
