# T(SEC)      TMP(K)       H2         H          O          O2         OH        H2O        HO2        CH2        CH2(S)     CH3       CH4        CO         CO2        HCO        CH2O      CH3O       C2H4       C2H5       C2H6       N2         AR
0.000000E+00  0.200000E+04  0.000000E+00  0.000000E+00  0.000000E+00  0.190114E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.950570E-01  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.714829E+00  0.000000E+00
0.200000E-06  0.199991E+04  0.257953E-05  0.368302E-05  0.803673E-06  0.190110E+00  0.115303E-05  0.444328E-06  0.121167E-05  0.736926E-10  0.283209E-10  0.120436E-04  0.950443E-01  0.957088E-10  0.226645E-15  0.266819E-10  0.214749E-07  0.807625E-08  0.723691E-11  0.312418E-10  0.217103E-10  0.714824E+00  0.000000E+00
0.400000E-06  0.199983E+04  0.719270E-05  0.442378E-05  0.154113E-05  0.190105E+00  0.275750E-05  0.245177E-05  0.244826E-05  0.510728E-09  0.144239E-09  0.286530E-04  0.950268E-01  0.122527E-08  0.889147E-14  0.255588E-09  0.117344E-06  0.219130E-07  0.134057E-09  0.289135E-09  0.237173E-09  0.714818E+00  0.000000E+00
0.600000E-06  0.199975E+04  0.122260E-04  0.459146E-05  0.190095E-05  0.190100E+00  0.384413E-05  0.583860E-05  0.371737E-05  0.134247E-08  0.328247E-09  0.475873E-04  0.950070E-01  0.506249E-08  0.617877E-13  0.783851E-09  0.311373E-06  0.382911E-07  0.726956E-09  0.102554E-08  0.975163E-09  0.714813E+00  0.000000E+00
0.800000E-06  0.199966E+04  0.173670E-04  0.464986E-05  0.208164E-05  0.190095E+00  0.446709E-05  0.100755E-04  0.502304E-05  0.240730E-08  0.543549E-09  0.676539E-04  0.949858E-01  0.129811E-07  0.218268E-12  0.154363E-08  0.615309E-06  0.560574E-07  0.234889E-08  0.242357E-08  0.263583E-08  0.714807E+00  0.000000E+00
0.100000E-05  0.199958E+04  0.225572E-04  0.468914E-05  0.219778E-05  0.190089E+00  0.482830E-05  0.147983E-04  0.636699E-05  0.358899E-08  0.772079E-09  0.882825E-04  0.949640E-01  0.258201E-07  0.550036E-12  0.245679E-08  0.103546E-05  0.746536E-07  0.570021E-08  0.458587E-08  0.563741E-08  0.714802E+00  0.000000E+00
0.120000E-05  0.199950E+04  0.277873E-04  0.472665E-05  0.229360E-05  0.190083E+00  0.506650E-05  0.198193E-04  0.774969E-05  0.484959E-08  0.101022E-08  0.109222E-03  0.949417E-01  0.441451E-07  0.114194E-11  0.349242E-08  0.157577E-05  0.938359E-07  0.115532E-07  0.756348E-08  0.103950E-07  0.714797E+00  0.000000E+00
0.140000E-05  0.199942E+04  0.330576E-04  0.476568E-05  0.238397E-05  0.190077E+00  0.525344E-05  0.250550E-04  0.917109E-05  0.619016E-08  0.125965E-08  0.130369E-03  0.949191E-01  0.684757E-07  0.209701E-11  0.465161E-08  0.223927E-05  0.113510E-06  0.207162E-07  0.113831E-07  0.173156E-07  0.714791E+00  0.000000E+00
0.160000E-05  0.199934E+04  0.383701E-04  0.480689E-05  0.247353E-05  0.190071E+00  0.542179E-05  0.304726E-04  0.106309E-04  0.762204E-08  0.152286E-08  0.151683E-03  0.948962E-01  0.993804E-07  0.354120E-11  0.594676E-08  0.302864E-05  0.133646E-06  0.340182E-07  0.160626E-07  0.267984E-07  0.714786E+00  0.000000E+00
0.180000E-05  0.199926E+04  0.437273E-04  0.485044E-05  0.256366E-05  0.190065E+00  0.558545E-05  0.360617E-04  0.121286E-04  0.915605E-08  0.180186E-08  0.173148E-03  0.948729E-01  0.137494E-06  0.562735E-11  0.739175E-08  0.394648E-05  0.154242E-06  0.523045E-07  0.216178E-07  0.392363E-07  0.714780E+00  0.000000E+00
0.200000E-05  0.199918E+04  0.491314E-04  0.489641E-05  0.265479E-05  0.190058E+00  0.575011E-05  0.418209E-04  0.136639E-04  0.108005E-07  0.209811E-08  0.194762E-03  0.948493E-01  0.183514E-06  0.853901E-11  0.899935E-08  0.499537E-05  0.175309E-06  0.764360E-07  0.280651E-07  0.550172E-07  0.714774E+00  0.000000E+00
0.220000E-05  0.199910E+04  0.545852E-04  0.494486E-05  0.274705E-05  0.190051E+00  0.591809E-05  0.477529E-04  0.152362E-04  0.125617E-07  0.241272E-08  0.216523E-03  0.948254E-01  0.238188E-06  0.124945E-10  0.107812E-07  0.617798E-05  0.196859E-06  0.107290E-06  0.354217E-07  0.745244E-07  0.714769E+00  0.000000E+00
0.240000E-05  0.199902E+04  0.600913E-04  0.499586E-05  0.284049E-05  0.190044E+00  0.609034E-05  0.538619E-04  0.168452E-04  0.144450E-07  0.274666E-08  0.238432E-03  0.948012E-01  0.302315E-06  0.177509E-10  0.127486E-07  0.749700E-05  0.218908E-06  0.145761E-06  0.437055E-07  0.981380E-07  0.714763E+00  0.000000E+00
0.260000E-05  0.199894E+04  0.656523E-04  0.504949E-05  0.293515E-05  0.190037E+00  0.626732E-05  0.601529E-04  0.184902E-04  0.164551E-07  0.310080E-08  0.260492E-03  0.947767E-01  0.376738E-06  0.246093E-10  0.149125E-07  0.895522E-05  0.241471E-06  0.192762E-06  0.529356E-07  0.126235E-06  0.714757E+00  0.000000E+00
0.280000E-05  0.199887E+04  0.712710E-04  0.510580E-05  0.303104E-05  0.190030E+00  0.644930E-05  0.666311E-04  0.201708E-04  0.185970E-07  0.347603E-08  0.282704E-03  0.947518E-01  0.462347E-06  0.334190E-10  0.172842E-07  0.105555E-04  0.264565E-06  0.249223E-06  0.631312E-07  0.159189E-06  0.714751E+00  0.000000E+00
0.300000E-05  0.199879E+04  0.769503E-04  0.516487E-05  0.312820E-05  0.190022E+00  0.663646E-05  0.733019E-04  0.218865E-04  0.208752E-07  0.387323E-08  0.305071E-03  0.947265E-01  0.560079E-06  0.445838E-10  0.198754E-07  0.123007E-04  0.288207E-06  0.316096E-06  0.743127E-07  0.197373E-06  0.714746E+00  0.000000E+00
0.320000E-05  0.199871E+04  0.826931E-04  0.522678E-05  0.322666E-05  0.190014E+00  0.682896E-05  0.801712E-04  0.236368E-04  0.232947E-07  0.429332E-08  0.327595E-03  0.947009E-01  0.670920E-06  0.585674E-10  0.226981E-07  0.141939E-04  0.312412E-06  0.394352E-06  0.865005E-07  0.241155E-06  0.714740E+00  0.000000E+00
0.340000E-05  0.199863E+04  0.885023E-04  0.529159E-05  0.332642E-05  0.190006E+00  0.702694E-05  0.872447E-04  0.254210E-04  0.258605E-07  0.473724E-08  0.350277E-03  0.946749E-01  0.795905E-06  0.759000E-10  0.257651E-07  0.162380E-04  0.337198E-06  0.484981E-06  0.997161E-07  0.290906E-06  0.714734E+00  0.000000E+00
0.360000E-05  0.199856E+04  0.943811E-04  0.535938E-05  0.342754E-05  0.189997E+00  0.723057E-05  0.945285E-04  0.272388E-04  0.285778E-07  0.520599E-08  0.373121E-03  0.946486E-01  0.936125E-06  0.971841E-10  0.290892E-07  0.184363E-04  0.362581E-06  0.588997E-06  0.113981E-06  0.346991E-06  0.714728E+00  0.000000E+00
0.380000E-05  0.199848E+04  0.100332E-03  0.543024E-05  0.353002E-05  0.189989E+00  0.743999E-05  0.102029E-03  0.290895E-04  0.314520E-07  0.570059E-08  0.396129E-03  0.946218E-01  0.109272E-05  0.123103E-09  0.326842E-07  0.207918E-04  0.388577E-06  0.707432E-06  0.129318E-06  0.409778E-06  0.714722E+00  0.000000E+00
0.400000E-05  0.199840E+04  0.106360E-03  0.550423E-05  0.363391E-05  0.189980E+00  0.765535E-05  0.109752E-03  0.309725E-04  0.344887E-07  0.622209E-08  0.419303E-03  0.945947E-01  0.126690E-05  0.154428E-09  0.365643E-07  0.233080E-04  0.415204E-06  0.841345E-06  0.145751E-06  0.479631E-06  0.714716E+00  0.000000E+00
0.420000E-05  0.199833E+04  0.112466E-03  0.558144E-05  0.373922E-05  0.189971E+00  0.787681E-05  0.117705E-03  0.328874E-04  0.376939E-07  0.677161E-08  0.442646E-03  0.945671E-01  0.145991E-05  0.192028E-09  0.407442E-07  0.259880E-04  0.442477E-06  0.991815E-06  0.163302E-06  0.556917E-06  0.714709E+00  0.000000E+00
0.440000E-05  0.199825E+04  0.118655E-03  0.566197E-05  0.384599E-05  0.189961E+00  0.810451E-05  0.125893E-03  0.348336E-04  0.410733E-07  0.735029E-08  0.466161E-03  0.945391E-01  0.167308E-05  0.236876E-09  0.452393E-07  0.288352E-04  0.470415E-06  0.115994E-05  0.181996E-06  0.642001E-06  0.714703E+00  0.000000E+00
0.460000E-05  0.199818E+04  0.124930E-03  0.574588E-05  0.395425E-05  0.189952E+00  0.833863E-05  0.134325E-03  0.368104E-04  0.446334E-07  0.795931E-08  0.489849E-03  0.945107E-01  0.190781E-05  0.290063E-09  0.500657E-07  0.318532E-04  0.499033E-06  0.134686E-05  0.201859E-06  0.735250E-06  0.714697E+00  0.000000E+00
0.480000E-05  0.199810E+04  0.131295E-03  0.583328E-05  0.406402E-05  0.189942E+00  0.857931E-05  0.143007E-03  0.388174E-04  0.483804E-07  0.859992E-08  0.513715E-03  0.944819E-01  0.216553E-05  0.352803E-09  0.552399E-07  0.350454E-04  0.528348E-06  0.155372E-05  0.222915E-06  0.837030E-06  0.714691E+00  0.000000E+00
0.500000E-05  0.199803E+04  0.137753E-03  0.592425E-05  0.417534E-05  0.189932E+00  0.882671E-05  0.151947E-03  0.408540E-04  0.523213E-07  0.927339E-08  0.537759E-03  0.944525E-01  0.244777E-05  0.426447E-09  0.607793E-07  0.384155E-04  0.558379E-06  0.178169E-05  0.245193E-06  0.947710E-06  0.714684E+00  0.000000E+00
0.520000E-05  0.199796E+04  0.144308E-03  0.601888E-05  0.428824E-05  0.189921E+00  0.908100E-05  0.161152E-03  0.429195E-04  0.564628E-07  0.998104E-08  0.561986E-03  0.944228E-01  0.275614E-05  0.512494E-09  0.667019E-07  0.419669E-04  0.589140E-06  0.203199E-05  0.268717E-06  0.106766E-05  0.714678E+00  0.000000E+00
0.540000E-05  0.199789E+04  0.150963E-03  0.611728E-05  0.440275E-05  0.189910E+00  0.934235E-05  0.170629E-03  0.450135E-04  0.608121E-07  0.107243E-07  0.586398E-03  0.943925E-01  0.309229E-05  0.612601E-09  0.730265E-07  0.457035E-04  0.620650E-06  0.230585E-05  0.293518E-06  0.119725E-05  0.714671E+00  0.000000E+00
0.560000E-05  0.199781E+04  0.157724E-03  0.621953E-05  0.451890E-05  0.189899E+00  0.961091E-05  0.180387E-03  0.471353E-04  0.653766E-07  0.115045E-07  0.610997E-03  0.943618E-01  0.345798E-05  0.728601E-09  0.797726E-07  0.496290E-04  0.652925E-06  0.260452E-05  0.319623E-06  0.133685E-05  0.714664E+00  0.000000E+00
0.580000E-05  0.199774E+04  0.164593E-03  0.632575E-05  0.463674E-05  0.189888E+00  0.988687E-05  0.190433E-03  0.492845E-04  0.701640E-07  0.123231E-07  0.635787E-03  0.943305E-01  0.385503E-05  0.862515E-09  0.869603E-07  0.537473E-04  0.685983E-06  0.292929E-05  0.347062E-06  0.148684E-05  0.714658E+00  0.000000E+00
0.600000E-05  0.199767E+04  0.171575E-03  0.643603E-05  0.475628E-05  0.189876E+00  0.101704E-04  0.200777E-03  0.514603E-04  0.751823E-07  0.131818E-07  0.660771E-03  0.942987E-01  0.428537E-05  0.101657E-08  0.946109E-07  0.580621E-04  0.719841E-06  0.328149E-05  0.375865E-06  0.164759E-05  0.714651E+00  0.000000E+00
0.620000E-05  0.199760E+04  0.178674E-03  0.655049E-05  0.487757E-05  0.189864E+00  0.104616E-04  0.211425E-03  0.536624E-04  0.804397E-07  0.140821E-07  0.685951E-03  0.942664E-01  0.475099E-05  0.119320E-08  0.102746E-06  0.625774E-04  0.754515E-06  0.366246E-05  0.406064E-06  0.181950E-05  0.714644E+00  0.000000E+00
0.640000E-05  0.199753E+04  0.185895E-03  0.666923E-05  0.500064E-05  0.189851E+00  0.107608E-04  0.222388E-03  0.558900E-04  0.859446E-07  0.150256E-07  0.711330E-03  0.942336E-01  0.525400E-05  0.139510E-08  0.111389E-06  0.672972E-04  0.790024E-06  0.407359E-05  0.437690E-06  0.200293E-05  0.714637E+00  0.000000E+00
0.660000E-05  0.199747E+04  0.193241E-03  0.679236E-05  0.512553E-05  0.189839E+00  0.110680E-04  0.233674E-03  0.581428E-04  0.917058E-07  0.160140E-07  0.736912E-03  0.942002E-01  0.579656E-05  0.162519E-08  0.120562E-06  0.722256E-04  0.826384E-06  0.451628E-05  0.470777E-06  0.219828E-05  0.714630E+00  0.000000E+00
0.680000E-05  0.199740E+04  0.200718E-03  0.692001E-05  0.525228E-05  0.189825E+00  0.113835E-04  0.245292E-03  0.604200E-04  0.977325E-07  0.170491E-07  0.762700E-03  0.941663E-01  0.638098E-05  0.188667E-08  0.130291E-06  0.773666E-04  0.863614E-06  0.499198E-05  0.505358E-06  0.240593E-05  0.714623E+00  0.000000E+00
0.700000E-05  0.199733E+04  0.208330E-03  0.705229E-05  0.538091E-05  0.189812E+00  0.117075E-04  0.257252E-03  0.627213E-04  0.104034E-06  0.181327E-07  0.788695E-03  0.941317E-01  0.700965E-05  0.218304E-08  0.140601E-06  0.827244E-04  0.901729E-06  0.550218E-05  0.541468E-06  0.262629E-05  0.714616E+00  0.000000E+00
0.720000E-05  0.199727E+04  0.216083E-03  0.718932E-05  0.551148E-05  0.189798E+00  0.120401E-04  0.269562E-03  0.650461E-04  0.110620E-06  0.192667E-07  0.814903E-03  0.940966E-01  0.768504E-05  0.251811E-08  0.151518E-06  0.883031E-04  0.940749E-06  0.604838E-05  0.579142E-06  0.285974E-05  0.714608E+00  0.000000E+00
0.740000E-05  0.199720E+04  0.223980E-03  0.733123E-05  0.564402E-05  0.189784E+00  0.123816E-04  0.282234E-03  0.673939E-04  0.117500E-06  0.204531E-07  0.841325E-03  0.940608E-01  0.840978E-05  0.289603E-08  0.163070E-06  0.941070E-04  0.980691E-06  0.663215E-05  0.618418E-06  0.310670E-05  0.714601E+00  0.000000E+00
0.760000E-05  0.199714E+04  0.232027E-03  0.747816E-05  0.577857E-05  0.189769E+00  0.127320E-04  0.295276E-03  0.697642E-04  0.124686E-06  0.216939E-07  0.867966E-03  0.940245E-01  0.918658E-05  0.332130E-08  0.175286E-06  0.100140E-03  0.102157E-05  0.725506E-05  0.659333E-06  0.336756E-05  0.714593E+00  0.000000E+00
0.780000E-05  0.199708E+04  0.240229E-03  0.763023E-05  0.591518E-05  0.189754E+00  0.130917E-04  0.308700E-03  0.721564E-04  0.132187E-06  0.229912E-07  0.894827E-03  0.939875E-01  0.100183E-04  0.379881E-08  0.188194E-06  0.106408E-03  0.106341E-05  0.791875E-05  0.701926E-06  0.364275E-05  0.714585E+00  0.000000E+00
0.800000E-05  0.199702E+04  0.248591E-03  0.778758E-05  0.605387E-05  0.189739E+00  0.134608E-04  0.322515E-03  0.745702E-04  0.140014E-06  0.243471E-07  0.921913E-03  0.939498E-01  0.109078E-04  0.433388E-08  0.201825E-06  0.112913E-03  0.110623E-05  0.862488E-05  0.746236E-06  0.393267E-05  0.714578E+00  0.000000E+00
0.820000E-05  0.199696E+04  0.257119E-03  0.795036E-05  0.619470E-05  0.189723E+00  0.138395E-04  0.336734E-03  0.770051E-04  0.148180E-06  0.257638E-07  0.949226E-03  0.939115E-01  0.118583E-04  0.493226E-08  0.216212E-06  0.119661E-03  0.115003E-05  0.937516E-05  0.792304E-06  0.423775E-05  0.714570E+00  0.000000E+00
0.840000E-05  0.199690E+04  0.265819E-03  0.811870E-05  0.633772E-05  0.189707E+00  0.142281E-04  0.351366E-03  0.794606E-04  0.156695E-06  0.272438E-07  0.976771E-03  0.938724E-01  0.128730E-04  0.560015E-08  0.231387E-06  0.126656E-03  0.119485E-05  0.101713E-04  0.840171E-06  0.455842E-05  0.714562E+00  0.000000E+00
0.860000E-05  0.199684E+04  0.274696E-03  0.829277E-05  0.648295E-05  0.189690E+00  0.146267E-04  0.366423E-03  0.819363E-04  0.165573E-06  0.287895E-07  0.100455E-02  0.938327E-01  0.139552E-04  0.634429E-08  0.247385E-06  0.133903E-03  0.124070E-05  0.110152E-04  0.889881E-06  0.489510E-05  0.714553E+00  0.000000E+00
0.880000E-05  0.199678E+04  0.283756E-03  0.847271E-05  0.663046E-05  0.189673E+00  0.150356E-04  0.381916E-03  0.844318E-04  0.174826E-06  0.304032E-07  0.103257E-02  0.937923E-01  0.151084E-04  0.717193E-08  0.264240E-06  0.141405E-03  0.128760E-05  0.119086E-04  0.941478E-06  0.524824E-05  0.714545E+00  0.000000E+00
0.900000E-05  0.199673E+04  0.293005E-03  0.865868E-05  0.678028E-05  0.189656E+00  0.154549E-04  0.397858E-03  0.869467E-04  0.184466E-06  0.320875E-07  0.106082E-02  0.937511E-01  0.163363E-04  0.809090E-08  0.281989E-06  0.149169E-03  0.133557E-05  0.128534E-04  0.995006E-06  0.561827E-05  0.714537E+00  0.000000E+00
0.920000E-05  0.199667E+04  0.302449E-03  0.885086E-05  0.693247E-05  0.189638E+00  0.158849E-04  0.414261E-03  0.894806E-04  0.194507E-06  0.338452E-07  0.108932E-02  0.937091E-01  0.176426E-04  0.910965E-08  0.300671E-06  0.157197E-03  0.138462E-05  0.138515E-04  0.105051E-05  0.600566E-05  0.714528E+00  0.000000E+00
0.940000E-05  0.199662E+04  0.312094E-03  0.904940E-05  0.708707E-05  0.189619E+00  0.163259E-04  0.431137E-03  0.920332E-04  0.204964E-06  0.356790E-07  0.111807E-02  0.936664E-01  0.190314E-04  0.102373E-07  0.320325E-06  0.165496E-03  0.143478E-05  0.149049E-04  0.110804E-05  0.641085E-05  0.714519E+00  0.000000E+00
0.960000E-05  0.199657E+04  0.321948E-03  0.925448E-05  0.724413E-05  0.189600E+00  0.167780E-04  0.448499E-03  0.946041E-04  0.215850E-06  0.375918E-07  0.114707E-02  0.936229E-01  0.205068E-04  0.114836E-07  0.340992E-06  0.174069E-03  0.148607E-05  0.160156E-04  0.116765E-05  0.683430E-05  0.714511E+00  0.000000E+00
0.980000E-05  0.199652E+04  0.332017E-03  0.946628E-05  0.740371E-05  0.189581E+00  0.172416E-04  0.466360E-03  0.971931E-04  0.227180E-06  0.395863E-07  0.117633E-02  0.935786E-01  0.220729E-04  0.128590E-07  0.362714E-06  0.182921E-03  0.153850E-05  0.171857E-04  0.122938E-05  0.727649E-05  0.714502E+00  0.000000E+00
0.100000E-04  0.199647E+04  0.342307E-03  0.968498E-05  0.756585E-05  0.189561E+00  0.177167E-04  0.484733E-03  0.997999E-04  0.238970E-06  0.416659E-07  0.120584E-02  0.935335E-01  0.237344E-04  0.143750E-07  0.385535E-06  0.192057E-03  0.159209E-05  0.184173E-04  0.129328E-05  0.773788E-05  0.714492E+00  0.000000E+00
0.102000E-04  0.199643E+04  0.352826E-03  0.991078E-05  0.773061E-05  0.189540E+00  0.182038E-04  0.503632E-03  0.102424E-03  0.251235E-06  0.438334E-07  0.123561E-02  0.934875E-01  0.254959E-04  0.160436E-07  0.409500E-06  0.201482E-03  0.164687E-05  0.197126E-04  0.135941E-05  0.821897E-05  0.714483E+00  0.000000E+00
0.104000E-04  0.199638E+04  0.363580E-03  0.101439E-04  0.789804E-05  0.189519E+00  0.187030E-04  0.523071E-03  0.105066E-03  0.263992E-06  0.460924E-07  0.126565E-02  0.934407E-01  0.273621E-04  0.178778E-07  0.434657E-06  0.211201E-03  0.170286E-05  0.210738E-04  0.142783E-05  0.872023E-05  0.714474E+00  0.000000E+00
0.106000E-04  0.199634E+04  0.374578E-03  0.103844E-04  0.806820E-05  0.189498E+00  0.192146E-04  0.543065E-03  0.107724E-03  0.277258E-06  0.484460E-07  0.129595E-02  0.933929E-01  0.293382E-04  0.198916E-07  0.461054E-06  0.221218E-03  0.176007E-05  0.225033E-04  0.149858E-05  0.924216E-05  0.714464E+00  0.000000E+00
0.108000E-04  0.199630E+04  0.385827E-03  0.106327E-04  0.824114E-05  0.189476E+00  0.197389E-04  0.563627E-03  0.110400E-03  0.291050E-06  0.508979E-07  0.132653E-02  0.933443E-01  0.314294E-04  0.221001E-07  0.488741E-06  0.231538E-03  0.181853E-05  0.240033E-04  0.157172E-05  0.978527E-05  0.714454E+00  0.000000E+00
0.110000E-04  0.199626E+04  0.397334E-03  0.108889E-04  0.841692E-05  0.189453E+00  0.202761E-04  0.584774E-03  0.113092E-03  0.305387E-06  0.534515E-07  0.135738E-02  0.932948E-01  0.336411E-04  0.245192E-07  0.517771E-06  0.242166E-03  0.187826E-05  0.255762E-04  0.164731E-05  0.103501E-04  0.714444E+00  0.000000E+00
0.112000E-04  0.199622E+04  0.409108E-03  0.111532E-04  0.859560E-05  0.189429E+00  0.208265E-04  0.606520E-03  0.115800E-03  0.320286E-06  0.561108E-07  0.138851E-02  0.932442E-01  0.359790E-04  0.271661E-07  0.548198E-06  0.253107E-03  0.193928E-05  0.272245E-04  0.172541E-05  0.109370E-04  0.714434E+00  0.000000E+00
0.114000E-04  0.199619E+04  0.421157E-03  0.114259E-04  0.877725E-05  0.189405E+00  0.213904E-04  0.628882E-03  0.118526E-03  0.335767E-06  0.588794E-07  0.141993E-02  0.931928E-01  0.384489E-04  0.300591E-07  0.580077E-06  0.264365E-03  0.200161E-05  0.289508E-04  0.180608E-05  0.115467E-04  0.714424E+00  0.000000E+00
0.116000E-04  0.199615E+04  0.433489E-03  0.117072E-04  0.896192E-05  0.189381E+00  0.219682E-04  0.651875E-03  0.121267E-03  0.351850E-06  0.617615E-07  0.145163E-02  0.931403E-01  0.410571E-04  0.332179E-07  0.613466E-06  0.275946E-03  0.206528E-05  0.307576E-04  0.188938E-05  0.121797E-04  0.714413E+00  0.000000E+00
0.118000E-04  0.199612E+04  0.446113E-03  0.119973E-04  0.914967E-05  0.189356E+00  0.225600E-04  0.675516E-03  0.124025E-03  0.368556E-06  0.647612E-07  0.148361E-02  0.930868E-01  0.438099E-04  0.366635E-07  0.648426E-06  0.287855E-03  0.213031E-05  0.326475E-04  0.197538E-05  0.128364E-04  0.714402E+00  0.000000E+00
0.120000E-04  0.199609E+04  0.459037E-03  0.122965E-04  0.934058E-05  0.189330E+00  0.231662E-04  0.699823E-03  0.126800E-03  0.385905E-06  0.678827E-07  0.151589E-02  0.930323E-01  0.467139E-04  0.404183E-07  0.685018E-06  0.300097E-03  0.219672E-05  0.346234E-04  0.206414E-05  0.135174E-04  0.714391E+00  0.000000E+00
0.122000E-04  0.199606E+04  0.472272E-03  0.126050E-04  0.953471E-05  0.189303E+00  0.237872E-04  0.724812E-03  0.129590E-03  0.403920E-06  0.711305E-07  0.154847E-02  0.929768E-01  0.497760E-04  0.445062E-07  0.723305E-06  0.312675E-03  0.226453E-05  0.366879E-04  0.215572E-05  0.142233E-04  0.714380E+00  0.000000E+00
0.124000E-04  0.199604E+04  0.485826E-03  0.129231E-04  0.973212E-05  0.189276E+00  0.244232E-04  0.750501E-03  0.132397E-03  0.422623E-06  0.745093E-07  0.158134E-02  0.929201E-01  0.530033E-04  0.489527E-07  0.763356E-06  0.325596E-03  0.233378E-05  0.388439E-04  0.225019E-05  0.149546E-04  0.714368E+00  0.000000E+00
0.126000E-04  0.199602E+04  0.499709E-03  0.132512E-04  0.993289E-05  0.189248E+00  0.250746E-04  0.776909E-03  0.135221E-03  0.442038E-06  0.780237E-07  0.161452E-02  0.928624E-01  0.564032E-04  0.537851E-07  0.805237E-06  0.338865E-03  0.240449E-05  0.410944E-04  0.234763E-05  0.157119E-04  0.714357E+00  0.000000E+00
0.128000E-04  0.199600E+04  0.513930E-03  0.135893E-04  0.101371E-04  0.189219E+00  0.257417E-04  0.804054E-03  0.138061E-03  0.462189E-06  0.816786E-07  0.164800E-02  0.928035E-01  0.599836E-04  0.590325E-07  0.849020E-06  0.352485E-03  0.247667E-05  0.434423E-04  0.244810E-05  0.164958E-04  0.714345E+00  0.000000E+00
0.130000E-04  0.199598E+04  0.528501E-03  0.139379E-04  0.103448E-04  0.189190E+00  0.264248E-04  0.831956E-03  0.140918E-03  0.483101E-06  0.854792E-07  0.168180E-02  0.927435E-01  0.637522E-04  0.647258E-07  0.894778E-06  0.366463E-03  0.255037E-05  0.458908E-04  0.255168E-05  0.173067E-04  0.714333E+00  0.000000E+00
0.132000E-04  0.199597E+04  0.543431E-03  0.142973E-04  0.105561E-04  0.189160E+00  0.271244E-04  0.860634E-03  0.143792E-03  0.504800E-06  0.894308E-07  0.171590E-02  0.926822E-01  0.677176E-04  0.708980E-07  0.942587E-06  0.380803E-03  0.262559E-05  0.484430E-04  0.265844E-05  0.181454E-04  0.714320E+00  0.000000E+00
0.134000E-04  0.199595E+04  0.558731E-03  0.146677E-04  0.107710E-04  0.189129E+00  0.278409E-04  0.890109E-03  0.146683E-03  0.527313E-06  0.935387E-07  0.175033E-02  0.926198E-01  0.718883E-04  0.775842E-07  0.992526E-06  0.395510E-03  0.270239E-05  0.511020E-04  0.276846E-05  0.190123E-04  0.714308E+00  0.000000E+00
0.136000E-04  0.199595E+04  0.574412E-03  0.150495E-04  0.109896E-04  0.189097E+00  0.285744E-04  0.920401E-03  0.149592E-03  0.550667E-06  0.978087E-07  0.178507E-02  0.925562E-01  0.762734E-04  0.848220E-07  0.104467E-05  0.410590E-03  0.278077E-05  0.538713E-04  0.288181E-05  0.199081E-04  0.714295E+00  0.000000E+00
0.138000E-04  0.199594E+04  0.590485E-03  0.154430E-04  0.112121E-04  0.189064E+00  0.293256E-04  0.951531E-03  0.152518E-03  0.574890E-06  0.102247E-06  0.182014E-02  0.924913E-01  0.808820E-04  0.926512E-07  0.109912E-05  0.426046E-03  0.286077E-05  0.567542E-04  0.299857E-05  0.208334E-04  0.714281E+00  0.000000E+00
0.140000E-04  0.199594E+04  0.606962E-03  0.158485E-04  0.114385E-04  0.189031E+00  0.300948E-04  0.983521E-03  0.155463E-03  0.600014E-06  0.106859E-06  0.185553E-02  0.924251E-01  0.857238E-04  0.101114E-06  0.115594E-05  0.441885E-03  0.294243E-05  0.597543E-04  0.311882E-05  0.217887E-04  0.714268E+00  0.000000E+00
0.142000E-04  0.199594E+04  0.623855E-03  0.162664E-04  0.116688E-04  0.188997E+00  0.308823E-04  0.101639E-02  0.158425E-03  0.626067E-06  0.111651E-06  0.189125E-02  0.923576E-01  0.908090E-04  0.110256E-06  0.121524E-05  0.458110E-03  0.302576E-05  0.628750E-04  0.324265E-05  0.227747E-04  0.714254E+00  0.000000E+00
0.144000E-04  0.199594E+04  0.641176E-03  0.166970E-04  0.119032E-04  0.188961E+00  0.316887E-04  0.105017E-02  0.161407E-03  0.653082E-06  0.116630E-06  0.192731E-02  0.922887E-01  0.961479E-04  0.120125E-06  0.127709E-05  0.474727E-03  0.311080E-05  0.661200E-04  0.337014E-05  0.237919E-04  0.714240E+00  0.000000E+00
0.146000E-04  0.199595E+04  0.658938E-03  0.171407E-04  0.121417E-04  0.188925E+00  0.325143E-04  0.108488E-02  0.164408E-03  0.681091E-06  0.121802E-06  0.196370E-02  0.922185E-01  0.101751E-03  0.130771E-06  0.134161E-05  0.491742E-03  0.319759E-05  0.694932E-04  0.350137E-05  0.248410E-04  0.714226E+00  0.000000E+00
0.148000E-04  0.199596E+04  0.677153E-03  0.175980E-04  0.123845E-04  0.188888E+00  0.333597E-04  0.112054E-02  0.167428E-03  0.710129E-06  0.127175E-06  0.200044E-02  0.921468E-01  0.107630E-03  0.142250E-06  0.140888E-05  0.509158E-03  0.328615E-05  0.729982E-04  0.363644E-05  0.259227E-04  0.714211E+00  0.000000E+00
