  T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        HO2        H2O2       C          CH         CH2        CH2(S)     CH3        CH4        CO         CO2        HCO        CH2O       CH2OH      CH3O       CH3OH      C2H        C2H2       C2H3       C2H4       C2H5       C2H6       HCCO       CH2CO      HCCOH      N          NH         NH2        NH3        NNH        NO         NO2        N2O        HNO        CN         HCN        H2CN       HCNN       HCNO       HOCN       HNCO       NCO        N2         AR         C3H7       C3H8       CH2CHO     CH3CHO    
 0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.71483E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.20000E-06 0.19999E+04 0.31192E-05 0.44511E-05 0.97523E-06 0.19011E+00 0.14172E-05 0.54555E-06 0.12041E-05 0.59497E-08 0.59470E-16 0.89687E-12 0.89763E-10 0.33073E-10 0.14327E-04 0.95042E-01 0.28395E-09 0.20969E-10 0.98411E-11 0.38155E-07 0.62090E-11 0.83147E-08 0.30669E-09 0.27733E-20 0.23020E-14 0.27165E-15 0.10849E-10 0.66329E-10 0.32215E-10 0.13093E-19 0.19804E-16 0.37578E-21 0.18437E-12 0.63617E-15 0.24690E-21 0.21314E-27 0.10558E-10 0.26940E-12 0.38363E-18 0.14656E-10 0.13579E-16 0.10769E-19 0.54342E-14 0.25653E-16 0.27061E-15 0.13439E-22 0.36871E-21 0.88563E-22 0.82893E-20 0.71482E+00 0.00000E+00 0.19081E-16 0.35856E-16 0.31218E-16 0.15484E-14
 0.40000E-06 0.19998E+04 0.86938E-05 0.53436E-05 0.18639E-05 0.19010E+00 0.34070E-05 0.30198E-05 0.24113E-05 0.18447E-07 0.19250E-15 0.22201E-11 0.60297E-09 0.16072E-09 0.34193E-04 0.95021E-01 0.30117E-08 0.30073E-09 0.61652E-10 0.19593E-06 0.48026E-10 0.22748E-07 0.17442E-08 0.24414E-18 0.66885E-13 0.67943E-14 0.17406E-09 0.66265E-09 0.35414E-09 0.13500E-17 0.13326E-14 0.51413E-19 0.67138E-12 0.34313E-14 0.83217E-20 0.43778E-25 0.12227E-10 0.14204E-11 0.66471E-17 0.34187E-10 0.15738E-15 0.82989E-19 0.27161E-13 0.34035E-15 0.82974E-15 0.96055E-21 0.95663E-20 0.41022E-20 0.15602E-18 0.71482E+00 0.00000E+00 0.82340E-15 0.16731E-14 0.11532E-14 0.64294E-13
 0.60000E-06 0.19997E+04 0.14777E-04 0.55468E-05 0.22907E-05 0.19010E+00 0.47836E-05 0.72192E-05 0.36256E-05 0.33451E-07 0.34713E-15 0.37627E-11 0.15741E-08 0.36241E-09 0.56891E-04 0.94997E-01 0.10764E-07 0.12747E-08 0.17849E-09 0.50902E-06 0.12577E-09 0.40079E-07 0.47092E-08 0.32425E-17 0.54180E-12 0.50146E-13 0.95369E-09 0.25005E-08 0.14617E-08 0.19245E-16 0.16675E-13 0.89837E-18 0.11276E-11 0.77572E-14 0.52449E-19 0.74258E-24 0.12708E-10 0.33221E-11 0.33195E-16 0.58315E-10 0.56043E-15 0.25533E-18 0.70906E-13 0.11414E-14 0.15764E-14 0.93588E-20 0.56144E-19 0.35055E-19 0.77626E-18 0.71481E+00 0.00000E+00 0.72263E-14 0.15830E-13 0.96316E-14 0.48005E-12
 0.80000E-06 0.19996E+04 0.20996E-04 0.56200E-05 0.24990E-05 0.19009E+00 0.56072E-05 0.12514E-04 0.48496E-05 0.49498E-07 0.51187E-15 0.54164E-11 0.28338E-08 0.60196E-09 0.80982E-04 0.94971E-01 0.25117E-07 0.32893E-08 0.37441E-09 0.99600E-06 0.22163E-09 0.59134E-07 0.94190E-08 0.18846E-16 0.24232E-11 0.20401E-12 0.31757E-08 0.62225E-08 0.39618E-08 0.11949E-15 0.97170E-13 0.64621E-17 0.14497E-11 0.12778E-13 0.17481E-18 0.48492E-23 0.12964E-10 0.57059E-11 0.99864E-16 0.86829E-10 0.12647E-14 0.55108E-18 0.14039E-12 0.22928E-14 0.24348E-14 0.41144E-19 0.18308E-18 0.14568E-18 0.23093E-17 0.71480E+00 0.00000E+00 0.32146E-13 0.75772E-13 0.41291E-13 0.18319E-11
 0.10000E-05 0.19995E+04 0.27280E-04 0.56712E-05 0.26288E-05 0.19008E+00 0.61195E-05 0.18469E-04 0.60844E-05 0.66069E-07 0.68376E-15 0.71266E-11 0.42613E-08 0.86172E-09 0.10578E-03 0.94945E-01 0.47083E-07 0.65477E-08 0.65991E-09 0.16672E-05 0.32528E-09 0.79341E-07 0.16004E-07 0.70063E-16 0.76957E-11 0.58935E-12 0.79558E-08 0.12296E-07 0.84913E-08 0.47486E-15 0.36902E-12 0.28665E-16 0.16637E-11 0.18067E-13 0.42139E-18 0.19417E-22 0.13184E-10 0.83930E-11 0.22894E-15 0.11966E-09 0.22582E-14 0.98560E-18 0.23760E-12 0.36164E-14 0.33541E-14 0.11993E-18 0.43930E-18 0.41224E-18 0.52555E-17 0.71480E+00 0.00000E+00 0.98052E-13 0.24818E-12 0.12276E-12 0.49422E-11
 0.12000E-05 0.19994E+04 0.33620E-04 0.57213E-05 0.27341E-05 0.19008E+00 0.64871E-05 0.24864E-04 0.73299E-05 0.82982E-07 0.86186E-15 0.88706E-11 0.58182E-08 0.11383E-08 0.13098E-03 0.94918E-01 0.77563E-07 0.11182E-07 0.10448E-08 0.25293E-05 0.43437E-09 0.10045E-06 0.24557E-07 0.19855E-15 0.19589E-10 0.13711E-11 0.16609E-07 0.21031E-07 0.15685E-07 0.14339E-14 0.10708E-11 0.94422E-16 0.18136E-11 0.23459E-13 0.83868E-18 0.58077E-22 0.13402E-10 0.11288E-10 0.44406E-15 0.15680E-09 0.35093E-14 0.15719E-17 0.36354E-12 0.50262E-14 0.43132E-14 0.27474E-18 0.87761E-18 0.92759E-18 0.10170E-16 0.71479E+00 0.00000E+00 0.23589E-12 0.63953E-12 0.29101E-12 0.10837E-10
 0.14000E-05 0.19993E+04 0.40018E-04 0.57744E-05 0.28331E-05 0.19007E+00 0.67960E-05 0.31600E-04 0.85858E-05 0.10017E-06 0.10460E-14 0.10641E-10 0.75076E-08 0.14338E-08 0.15646E-03 0.94890E-01 0.11753E-06 0.17311E-07 0.15392E-08 0.35875E-05 0.54976E-09 0.12235E-06 0.35152E-07 0.47029E-15 0.42754E-10 0.27552E-11 0.30580E-07 0.32634E-07 0.26166E-07 0.35980E-14 0.25884E-11 0.25489E-15 0.19304E-11 0.28907E-13 0.14736E-17 0.14341E-21 0.13627E-10 0.14344E-10 0.76996E-15 0.19828E-09 0.49839E-14 0.23239E-17 0.51887E-12 0.65053E-14 0.53077E-14 0.53967E-18 0.15560E-17 0.18005E-17 0.17664E-16 0.71478E+00 0.00000E+00 0.48313E-12 0.13990E-11 0.59272E-12 0.20729E-10
 0.16000E-05 0.19992E+04 0.46477E-04 0.58311E-05 0.29316E-05 0.19006E+00 0.70856E-05 0.38642E-04 0.98513E-05 0.11759E-06 0.12366E-14 0.12435E-10 0.93435E-08 0.17509E-08 0.18217E-03 0.94862E-01 0.16805E-06 0.25064E-07 0.21537E-08 0.48464E-05 0.67294E-09 0.14502E-06 0.47860E-07 0.98164E-15 0.83384E-10 0.49869E-11 0.51405E-07 0.47248E-07 0.40549E-07 0.79014E-14 0.54876E-11 0.59721E-15 0.20316E-11 0.34420E-13 0.23746E-17 0.30952E-21 0.13858E-10 0.17541E-10 0.12326E-14 0.24411E-09 0.66525E-14 0.32567E-17 0.70422E-12 0.80643E-14 0.63390E-14 0.95467E-18 0.25391E-17 0.31579E-17 0.28413E-16 0.71478E+00 0.00000E+00 0.88207E-12 0.27195E-11 0.10838E-11 0.36011E-10
 0.18000E-05 0.19991E+04 0.53002E-04 0.58918E-05 0.30312E-05 0.19006E+00 0.73724E-05 0.45979E-04 0.11126E-04 0.13524E-06 0.14342E-14 0.14253E-10 0.11340E-07 0.20921E-08 0.20810E-03 0.94834E-01 0.23031E-06 0.34581E-07 0.28993E-08 0.63103E-05 0.80518E-09 0.16846E-06 0.62751E-07 0.18656E-14 0.14931E-09 0.83508E-11 0.80679E-07 0.64987E-07 0.59442E-07 0.15694E-13 0.10546E-10 0.12588E-14 0.21261E-11 0.40023E-13 0.35920E-17 0.60480E-21 0.14098E-10 0.20871E-10 0.18592E-14 0.29432E-09 0.84913E-14 0.43871E-17 0.92023E-12 0.97192E-14 0.74100E-14 0.15664E-17 0.38993E-17 0.51482E-17 0.43158E-16 0.71477E+00 0.00000E+00 0.14787E-11 0.48387E-11 0.18293E-11 0.58250E-10
 0.20000E-05 0.19990E+04 0.59598E-04 0.59567E-05 0.31325E-05 0.19005E+00 0.76633E-05 0.53614E-04 0.12408E-04 0.15311E-06 0.16393E-14 0.16098E-10 0.13507E-07 0.24592E-08 0.23424E-03 0.94805E-01 0.30558E-06 0.46017E-07 0.37875E-08 0.79837E-05 0.94747E-09 0.19266E-06 0.79894E-07 0.32983E-14 0.25006E-09 0.13171E-10 0.12005E-06 0.85946E-07 0.83443E-07 0.28826E-13 0.18784E-10 0.24444E-14 0.22181E-11 0.45749E-13 0.51795E-17 0.10951E-20 0.14345E-10 0.24330E-10 0.26785E-14 0.34894E-09 0.10483E-13 0.57331E-17 0.11676E-11 0.11483E-13 0.85231E-14 0.24289E-17 0.57177E-17 0.79432E-17 0.62706E-16 0.71476E+00 0.00000E+00 0.23221E-11 0.80386E-11 0.29034E-11 0.89190E-10
 0.22000E-05 0.19989E+04 0.66269E-04 0.60259E-05 0.32358E-05 0.19004E+00 0.79611E-05 0.61552E-04 0.13698E-04 0.17117E-06 0.18526E-14 0.17970E-10 0.15855E-07 0.28538E-08 0.26059E-03 0.94775E-01 0.39521E-06 0.59534E-07 0.48303E-08 0.98709E-05 0.11006E-08 0.21765E-06 0.99360E-07 0.55057E-14 0.39695E-09 0.19815E-10 0.17123E-06 0.11021E-06 0.11315E-06 0.49736E-13 0.31496E-10 0.44459E-14 0.23095E-11 0.51633E-13 0.71945E-17 0.18673E-20 0.14600E-10 0.27919E-10 0.37205E-14 0.40798E-09 0.12615E-13 0.73144E-17 0.14472E-11 0.13367E-13 0.96807E-14 0.36047E-17 0.80842E-17 0.11741E-16 0.87942E-16 0.71476E+00 0.00000E+00 0.34640E-11 0.12647E-10 0.43900E-11 0.13076E-09
 0.24000E-05 0.19989E+04 0.73020E-04 0.60994E-05 0.33410E-05 0.19003E+00 0.82668E-05 0.69801E-04 0.14994E-04 0.18944E-06 0.20748E-14 0.19871E-10 0.18393E-07 0.32773E-08 0.28716E-03 0.94745E-01 0.50067E-06 0.75302E-07 0.60402E-08 0.11976E-04 0.12653E-08 0.24343E-06 0.12122E-06 0.87714E-14 0.60311E-09 0.28691E-10 0.23594E-06 0.13788E-06 0.14916E-06 0.81543E-13 0.50287E-10 0.76654E-14 0.24015E-11 0.57709E-13 0.96989E-17 0.30331E-20 0.14862E-10 0.31638E-10 0.50170E-14 0.47147E-09 0.14879E-13 0.91517E-17 0.17598E-11 0.15377E-13 0.10885E-13 0.51653E-17 0.11098E-16 0.16768E-16 0.11983E-15 0.71475E+00 0.00000E+00 0.49589E-11 0.19038E-10 0.63830E-11 0.18506E-09
 0.26000E-05 0.19988E+04 0.79857E-04 0.61775E-05 0.34483E-05 0.19002E+00 0.85812E-05 0.78371E-04 0.16297E-04 0.20789E-06 0.23068E-14 0.21804E-10 0.21127E-07 0.37311E-08 0.31395E-03 0.94715E-01 0.62348E-06 0.93499E-07 0.74304E-08 0.14304E-04 0.14422E-08 0.27003E-06 0.14555E-06 0.13445E-13 0.88359E-09 0.40257E-10 0.31596E-06 0.16902E-06 0.19205E-06 0.12815E-12 0.77103E-10 0.12641E-13 0.24943E-11 0.64010E-13 0.12760E-16 0.47340E-20 0.15133E-10 0.35490E-10 0.66011E-14 0.53943E-09 0.17273E-13 0.11268E-16 0.21063E-11 0.17521E-13 0.12138E-13 0.71921E-17 0.14870E-16 0.23283E-16 0.15941E-15 0.71474E+00 0.00000E+00 0.68639E-11 0.27631E-10 0.89869E-11 0.25442E-09
 0.28000E-05 0.19987E+04 0.86784E-04 0.62601E-05 0.35576E-05 0.19001E+00 0.89044E-05 0.87271E-04 0.17605E-04 0.22652E-06 0.25493E-14 0.23769E-10 0.24065E-07 0.42166E-08 0.34095E-03 0.94683E-01 0.76527E-06 0.11431E-06 0.90146E-08 0.16860E-04 0.16320E-08 0.29744E-06 0.17242E-06 0.19949E-13 0.12554E-08 0.55020E-10 0.41313E-06 0.20373E-06 0.24242E-06 0.19435E-12 0.11427E-09 0.20079E-13 0.25882E-11 0.70569E-13 0.16451E-16 0.71459E-20 0.15413E-10 0.39475E-10 0.85076E-14 0.61185E-09 0.19795E-13 0.13686E-16 0.24877E-11 0.19802E-13 0.13443E-13 0.97770E-17 0.19521E-16 0.31577E-16 0.20783E-15 0.71473E+00 0.00000E+00 0.92389E-11 0.38894E-10 0.12318E-10 0.34135E-09
 0.30000E-05 0.19986E+04 0.93806E-04 0.63475E-05 0.36691E-05 0.19000E+00 0.92366E-05 0.96510E-04 0.18918E-04 0.24532E-06 0.28032E-14 0.25769E-10 0.27216E-07 0.47350E-08 0.36819E-03 0.94652E-01 0.92778E-06 0.13793E-06 0.10807E-07 0.19647E-04 0.18354E-08 0.32569E-06 0.20191E-06 0.28792E-13 0.17375E-08 0.73541E-10 0.52931E-06 0.24210E-06 0.30086E-06 0.28593E-12 0.16455E-09 0.30883E-13 0.26834E-11 0.77417E-13 0.20851E-16 0.10486E-19 0.15700E-10 0.43596E-10 0.10773E-13 0.68877E-09 0.22447E-13 0.16434E-16 0.29048E-11 0.22227E-13 0.14800E-13 0.13024E-16 0.25183E-16 0.41978E-16 0.26631E-15 0.71473E+00 0.00000E+00 0.12147E-10 0.53343E-10 0.16504E-10 0.44860E-09
 0.32000E-05 0.19985E+04 0.10093E-03 0.64399E-05 0.37828E-05 0.18999E+00 0.95781E-05 0.10610E-03 0.20235E-04 0.26430E-06 0.30695E-14 0.27806E-10 0.30587E-07 0.52879E-08 0.39565E-03 0.94620E-01 0.11128E-05 0.16456E-06 0.12823E-07 0.22670E-04 0.20531E-08 0.35479E-06 0.23409E-06 0.40578E-13 0.23512E-08 0.96437E-10 0.66642E-06 0.28421E-06 0.36795E-06 0.40985E-12 0.23114E-09 0.46198E-13 0.27798E-11 0.84586E-13 0.26048E-16 0.15017E-19 0.15997E-10 0.47855E-10 0.13435E-13 0.77018E-09 0.25233E-13 0.19539E-16 0.33588E-11 0.24800E-13 0.16213E-13 0.17049E-16 0.32002E-16 0.54856E-16 0.33620E-15 0.71472E+00 0.00000E+00 0.15653E-10 0.71544E-10 0.21686E-10 0.57914E-09
 0.34000E-05 0.19984E+04 0.10816E-03 0.65372E-05 0.38987E-05 0.18998E+00 0.99289E-05 0.11605E-03 0.21556E-04 0.28344E-06 0.33493E-14 0.29882E-10 0.34187E-07 0.58766E-08 0.42334E-03 0.94587E-01 0.13223E-05 0.19440E-06 0.15078E-07 0.25934E-04 0.22858E-08 0.38476E-06 0.26904E-06 0.56014E-13 0.31196E-08 0.12439E-09 0.82641E-06 0.33016E-06 0.44427E-06 0.57429E-12 0.31777E-09 0.67452E-13 0.28777E-11 0.92107E-13 0.32138E-16 0.21061E-19 0.16302E-10 0.52254E-10 0.16533E-13 0.85610E-09 0.28159E-13 0.23030E-16 0.38508E-11 0.27526E-13 0.17684E-13 0.21982E-16 0.40137E-16 0.70624E-16 0.41893E-15 0.71471E+00 0.00000E+00 0.19826E-10 0.94113E-10 0.28020E-10 0.73620E-09
 0.36000E-05 0.19983E+04 0.11550E-03 0.66396E-05 0.40168E-05 0.18997E+00 0.10289E-04 0.12636E-03 0.22881E-04 0.30273E-06 0.36435E-14 0.32001E-10 0.38024E-07 0.65028E-08 0.45128E-03 0.94553E-01 0.15583E-05 0.22767E-06 0.17589E-07 0.29443E-04 0.25343E-08 0.41560E-06 0.30685E-06 0.75931E-13 0.40684E-08 0.15814E-09 0.10113E-05 0.38005E-06 0.53042E-06 0.78889E-12 0.42872E-09 0.96400E-13 0.29769E-11 0.10001E-12 0.39224E-16 0.28998E-19 0.16616E-10 0.56796E-10 0.20108E-13 0.94654E-09 0.31233E-13 0.26940E-16 0.43818E-11 0.30411E-13 0.19215E-13 0.27968E-16 0.49762E-16 0.89740E-16 0.51606E-15 0.71470E+00 0.00000E+00 0.24739E-10 0.12172E-09 0.35676E-10 0.92326E-09
 0.38000E-05 0.19982E+04 0.12296E-03 0.67474E-05 0.41373E-05 0.18996E+00 0.10659E-04 0.13706E-03 0.24208E-04 0.32218E-06 0.39534E-14 0.34164E-10 0.42108E-07 0.71680E-08 0.47945E-03 0.94519E-01 0.18229E-05 0.26459E-06 0.20372E-07 0.33203E-04 0.27993E-08 0.44733E-06 0.34758E-06 0.10129E-12 0.52254E-08 0.19852E-09 0.12231E-05 0.43397E-06 0.62697E-06 0.10649E-11 0.56887E-09 0.13519E-12 0.30776E-11 0.10833E-12 0.47422E-16 0.39288E-19 0.16939E-10 0.61482E-10 0.24204E-13 0.10415E-08 0.34463E-13 0.31303E-16 0.49530E-11 0.33459E-13 0.20810E-13 0.35168E-16 0.61066E-16 0.11272E-15 0.62928E-15 0.71470E+00 0.00000E+00 0.30467E-10 0.15508E-09 0.44839E-10 0.11441E-08
 0.40000E-05 0.19982E+04 0.13055E-03 0.68606E-05 0.42602E-05 0.18995E+00 0.11039E-04 0.14815E-03 0.25538E-04 0.34178E-06 0.42803E-14 0.36376E-10 0.46446E-07 0.78737E-08 0.50787E-03 0.94485E-01 0.21184E-05 0.30539E-06 0.23445E-07 0.37217E-04 0.30816E-08 0.47995E-06 0.39132E-06 0.13320E-12 0.66208E-08 0.24640E-09 0.14640E-05 0.49203E-06 0.73453E-06 0.14152E-11 0.74380E-09 0.18640E-12 0.31799E-11 0.11708E-12 0.56856E-16 0.52473E-19 0.17271E-10 0.66316E-10 0.28865E-13 0.11410E-08 0.37858E-13 0.36157E-16 0.55657E-11 0.36676E-13 0.22470E-13 0.43760E-16 0.74255E-16 0.14012E-15 0.76041E-15 0.71469E+00 0.00000E+00 0.37089E-10 0.19498E-09 0.55714E-10 0.14027E-08
 0.42000E-05 0.19981E+04 0.13826E-03 0.69794E-05 0.43854E-05 0.18994E+00 0.11429E-04 0.15964E-03 0.26871E-04 0.36153E-06 0.46255E-14 0.38638E-10 0.51049E-07 0.86217E-08 0.53653E-03 0.94449E-01 0.24472E-05 0.35033E-06 0.26828E-07 0.41491E-04 0.33821E-08 0.51350E-06 0.43816E-06 0.17293E-12 0.82876E-08 0.30278E-09 0.17360E-05 0.55432E-06 0.85369E-06 0.18548E-11 0.95978E-09 0.25313E-12 0.32837E-11 0.12632E-12 0.67663E-16 0.69193E-19 0.17613E-10 0.71300E-10 0.34136E-13 0.12450E-08 0.41429E-13 0.41542E-16 0.62213E-11 0.40069E-13 0.24199E-13 0.53941E-16 0.89554E-16 0.17257E-15 0.91139E-15 0.71468E+00 0.00000E+00 0.44689E-10 0.24224E-09 0.68522E-10 0.17036E-08
 0.44000E-05 0.19980E+04 0.14612E-03 0.71039E-05 0.45131E-05 0.18992E+00 0.11830E-04 0.17154E-03 0.28205E-04 0.38142E-06 0.49905E-14 0.40954E-10 0.55927E-07 0.94137E-08 0.56545E-03 0.94413E-01 0.28117E-05 0.39963E-06 0.30539E-07 0.46029E-04 0.37016E-08 0.54797E-06 0.48817E-06 0.22195E-12 0.10261E-07 0.36870E-09 0.20415E-05 0.62096E-06 0.98503E-06 0.24009E-11 0.12239E-08 0.33907E-12 0.33892E-11 0.13606E-12 0.79993E-16 0.90204E-19 0.17965E-10 0.76436E-10 0.40067E-13 0.13535E-08 0.45188E-13 0.47500E-16 0.69210E-11 0.43642E-13 0.26000E-13 0.65928E-16 0.10721E-15 0.21077E-15 0.10843E-14 0.71467E+00 0.00000E+00 0.53353E-10 0.29775E-09 0.83503E-10 0.20513E-08
 0.46000E-05 0.19979E+04 0.15411E-03 0.72343E-05 0.46434E-05 0.18991E+00 0.12240E-04 0.18386E-03 0.29542E-04 0.40146E-06 0.53768E-14 0.43328E-10 0.61089E-07 0.10252E-07 0.59463E-03 0.94376E-01 0.32147E-05 0.45357E-06 0.34600E-07 0.50835E-04 0.40410E-08 0.58339E-06 0.54144E-06 0.28190E-12 0.12579E-07 0.44532E-09 0.23827E-05 0.69206E-06 0.11292E-05 0.30729E-11 0.15440E-08 0.44857E-12 0.34964E-11 0.14634E-12 0.94010E-16 0.11639E-18 0.18327E-10 0.81727E-10 0.46706E-13 0.14666E-08 0.49146E-13 0.54076E-16 0.76664E-11 0.47404E-13 0.27876E-13 0.79959E-16 0.12747E-15 0.25548E-15 0.12815E-14 0.71466E+00 0.00000E+00 0.63174E-10 0.36247E-09 0.10092E-09 0.24509E-08
 0.48000E-05 0.19978E+04 0.16226E-03 0.73708E-05 0.47762E-05 0.18990E+00 0.12662E-04 0.19662E-03 0.30880E-04 0.42164E-06 0.57863E-14 0.45763E-10 0.66546E-07 0.11137E-07 0.62406E-03 0.94339E-01 0.36589E-05 0.51241E-06 0.39030E-07 0.55916E-04 0.44013E-08 0.61976E-06 0.59806E-06 0.35466E-12 0.15283E-07 0.53390E-09 0.27618E-05 0.76772E-06 0.12867E-05 0.38929E-11 0.19290E-08 0.58675E-12 0.36055E-11 0.15719E-12 0.10989E-15 0.14878E-18 0.18699E-10 0.87175E-10 0.54106E-13 0.15842E-08 0.53316E-13 0.61321E-16 0.84589E-11 0.51360E-13 0.29830E-13 0.96297E-16 0.15064E-15 0.30752E-15 0.15054E-14 0.71466E+00 0.00000E+00 0.74246E-10 0.43740E-09 0.12106E-09 0.29078E-08
 0.50000E-05 0.19978E+04 0.17056E-03 0.75136E-05 0.49117E-05 0.18989E+00 0.13094E-04 0.20983E-03 0.32220E-04 0.44196E-06 0.62207E-14 0.48265E-10 0.72308E-07 0.12072E-07 0.65376E-03 0.94301E-01 0.41472E-05 0.57642E-06 0.43853E-07 0.61274E-04 0.47835E-08 0.65709E-06 0.65811E-06 0.44237E-12 0.18417E-07 0.63579E-09 0.31812E-05 0.84807E-06 0.14582E-05 0.48861E-11 0.23888E-08 0.75956E-12 0.37164E-11 0.16865E-12 0.12784E-15 0.18857E-18 0.19081E-10 0.92785E-10 0.62319E-13 0.17064E-08 0.57711E-13 0.69287E-16 0.93002E-11 0.55517E-13 0.31867E-13 0.11523E-15 0.17703E-15 0.36782E-15 0.17586E-14 0.71465E+00 0.00000E+00 0.86670E-10 0.52362E-09 0.14422E-09 0.34278E-08
 0.52000E-05 0.19977E+04 0.17903E-03 0.76627E-05 0.50498E-05 0.18987E+00 0.13537E-04 0.22350E-03 0.33562E-04 0.46242E-06 0.66822E-14 0.50837E-10 0.78387E-07 0.13059E-07 0.68373E-03 0.94262E-01 0.46826E-05 0.64590E-06 0.49091E-07 0.66916E-04 0.51884E-08 0.69542E-06 0.72167E-06 0.54740E-12 0.22027E-07 0.75247E-09 0.36435E-05 0.93322E-06 0.16443E-05 0.60808E-11 0.29343E-08 0.97395E-12 0.38292E-11 0.18075E-12 0.14805E-15 0.23717E-18 0.19475E-10 0.98558E-10 0.71401E-13 0.18331E-08 0.62346E-13 0.78031E-16 0.10192E-10 0.59883E-13 0.33989E-13 0.13707E-15 0.20696E-15 0.43739E-15 0.20438E-14 0.71464E+00 0.00000E+00 0.10055E-09 0.62227E-09 0.17074E-09 0.40170E-08
 0.54000E-05 0.19976E+04 0.18767E-03 0.78185E-05 0.51907E-05 0.18986E+00 0.13991E-04 0.23763E-03 0.34905E-04 0.48302E-06 0.71728E-14 0.53484E-10 0.84793E-07 0.14099E-07 0.71396E-03 0.94222E-01 0.52684E-05 0.72115E-06 0.54769E-07 0.72845E-04 0.56172E-08 0.73474E-06 0.78884E-06 0.67244E-12 0.26162E-07 0.88552E-09 0.41510E-05 0.10233E-05 0.18456E-05 0.75088E-11 0.35776E-08 0.12379E-11 0.39440E-11 0.19352E-12 0.17078E-15 0.29620E-18 0.19880E-10 0.10450E-09 0.81409E-13 0.19643E-08 0.67235E-13 0.87614E-16 0.11136E-10 0.64466E-13 0.36200E-13 0.16216E-15 0.24079E-15 0.51732E-15 0.23642E-14 0.71463E+00 0.00000E+00 0.11600E-09 0.73455E-09 0.20098E-09 0.46822E-08
 0.56000E-05 0.19975E+04 0.19649E-03 0.79811E-05 0.53344E-05 0.18984E+00 0.14457E-04 0.25225E-03 0.36249E-04 0.50377E-06 0.76950E-14 0.56210E-10 0.91540E-07 0.15195E-07 0.74448E-03 0.94182E-01 0.59080E-05 0.80247E-06 0.60911E-07 0.79067E-04 0.60709E-08 0.77508E-06 0.85971E-06 0.82050E-12 0.30878E-07 0.10367E-08 0.47063E-05 0.11184E-05 0.20627E-05 0.92057E-11 0.43322E-08 0.15608E-11 0.40610E-11 0.20702E-12 0.19626E-15 0.36751E-18 0.20296E-10 0.11061E-09 0.92403E-13 0.21001E-08 0.72393E-13 0.98101E-16 0.12134E-10 0.69275E-13 0.38505E-13 0.19088E-15 0.27893E-15 0.60882E-15 0.27230E-14 0.71462E+00 0.00000E+00 0.13313E-09 0.86173E-09 0.23533E-09 0.54303E-08
 0.58000E-05 0.19975E+04 0.20550E-03 0.81506E-05 0.54810E-05 0.18983E+00 0.14935E-04 0.26737E-03 0.37595E-04 0.52467E-06 0.82513E-14 0.59023E-10 0.98639E-07 0.16349E-07 0.77527E-03 0.94140E-01 0.66050E-05 0.89018E-06 0.67543E-07 0.85587E-04 0.65506E-08 0.81644E-06 0.93437E-06 0.99494E-12 0.36229E-07 0.12078E-08 0.53120E-05 0.12187E-05 0.22964E-05 0.11212E-10 0.52126E-08 0.19531E-11 0.41802E-11 0.22126E-12 0.22478E-15 0.45327E-18 0.20725E-10 0.11689E-09 0.10444E-12 0.22404E-08 0.77836E-13 0.10956E-15 0.13188E-10 0.74317E-13 0.40908E-13 0.22363E-15 0.32179E-15 0.71320E-15 0.31237E-14 0.71461E+00 0.00000E+00 0.15207E-09 0.10052E-08 0.27421E-09 0.62689E-08
 0.60000E-05 0.19974E+04 0.21470E-03 0.83274E-05 0.56305E-05 0.18981E+00 0.15424E-04 0.28299E-03 0.38944E-04 0.54572E-06 0.88446E-14 0.61927E-10 0.10610E-06 0.17563E-07 0.80635E-03 0.94098E-01 0.73629E-05 0.98462E-06 0.74693E-07 0.92408E-04 0.70576E-08 0.85886E-06 0.10129E-05 0.11995E-11 0.42277E-07 0.14008E-08 0.59709E-05 0.13244E-05 0.25471E-05 0.13571E-10 0.62352E-08 0.24270E-11 0.43017E-11 0.23631E-12 0.25665E-15 0.55596E-18 0.21165E-10 0.12335E-09 0.11759E-12 0.23853E-08 0.83580E-13 0.12207E-15 0.14301E-10 0.79602E-13 0.43414E-13 0.26085E-15 0.36983E-15 0.83188E-15 0.35700E-14 0.71460E+00 0.00000E+00 0.17294E-09 0.11663E-08 0.31806E-09 0.72060E-08
