 T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        HO2        H2O2       CH2        CH2(S)     CH3        CH4        CO         CO2        HCO        CH2O       CH3O       C2H2       C2H3       C2H4       C2H5       C2H6       N2         AR        
 0.41000E-04 0.23103E+04 0.30381E-01 0.22437E-02 0.51124E-03 0.12855E+00 0.21163E-02 0.62671E-01 0.46721E-03 0.45247E-05 0.24880E-03 0.44413E-04 0.10930E-01 0.28932E-01 0.35747E-01 0.90970E-03 0.25180E-03 0.41313E-02 0.24213E-04 0.17910E-02 0.16025E-03 0.29608E-02 0.80491E-04 0.61644E-04 0.68678E+00 0.00000E+00
 0.41200E-04 0.23245E+04 0.31283E-01 0.24405E-02 0.55294E-03 0.12621E+00 0.22845E-02 0.64974E-01 0.44909E-03 0.41710E-05 0.27175E-03 0.48131E-04 0.10893E-01 0.27196E-01 0.37314E-01 0.98034E-03 0.26135E-03 0.40389E-02 0.23327E-04 0.19023E-02 0.17079E-03 0.28718E-02 0.78507E-04 0.54385E-04 0.68570E+00 0.00000E+00
 0.41400E-04 0.23396E+04 0.32200E-01 0.26651E-02 0.60079E-03 0.12373E+00 0.24768E-02 0.67401E-01 0.42947E-03 0.38202E-05 0.29774E-03 0.52292E-04 0.10828E-01 0.25406E-01 0.38973E-01 0.10584E-02 0.27130E-03 0.39379E-02 0.22360E-04 0.20181E-02 0.18179E-03 0.27684E-02 0.76111E-04 0.47442E-04 0.68455E+00 0.00000E+00
 0.41600E-04 0.23558E+04 0.33125E-01 0.29226E-02 0.65611E-03 0.12110E+00 0.26982E-02 0.69962E-01 0.40834E-03 0.34742E-05 0.32725E-03 0.56953E-04 0.10729E-01 0.23564E-01 0.40730E-01 0.11451E-02 0.28164E-03 0.38275E-02 0.21308E-04 0.21374E-02 0.19314E-03 0.26497E-02 0.73248E-04 0.40853E-04 0.68335E+00 0.00000E+00
 0.41800E-04 0.23730E+04 0.34051E-01 0.32192E-02 0.72058E-03 0.11830E+00 0.29548E-02 0.72667E-01 0.38566E-03 0.31352E-05 0.36078E-03 0.62167E-04 0.10587E-01 0.21671E-01 0.42594E-01 0.12419E-02 0.29229E-03 0.37070E-02 0.20170E-04 0.22588E-02 0.20466E-03 0.25148E-02 0.69863E-04 0.34657E-04 0.68208E+00 0.00000E+00
 0.42000E-04 0.23915E+04 0.34969E-01 0.35628E-02 0.79638E-03 0.11531E+00 0.32540E-02 0.75526E-01 0.36145E-03 0.28055E-05 0.39885E-03 0.67985E-04 0.10395E-01 0.19733E-01 0.44574E-01 0.13507E-02 0.30316E-03 0.35758E-02 0.18943E-04 0.23801E-02 0.21606E-03 0.23631E-02 0.65903E-04 0.28891E-04 0.68075E+00 0.00000E+00
 0.42200E-04 0.24112E+04 0.35865E-01 0.39622E-02 0.88633E-03 0.11212E+00 0.36052E-02 0.78548E-01 0.33576E-03 0.24876E-05 0.44195E-03 0.74436E-04 0.10140E-01 0.17757E-01 0.46678E-01 0.14737E-02 0.31407E-03 0.34328E-02 0.17629E-04 0.24980E-02 0.22690E-03 0.21942E-02 0.61323E-04 0.23596E-04 0.67934E+00 0.00000E+00
 0.42400E-04 0.24324E+04 0.36720E-01 0.44284E-02 0.99414E-03 0.10871E+00 0.40201E-02 0.81740E-01 0.30871E-03 0.21839E-05 0.49046E-03 0.81519E-04 0.98127E-02 0.15755E-01 0.48914E-01 0.16138E-02 0.32476E-03 0.32772E-02 0.16229E-04 0.26077E-02 0.23657E-03 0.20083E-02 0.56097E-04 0.18811E-04 0.67786E+00 0.00000E+00
 0.42600E-04 0.24551E+04 0.37511E-01 0.49736E-02 0.11247E-02 0.10507E+00 0.45129E-02 0.85105E-01 0.28046E-03 0.18968E-05 0.54445E-03 0.89166E-04 0.93984E-02 0.13744E-01 0.51290E-01 0.17746E-02 0.33481E-03 0.31078E-02 0.14751E-04 0.27027E-02 0.24422E-03 0.18063E-02 0.50232E-04 0.14571E-04 0.67631E+00 0.00000E+00
 0.42800E-04 0.24793E+04 0.38205E-01 0.56114E-02 0.12845E-02 0.10117E+00 0.51010E-02 0.88640E-01 0.25129E-03 0.16289E-05 0.60342E-03 0.97202E-04 0.88845E-02 0.11748E-01 0.53809E-01 0.19606E-02 0.34364E-03 0.29237E-02 0.13204E-04 0.27742E-02 0.24872E-03 0.15902E-02 0.43788E-04 0.10906E-04 0.67469E+00 0.00000E+00
 0.43000E-04 0.25052E+04 0.38766E-01 0.63557E-02 0.14822E-02 0.97002E-01 0.58048E-02 0.92334E-01 0.22158E-03 0.13825E-05 0.66586E-03 0.10529E-03 0.82597E-02 0.97976E-02 0.56469E-01 0.21777E-02 0.35042E-03 0.27240E-02 0.11605E-04 0.28103E-02 0.24867E-03 0.13635E-02 0.36900E-04 0.78349E-05 0.67300E+00 0.00000E+00
 0.43200E-04 0.25326E+04 0.39146E-01 0.72188E-02 0.17293E-02 0.92572E-01 0.66473E-02 0.96159E-01 0.19183E-03 0.11598E-05 0.72868E-03 0.11285E-03 0.75173E-02 0.79319E-02 0.59258E-01 0.24328E-02 0.35404E-03 0.25078E-02 0.99783E-05 0.27966E-02 0.24249E-03 0.11316E-02 0.29798E-04 0.53589E-05 0.67127E+00 0.00000E+00
 0.43400E-04 0.25614E+04 0.39297E-01 0.82079E-02 0.20409E-02 0.87889E-01 0.76526E-02 0.10007E+00 0.16266E-03 0.96256E-06 0.78647E-03 0.11899E-03 0.66600E-02 0.61967E-02 0.62152E-01 0.27347E-02 0.35310E-03 0.22749E-02 0.83553E-05 0.27166E-02 0.22868E-03 0.90177E-03 0.22808E-04 0.34571E-05 0.66952E+00 0.00000E+00
 0.43600E-04 0.25911E+04 0.39166E-01 0.93204E-02 0.24362E-02 0.82987E-01 0.88431E-02 0.10400E+00 0.13479E-03 0.79222E-06 0.83092E-03 0.12253E-03 0.57049E-02 0.46405E-02 0.65103E-01 0.30938E-02 0.34598E-03 0.20261E-02 0.67768E-05 0.25542E-02 0.20631E-03 0.68340E-03 0.16333E-04 0.20810E-05 0.66777E+00 0.00000E+00
 0.43800E-04 0.26211E+04 0.38715E-01 0.10539E-01 0.29388E-02 0.77926E-01 0.10234E-01 0.10787E+00 0.10891E-03 0.64964E-06 0.85090E-03 0.12204E-03 0.46878E-02 0.33077E-02 0.68038E-01 0.35214E-02 0.33098E-03 0.17633E-02 0.52909E-05 0.22985E-02 0.17568E-03 0.48675E-03 0.10778E-04 0.11554E-05 0.66607E+00 0.00000E+00
 0.44000E-04 0.26505E+04 0.37921E-01 0.11825E-01 0.35750E-02 0.72801E-01 0.11826E-01 0.11156E+00 0.85698E-04 0.53493E-06 0.83401E-03 0.11618E-03 0.36635E-02 0.22287E-02 0.70848E-01 0.40297E-02 0.30671E-03 0.14901E-02 0.39481E-05 0.19520E-02 0.13899E-03 0.32141E-03 0.64447E-05 0.58459E-06 0.66447E+00 0.00000E+00
 0.44200E-04 0.26780E+04 0.36794E-01 0.13123E-01 0.43699E-02 0.67732E-01 0.13603E-01 0.11496E+00 0.65612E-04 0.44739E-06 0.77047E-03 0.10424E-03 0.26987E-02 0.14113E-02 0.73394E-01 0.46294E-02 0.27257E-03 0.12129E-02 0.27944E-05 0.15377E-02 0.10037E-03 0.19377E-03 0.34314E-05 0.26636E-06 0.66302E+00 0.00000E+00
 0.44400E-04 0.27024E+04 0.35376E-01 0.14364E-01 0.53392E-02 0.62861E-01 0.15523E-01 0.11798E+00 0.48895E-04 0.38551E-06 0.65887E-03 0.86704E-04 0.18573E-02 0.83666E-03 0.75515E-01 0.53277E-02 0.22937E-03 0.94084E-03 0.18609E-05 0.11022E-02 0.64962E-04 0.10492E-03 0.15987E-05 0.10804E-06 0.66178E+00 0.00000E+00
 0.44600E-04 0.27223E+04 0.33741E-01 0.15484E-01 0.64775E-02 0.58332E-01 0.17521E-01 0.12056E+00 0.35553E-04 0.34710E-06 0.51137E-03 0.65640E-04 0.11836E-02 0.46346E-03 0.77066E-01 0.61264E-02 0.17992E-03 0.68617E-03 0.11562E-05 0.70474E-03 0.37017E-04 0.50180E-04 0.64077E-06 0.38542E-07 0.66078E+00 0.00000E+00
 0.44800E-04 0.27372E+04 0.31989E-01 0.16440E-01 0.77483E-02 0.54263E-01 0.19513E-01 0.12265E+00 0.25415E-04 0.32938E-06 0.35336E-03 0.44422E-04 0.69231E-03 0.23986E-03 0.77959E-01 0.70197E-02 0.12921E-03 0.46306E-03 0.66425E-06 0.39522E-03 0.18286E-04 0.20866E-04 0.21728E-06 0.11923E-07 0.66003E+00 0.00000E+00
 0.45000E-04 0.27470E+04 0.30238E-01 0.17221E-01 0.90817E-02 0.50729E-01 0.21404E-01 0.12428E+00 0.18187E-04 0.32872E-06 0.21413E-03 0.26488E-04 0.36860E-03 0.11603E-03 0.78201E-01 0.79942E-02 0.83437E-04 0.28442E-03 0.34982E-06 0.19232E-03 0.77443E-05 0.74524E-05 0.61398E-07 0.31485E-08 0.65953E+00 0.00000E+00
 0.45200E-04 0.27528E+04 0.28613E-01 0.17848E-01 0.10389E-01 0.47754E-01 0.23104E-01 0.12546E+00 0.13447E-04 0.34045E-06 0.11301E-03 0.13825E-04 0.17771E-03 0.52492E-04 0.77899E-01 0.90313E-02 0.47814E-04 0.15688E-03 0.16783E-06 0.81059E-04 0.28002E-05 0.22762E-05 0.14312E-07 0.69980E-09 0.65924E+00 0.00000E+00
 0.45400E-04 0.27558E+04 0.27221E-01 0.18361E-01 0.11590E-01 0.45308E-01 0.24551E-01 0.12626E+00 0.10637E-04 0.35920E-06 0.52138E-04 0.63395E-05 0.77613E-04 0.22220E-04 0.77211E-01 0.10110E-01 0.24213E-04 0.77221E-04 0.73260E-07 0.29822E-04 0.86870E-06 0.59889E-06 0.27514E-08 0.13016E-09 0.65908E+00 0.00000E+00
 0.45600E-04 0.27572E+04 0.26123E-01 0.18800E-01 0.12631E-01 0.43331E-01 0.25727E-01 0.12674E+00 0.91368E-05 0.37995E-06 0.21309E-04 0.25873E-05 0.30922E-04 0.88178E-05 0.76296E-01 0.11210E-01 0.10912E-04 0.34007E-04 0.29244E-07 0.97192E-05 0.23455E-06 0.13839E-06 0.44170E-09 0.20392E-10 0.65901E+00 0.00000E+00
 0.45800E-04 0.27580E+04 0.25328E-01 0.19194E-01 0.13496E-01 0.41746E-01 0.26649E-01 0.12696E+00 0.84008E-05 0.39922E-06 0.78659E-05 0.95759E-06 0.11372E-04 0.32924E-05 0.75272E-01 0.12312E-01 0.44607E-05 0.13539E-04 0.10785E-07 0.28579E-05 0.56278E-07 0.28859E-07 0.60595E-10 0.27402E-11 0.65899E+00 0.00000E+00
 0.46000E-04 0.27585E+04 0.24800E-01 0.19563E-01 0.14194E-01 0.40476E-01 0.27356E-01 0.12698E+00 0.80504E-05 0.41538E-06 0.26782E-05 0.32796E-06 0.39142E-05 0.11629E-05 0.74211E-01 0.13404E-01 0.17121E-05 0.49452E-05 0.37217E-08 0.77231E-06 0.12287E-07 0.55883E-08 0.73174E-11 0.32379E-12 0.65899E+00 0.00000E+00
 0.46200E-04 0.27591E+04 0.24488E-01 0.19915E-01 0.14751E-01 0.39452E-01 0.27896E-01 0.12686E+00 0.78731E-05 0.42811E-06 0.85770E-06 0.10588E-06 0.12778E-05 0.39107E-06 0.73154E-01 0.14473E-01 0.65909E-06 0.16842E-05 0.12174E-08 0.19502E-06 0.24959E-08 0.10295E-08 0.80414E-12 0.34589E-13 0.65900E+00 0.00000E+00
 0.46400E-04 0.27597E+04 0.24338E-01 0.20254E-01 0.15192E-01 0.38616E-01 0.28308E-01 0.12664E+00 0.77682E-05 0.43783E-06 0.26261E-06 0.32715E-07 0.40018E-06 0.12605E-06 0.72120E-01 0.15512E-01 0.28793E-06 0.54296E-06 0.38179E-09 0.46657E-07 0.48076E-09 0.18357E-09 0.82848E-13 0.34067E-14 0.65901E+00 0.00000E+00
 0.46600E-04 0.27603E+04 0.24303E-01 0.20583E-01 0.15545E-01 0.37923E-01 0.28627E-01 0.12636E+00 0.76935E-05 0.44513E-06 0.77844E-07 0.97886E-08 0.12132E-06 0.39187E-07 0.71120E-01 0.16515E-01 0.16505E-06 0.16796E-06 0.11584E-09 0.10693E-07 0.89091E-10 0.32032E-10 0.83654E-14 0.31925E-15 0.65902E+00 0.00000E+00
 0.46800E-04 0.27610E+04 0.24346E-01 0.20900E-01 0.15829E-01 0.37338E-01 0.28877E-01 0.12603E+00 0.76327E-05 0.45059E-06 0.22544E-07 0.28598E-08 0.35850E-07 0.11817E-07 0.70158E-01 0.17479E-01 0.12609E-06 0.50532E-07 0.34242E-10 0.23676E-08 0.16052E-10 0.55046E-11 0.86561E-15 0.29187E-16 0.65903E+00 0.00000E+00
 0.47000E-04 0.27618E+04 0.24442E-01 0.21205E-01 0.16062E-01 0.36835E-01 0.29077E-01 0.12569E+00 0.75795E-05 0.45470E-06 0.64185E-08 0.82054E-09 0.10377E-07 0.34734E-08 0.69237E-01 0.18402E-01 0.11398E-06 0.15080E-07 0.99127E-11 0.50987E-09 0.28327E-11 0.93494E-12 0.96357E-16 0.26937E-17 0.65904E+00 0.00000E+00
 0.47200E-04 0.27625E+04 0.24571E-01 0.21498E-01 0.16256E-01 0.36395E-01 0.29240E-01 0.12534E+00 0.75315E-05 0.45780E-06 0.18037E-08 0.23208E-09 0.29532E-08 0.99907E-09 0.68357E-01 0.19283E-01 0.11011E-06 0.46696E-08 0.28209E-11 0.10733E-09 0.49211E-12 0.15729E-12 0.11929E-16 0.26235E-18 0.65906E+00 0.00000E+00
 0.47400E-04 0.27632E+04 0.24720E-01 0.21778E-01 0.16421E-01 0.36004E-01 0.29376E-01 0.12498E+00 0.74873E-05 0.46018E-06 0.50159E-09 0.64866E-10 0.82847E-09 0.28214E-09 0.67520E-01 0.20121E-01 0.10871E-06 0.16758E-08 0.79138E-12 0.22171E-10 0.84470E-13 0.26254E-13 0.16469E-17 0.28443E-19 0.65907E+00 0.00000E+00
 0.47600E-04 0.27640E+04 0.24879E-01 0.22045E-01 0.16564E-01 0.35653E-01 0.29491E-01 0.12464E+00 0.74465E-05 0.46202E-06 0.13825E-09 0.17946E-10 0.22956E-09 0.78442E-10 0.66725E-01 0.20919E-01 0.10803E-06 0.82746E-09 0.21941E-12 0.45090E-11 0.14365E-13 0.43535E-14 0.24666E-18 0.35334E-20 0.65908E+00 0.00000E+00
 0.47800E-04 0.27647E+04 0.25043E-01 0.22299E-01 0.16689E-01 0.35334E-01 0.29591E-01 0.12430E+00 0.74086E-05 0.46347E-06 0.37818E-10 0.49218E-11 0.62933E-10 0.21517E-10 0.65971E-01 0.21675E-01 0.10756E-06 0.58857E-09 0.60310E-13 0.90515E-12 0.24254E-14 0.71805E-15 0.38282E-19 0.47380E-21 0.65909E+00 0.00000E+00
 0.48000E-04 0.27654E+04 0.25206E-01 0.22540E-01 0.16799E-01 0.35041E-01 0.29678E-01 0.12398E+00 0.73733E-05 0.46461E-06 0.10296E-10 0.13411E-11 0.17105E-10 0.58355E-11 0.65256E-01 0.22391E-01 0.10716E-06 0.52032E-09 0.16566E-13 0.17991E-12 0.40795E-15 0.11814E-15 0.61510E-20 0.71025E-22 0.65911E+00 0.00000E+00
 0.48200E-04 0.27661E+04 0.25365E-01 0.22767E-01 0.16899E-01 0.34771E-01 0.29756E-01 0.12367E+00 0.73404E-05 0.46553E-06 0.28111E-11 0.36509E-12 0.46262E-11 0.15677E-11 0.64580E-01 0.23069E-01 0.10678E-06 0.49937E-09 0.46586E-14 0.35462E-13 0.68373E-16 0.19381E-16 0.99568E-21 0.10958E-22 0.65912E+00 0.00000E+00
 0.48400E-04 0.27667E+04 0.25520E-01 0.22983E-01 0.16988E-01 0.34520E-01 0.29826E-01 0.12337E+00 0.73097E-05 0.46627E-06 0.79117E-12 0.10131E-12 0.12607E-11 0.41896E-12 0.63941E-01 0.23709E-01 0.10641E-06 0.49150E-09 0.14481E-14 0.69718E-14 0.11495E-16 0.31927E-17 0.16052E-21 0.15205E-23 0.65913E+00 0.00000E+00
 0.48600E-04 0.27674E+04 0.25668E-01 0.23186E-01 0.17070E-01 0.34287E-01 0.29889E-01 0.12310E+00 0.72811E-05 0.46687E-06 0.24987E-12 0.30561E-13 0.36028E-12 0.11260E-12 0.63338E-01 0.24314E-01 0.10605E-06 0.48732E-09 0.58934E-15 0.13810E-14 0.19651E-17 0.53638E-18 0.27543E-22 0.29244E-24 0.65915E+00 0.00000E+00
 0.48800E-04 0.27680E+04 0.25810E-01 0.23377E-01 0.17145E-01 0.34069E-01 0.29946E-01 0.12283E+00 0.72544E-05 0.46736E-06 0.10711E-12 0.11888E-13 0.12323E-12 0.32248E-13 0.62769E-01 0.24885E-01 0.10570E-06 0.48424E-09 0.36327E-15 0.31954E-15 0.44460E-18 0.12141E-18 0.43286E-23-0.41092E-25 0.65916E+00 0.00000E+00
 0.49000E-04 0.27686E+04 0.25944E-01 0.23556E-01 0.17213E-01 0.33866E-01 0.29999E-01 0.12259E+00 0.72295E-05 0.46775E-06 0.68631E-13 0.68444E-14 0.59454E-13 0.10739E-13 0.62233E-01 0.25422E-01 0.10536E-06 0.48158E-09 0.30243E-15 0.84253E-16 0.10240E-18 0.31731E-19 0.24342E-23 0.49203E-25 0.65917E+00 0.00000E+00
 0.49200E-04 0.27692E+04 0.26072E-01 0.23725E-01 0.17276E-01 0.33676E-01 0.30047E-01 0.12235E+00 0.72063E-05 0.46807E-06 0.58414E-13 0.54945E-14 0.42047E-13 0.48189E-14 0.61729E-01 0.25929E-01 0.10502E-06 0.47913E-09 0.28570E-15 0.31960E-16 0.58213E-19 0.12928E-19-0.33267E-24-0.34626E-25 0.65919E+00 0.00000E+00
 0.49400E-04 0.27698E+04 0.26192E-01 0.23883E-01 0.17334E-01 0.33498E-01 0.30092E-01 0.12214E+00 0.71848E-05 0.46832E-06 0.56856E-13 0.52883E-14 0.39208E-13 0.38557E-14 0.61254E-01 0.26406E-01 0.10470E-06 0.47684E-09 0.28290E-15 0.41767E-16 0.92007E-19 0.23828E-19 0.87722E-24 0.18837E-26 0.65920E+00 0.00000E+00
 0.49600E-04 0.27703E+04 0.26305E-01 0.24031E-01 0.17387E-01 0.33331E-01 0.30133E-01 0.12193E+00 0.71648E-05 0.46851E-06 0.55474E-13 0.50789E-14 0.36926E-13 0.31356E-14 0.60807E-01 0.26854E-01 0.10439E-06 0.47469E-09 0.28066E-15 0.19315E-16 0.20844E-19 0.87588E-20 0.12704E-23 0.46600E-25 0.65921E+00 0.00000E+00
 0.49800E-04 0.27709E+04 0.26411E-01 0.24169E-01 0.17436E-01 0.33175E-01 0.30172E-01 0.12174E+00 0.71462E-05 0.46865E-06 0.54554E-13 0.49990E-14 0.34947E-13 0.24209E-14 0.60387E-01 0.27276E-01 0.10408E-06 0.47266E-09 0.27857E-15 0.20329E-17-0.69376E-21-0.29091E-20-0.80842E-24-0.37377E-25 0.65923E+00 0.00000E+00
 0.50000E-04 0.27714E+04 0.26511E-01 0.24298E-01 0.17481E-01 0.33029E-01 0.30207E-01 0.12156E+00 0.71290E-05 0.46875E-06 0.54474E-13 0.49552E-14 0.34397E-13 0.21816E-14 0.59993E-01 0.27672E-01 0.10379E-06 0.47076E-09 0.27792E-15 0.22215E-17 0.13066E-19-0.13239E-20-0.10768E-23-0.56627E-25 0.65924E+00 0.00000E+00
 0.50200E-04 0.27719E+04 0.26604E-01 0.24419E-01 0.17523E-01 0.32891E-01 0.30240E-01 0.12140E+00 0.71130E-05 0.46881E-06 0.54710E-13 0.49747E-14 0.34533E-13 0.22058E-14 0.59622E-01 0.28044E-01 0.10351E-06 0.46897E-09 0.27793E-15 0.43999E-17 0.15110E-19-0.30908E-22-0.13480E-23-0.86856E-25 0.65925E+00 0.00000E+00
 0.50400E-04 0.27724E+04 0.26692E-01 0.24531E-01 0.17561E-01 0.32763E-01 0.30270E-01 0.12124E+00 0.70983E-05 0.46884E-06 0.54928E-13 0.49982E-14 0.34812E-13 0.23273E-14 0.59274E-01 0.28394E-01 0.10324E-06 0.46729E-09 0.27806E-15 0.41651E-17 0.32666E-20 0.36811E-21-0.13633E-24-0.69546E-26 0.65927E+00 0.00000E+00
 0.50600E-04 0.27729E+04 0.26774E-01 0.24636E-01 0.17596E-01 0.32642E-01 0.30299E-01 0.12110E+00 0.70848E-05 0.46883E-06 0.55073E-13 0.50146E-14 0.34954E-13 0.24023E-14 0.58948E-01 0.28722E-01 0.10298E-06 0.46571E-09 0.27804E-15 0.18196E-17-0.78401E-20-0.12041E-20 0.38389E-24 0.25911E-25 0.65928E+00 0.00000E+00
 0.50800E-04 0.27733E+04 0.26850E-01 0.24733E-01 0.17628E-01 0.32529E-01 0.30325E-01 0.12096E+00 0.70723E-05 0.46880E-06 0.55184E-13 0.50263E-14 0.34961E-13 0.24242E-14 0.58642E-01 0.29030E-01 0.10273E-06 0.46423E-09 0.27790E-15-0.72921E-18-0.12166E-19-0.21068E-20 0.78172E-24 0.71694E-25 0.65929E+00 0.00000E+00
 0.51000E-04 0.27738E+04 0.26922E-01 0.24823E-01 0.17658E-01 0.32423E-01 0.30349E-01 0.12084E+00 0.70608E-05 0.46875E-06 0.55240E-13 0.50318E-14 0.34862E-13 0.24074E-14 0.58356E-01 0.29318E-01 0.10249E-06 0.46284E-09 0.27767E-15-0.41553E-17-0.16011E-19-0.32503E-20 0.11754E-23 0.11562E-24 0.65931E+00 0.00000E+00
 0.51200E-04 0.27742E+04 0.26988E-01 0.24907E-01 0.17685E-01 0.32324E-01 0.30372E-01 0.12072E+00 0.70503E-05 0.46867E-06 0.55344E-13 0.50396E-14 0.34784E-13 0.23664E-14 0.58087E-01 0.29589E-01 0.10226E-06 0.46154E-09 0.27745E-15-0.53444E-17-0.96995E-20-0.36968E-20 0.55009E-24 0.59409E-25 0.65932E+00 0.00000E+00
 0.51400E-04 0.27747E+04 0.27050E-01 0.24984E-01 0.17709E-01 0.32230E-01 0.30393E-01 0.12061E+00 0.70407E-05 0.46857E-06 0.55457E-13 0.50480E-14 0.34755E-13 0.23341E-14 0.57835E-01 0.29843E-01 0.10205E-06 0.46033E-09 0.27728E-15-0.52206E-17-0.51582E-20-0.30823E-20 0.26540E-24 0.48679E-25 0.65934E+00 0.00000E+00
 0.51600E-04 0.27751E+04 0.27108E-01 0.25056E-01 0.17732E-01 0.32143E-01 0.30412E-01 0.12051E+00 0.70319E-05 0.46845E-06 0.55599E-13 0.50595E-14 0.34810E-13 0.23211E-14 0.57599E-01 0.30080E-01 0.10184E-06 0.45920E-09 0.27717E-15-0.34945E-17-0.11290E-20-0.20529E-20-0.94282E-26 0.27604E-25 0.65935E+00 0.00000E+00
 0.51800E-04 0.27755E+04 0.27162E-01 0.25122E-01 0.17752E-01 0.32061E-01 0.30431E-01 0.12042E+00 0.70240E-05 0.46831E-06 0.55752E-13 0.50732E-14 0.34931E-13 0.23318E-14 0.57378E-01 0.30303E-01 0.10164E-06 0.45814E-09 0.27714E-15-0.11488E-17 0.36486E-21-0.16087E-20-0.23371E-24-0.20057E-25 0.65936E+00 0.00000E+00
 0.52000E-04 0.27759E+04 0.27212E-01 0.25183E-01 0.17771E-01 0.31985E-01 0.30447E-01 0.12034E+00 0.70167E-05 0.46816E-06 0.55904E-13 0.50878E-14 0.35066E-13 0.23531E-14 0.57171E-01 0.30512E-01 0.10145E-06 0.45716E-09 0.27712E-15 0.11204E-17 0.31857E-21-0.82627E-21-0.19014E-24-0.11492E-25 0.65938E+00 0.00000E+00
 0.52200E-04 0.27763E+04 0.27258E-01 0.25239E-01 0.17787E-01 0.31913E-01 0.30463E-01 0.12026E+00 0.70102E-05 0.46800E-06 0.56041E-13 0.51014E-14 0.35180E-13 0.23759E-14 0.56978E-01 0.30707E-01 0.10126E-06 0.45624E-09 0.27708E-15 0.26522E-17-0.53878E-21-0.26634E-21-0.14841E-25 0.15184E-25 0.65939E+00 0.00000E+00
 0.52400E-04 0.27767E+04 0.27301E-01 0.25290E-01 0.17802E-01 0.31846E-01 0.30478E-01 0.12018E+00 0.70044E-05 0.46782E-06 0.56158E-13 0.51127E-14 0.35255E-13 0.23904E-14 0.56797E-01 0.30890E-01 0.10109E-06 0.45539E-09 0.27702E-15 0.33282E-17-0.55098E-21-0.49435E-21-0.12156E-26-0.14997E-25 0.65940E+00 0.00000E+00
 0.52600E-04 0.27771E+04 0.27341E-01 0.25337E-01 0.17816E-01 0.31782E-01 0.30491E-01 0.12012E+00 0.69991E-05 0.46764E-06 0.56266E-13 0.51234E-14 0.35321E-13 0.24054E-14 0.56627E-01 0.31061E-01 0.10092E-06 0.45460E-09 0.27695E-15 0.36558E-17-0.14388E-20-0.44131E-21 0.13466E-24 0.84833E-27 0.65942E+00 0.00000E+00
 0.52800E-04 0.27774E+04 0.27378E-01 0.25380E-01 0.17828E-01 0.31723E-01 0.30504E-01 0.12006E+00 0.69944E-05 0.46744E-06 0.56366E-13 0.51326E-14 0.35368E-13 0.24099E-14 0.56468E-01 0.31222E-01 0.10076E-06 0.45386E-09 0.27687E-15 0.39009E-17-0.12228E-20-0.23200E-21 0.10640E-24 0.86420E-26 0.65943E+00 0.00000E+00
 0.53000E-04 0.27778E+04 0.27413E-01 0.25420E-01 0.17839E-01 0.31668E-01 0.30516E-01 0.12000E+00 0.69903E-05 0.46723E-06 0.56458E-13 0.51410E-14 0.35404E-13 0.24112E-14 0.56320E-01 0.31372E-01 0.10061E-06 0.45318E-09 0.27678E-15 0.39768E-17-0.10192E-20 0.65458E-22 0.90998E-25 0.26300E-25 0.65945E+00 0.00000E+00
 0.53200E-04 0.27781E+04 0.27444E-01 0.25456E-01 0.17848E-01 0.31616E-01 0.30526E-01 0.11995E+00 0.69867E-05 0.46701E-06 0.56544E-13 0.51491E-14 0.35437E-13 0.24116E-14 0.56181E-01 0.31513E-01 0.10047E-06 0.45255E-09 0.27669E-15 0.39855E-17-0.85785E-21 0.23839E-21 0.99202E-25 0.34601E-25 0.65946E+00 0.00000E+00
 0.53400E-04 0.27785E+04 0.27474E-01 0.25488E-01 0.17856E-01 0.31567E-01 0.30537E-01 0.11990E+00 0.69835E-05 0.46679E-06 0.56627E-13 0.51567E-14 0.35468E-13 0.24094E-14 0.56051E-01 0.31645E-01 0.10033E-06 0.45197E-09 0.27661E-15 0.41139E-17-0.11761E-21 0.15751E-21 0.33587E-25 0.76660E-26 0.65947E+00 0.00000E+00
 0.53600E-04 0.27788E+04 0.27501E-01 0.25517E-01 0.17864E-01 0.31521E-01 0.30546E-01 0.11986E+00 0.69808E-05 0.46656E-06 0.56708E-13 0.51642E-14 0.35500E-13 0.24085E-14 0.55930E-01 0.31768E-01 0.10020E-06 0.45144E-09 0.27653E-15 0.41686E-17 0.18458E-21 0.19570E-21 0.21280E-25 0.46652E-26 0.65949E+00 0.00000E+00
 0.53800E-04 0.27792E+04 0.27526E-01 0.25544E-01 0.17870E-01 0.31478E-01 0.30555E-01 0.11982E+00 0.69786E-05 0.46632E-06 0.56787E-13 0.51717E-14 0.35536E-13 0.24100E-14 0.55816E-01 0.31883E-01 0.10007E-06 0.45094E-09 0.27646E-15 0.42271E-17 0.30863E-21 0.12647E-21 0.99023E-26 0.30323E-26 0.65950E+00 0.00000E+00
 0.54000E-04 0.27795E+04 0.27549E-01 0.25567E-01 0.17875E-01 0.31437E-01 0.30563E-01 0.11979E+00 0.69767E-05 0.46608E-06 0.56865E-13 0.51792E-14 0.35573E-13 0.24119E-14 0.55710E-01 0.31991E-01 0.99949E-07 0.45049E-09 0.27640E-15 0.42959E-17 0.38047E-21 0.63445E-22 0.27615E-26 0.61739E-27 0.65951E+00 0.00000E+00
