# T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        H2O2       HO2        CH2        CH3        CH4        CO         HCO        CH2O       CH3O       C2H6       N2        
0.20000E-05 0.19973E+04 0.20860E-03 0.14259E-04 0.10216E-04 0.18989E+00 0.26366E-04 0.16871E-03 0.40946E-07 0.34058E-04 0.00000E+00 0.69083E-03 0.94265E-01 0.21792E-06 0.36561E-07 0.64557E-04 0.24150E-05 0.30271E-05 0.71462E+00
0.21000E-05 0.19971E+04 0.21976E-03 0.14327E-04 0.10503E-04 0.18987E+00 0.27177E-04 0.18220E-03 0.45268E-07 0.37439E-04 0.00000E+00 0.72847E-03 0.94218E-01 0.26234E-06 0.41950E-07 0.71892E-04 0.25675E-05 0.34751E-05 0.71461E+00
0.22000E-05 0.19970E+04 0.23095E-03 0.14398E-04 0.10792E-04 0.18985E+00 0.27999E-04 0.19609E-03 0.49799E-07 0.40973E-04 0.00000E+00 0.76620E-03 0.94170E-01 0.31314E-06 0.47856E-07 0.79657E-04 0.27230E-05 0.39605E-05 0.71460E+00
0.23000E-05 0.19969E+04 0.24218E-03 0.14472E-04 0.11080E-04 0.18984E+00 0.28833E-04 0.21040E-03 0.54537E-07 0.44660E-04 0.00000E+00 0.80402E-03 0.94121E-01 0.37094E-06 0.54309E-07 0.87857E-04 0.28815E-05 0.44840E-05 0.71459E+00
0.24000E-05 0.19968E+04 0.25346E-03 0.14550E-04 0.11369E-04 0.18982E+00 0.29679E-04 0.22512E-03 0.59480E-07 0.48497E-04 0.00000E+00 0.84194E-03 0.94072E-01 0.43636E-06 0.61341E-07 0.96500E-04 0.30434E-05 0.50464E-05 0.71458E+00
0.25000E-05 0.19967E+04 0.26477E-03 0.14632E-04 0.11659E-04 0.18980E+00 0.30538E-04 0.24028E-03 0.64626E-07 0.52484E-04 0.00000E+00 0.87995E-03 0.94022E-01 0.51008E-06 0.68985E-07 0.10559E-03 0.32086E-05 0.56486E-05 0.71457E+00
0.26000E-05 0.19966E+04 0.27614E-03 0.14718E-04 0.11949E-04 0.18978E+00 0.31410E-04 0.25586E-03 0.69972E-07 0.56619E-04 0.00000E+00 0.91806E-03 0.93972E-01 0.59281E-06 0.77274E-07 0.11514E-03 0.33773E-05 0.62910E-05 0.71456E+00
0.27000E-05 0.19965E+04 0.28755E-03 0.14808E-04 0.12239E-04 0.18976E+00 0.32297E-04 0.27189E-03 0.75517E-07 0.60901E-04 0.00000E+00 0.95625E-03 0.93920E-01 0.68529E-06 0.86244E-07 0.12514E-03 0.35496E-05 0.69745E-05 0.71455E+00
0.28000E-05 0.19964E+04 0.29901E-03 0.14902E-04 0.12530E-04 0.18973E+00 0.33197E-04 0.28836E-03 0.81258E-07 0.65328E-04 0.00000E+00 0.99454E-03 0.93869E-01 0.78832E-06 0.95932E-07 0.13562E-03 0.37256E-05 0.76996E-05 0.71454E+00
0.29000E-05 0.19963E+04 0.31053E-03 0.15000E-04 0.12821E-04 0.18971E+00 0.34112E-04 0.30529E-03 0.87192E-07 0.69899E-04 0.00000E+00 0.10329E-02 0.93816E-01 0.90273E-06 0.10638E-06 0.14657E-03 0.39056E-05 0.84671E-05 0.71453E+00
