# Spectral intensities against wavelength averaged over spatial strips 139 to 141
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
1.752240e+02 	 0.000000e+00
1.755060e+02 	 0.000000e+00
1.757880e+02 	 0.000000e+00
1.760700e+02 	 0.000000e+00
1.763520e+02 	 0.000000e+00
1.766340e+02 	 0.000000e+00
1.769160e+02 	 0.000000e+00
1.771980e+02 	 0.000000e+00
1.774810e+02 	 0.000000e+00
1.777630e+02 	 0.000000e+00
1.780450e+02 	 0.000000e+00
1.783260e+02 	 0.000000e+00
1.786080e+02 	 0.000000e+00
1.788900e+02 	 0.000000e+00
1.791720e+02 	 0.000000e+00
1.794540e+02 	 0.000000e+00
1.797360e+02 	 0.000000e+00
1.800180e+02 	 0.000000e+00
1.803000e+02 	 0.000000e+00
1.805820e+02 	 0.000000e+00
1.808640e+02 	 0.000000e+00
1.811460e+02 	 0.000000e+00
1.814280e+02 	 0.000000e+00
1.817090e+02 	 0.000000e+00
1.819910e+02 	 0.000000e+00
1.822730e+02 	 0.000000e+00
1.825550e+02 	 0.000000e+00
1.828370e+02 	 0.000000e+00
1.831190e+02 	 0.000000e+00
1.834000e+02 	 0.000000e+00
1.836820e+02 	 0.000000e+00
1.839640e+02 	 0.000000e+00
1.842460e+02 	 0.000000e+00
1.845270e+02 	 0.000000e+00
1.848090e+02 	 0.000000e+00
1.850910e+02 	 0.000000e+00
1.853730e+02 	 0.000000e+00
1.856540e+02 	 0.000000e+00
1.859360e+02 	 0.000000e+00
1.862180e+02 	 0.000000e+00
1.864990e+02 	 0.000000e+00
1.867810e+02 	 0.000000e+00
1.870630e+02 	 0.000000e+00
1.873440e+02 	 0.000000e+00
1.876260e+02 	 0.000000e+00
1.879070e+02 	 0.000000e+00
1.881890e+02 	 0.000000e+00
1.884710e+02 	 0.000000e+00
1.887520e+02 	 0.000000e+00
1.890340e+02 	 0.000000e+00
1.893150e+02 	 0.000000e+00
1.895970e+02 	 0.000000e+00
