# Intensities integrated over 425.18 nm to 479.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 3.231932e+00
7.055550e+00 	 3.498487e+00
7.095870e+00 	 3.517790e+00
7.136180e+00 	 3.560762e+00
7.176500e+00 	 3.163300e+00
7.216820e+00 	 2.860662e+00
7.257140e+00 	 2.296122e+00
7.297450e+00 	 1.658661e+00
7.337770e+00 	 1.112203e+00
7.378090e+00 	 6.542596e-01
7.418410e+00 	 3.889549e-01
7.458720e+00 	 2.686224e-01
7.499040e+00 	 1.972891e-01
7.539360e+00 	 1.605563e-01
7.579670e+00 	 1.654632e-01
7.619990e+00 	 1.484153e-01
7.660310e+00 	 1.270538e-01
7.700630e+00 	 1.106923e-01
7.740940e+00 	 1.212669e-01
7.781260e+00 	 1.125523e-01
7.821580e+00 	 9.757622e-02
7.861900e+00 	 9.911907e-02
7.902210e+00 	 9.298321e-02
7.942530e+00 	 1.014022e-01
7.982850e+00 	 8.681403e-02
8.023170e+00 	 9.015609e-02
8.063480e+00 	 8.794631e-02
8.103800e+00 	 9.355335e-02
8.144120e+00 	 7.856510e-02
8.184440e+00 	 8.645051e-02
8.224750e+00 	 7.809255e-02
8.265070e+00 	 7.973736e-02
8.305390e+00 	 8.276597e-02
8.345710e+00 	 6.791444e-02
8.386020e+00 	 7.172067e-02
8.426340e+00 	 7.482202e-02
8.466660e+00 	 7.166164e-02
8.506980e+00 	 7.138394e-02
8.547290e+00 	 6.189745e-02
8.587610e+00 	 5.978290e-02
8.627930e+00 	 5.106661e-02
8.668250e+00 	 5.370646e-02
8.708560e+00 	 4.959441e-02
8.748880e+00 	 5.546581e-02
8.789200e+00 	 5.453921e-02
8.829510e+00 	 5.536626e-02
8.869830e+00 	 4.043626e-02
8.910150e+00 	 3.931848e-02
8.950470e+00 	 4.252252e-02
8.990780e+00 	 4.089953e-02
9.031100e+00 	 4.150124e-02
9.071420e+00 	 3.326983e-02
9.111740e+00 	 3.400973e-02
9.152050e+00 	 3.422681e-02
9.192370e+00 	 3.325619e-02
9.232690e+00 	 3.550183e-02
9.273010e+00 	 3.482774e-02
9.313320e+00 	 3.413209e-02
9.353640e+00 	 2.559330e-02
9.393960e+00 	 2.787644e-02
9.434280e+00 	 2.951962e-02
9.474590e+00 	 2.997967e-02
9.514910e+00 	 3.035175e-02
9.555230e+00 	 3.169671e-02
9.595550e+00 	 2.774697e-02
