# Intensities integrated over 242.90 nm to 252.39 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 7.470343e-03
7.055550e+00 	 6.506949e-03
7.095870e+00 	 6.001029e-03
7.136180e+00 	 5.421396e-03
7.176500e+00 	 6.368493e-03
7.216820e+00 	 9.355686e-03
7.257140e+00 	 7.739825e-03
7.297450e+00 	 6.532002e-03
7.337770e+00 	 6.050899e-03
7.378090e+00 	 7.800982e-03
7.418410e+00 	 6.480003e-03
7.458720e+00 	 4.353741e-03
7.499040e+00 	 7.848261e-03
7.539360e+00 	 5.916506e-03
7.579670e+00 	 4.089453e-03
7.619990e+00 	 4.099129e-03
7.660310e+00 	 3.630882e-03
7.700630e+00 	 3.034808e-03
7.740940e+00 	 3.024243e-03
7.781260e+00 	 5.947244e-03
7.821580e+00 	 3.152405e-03
7.861900e+00 	 3.266265e-03
7.902210e+00 	 2.399548e-03
7.942530e+00 	 4.655771e-03
7.982850e+00 	 2.129378e-03
8.023170e+00 	 2.068436e-03
8.063480e+00 	 9.465147e-04
8.103800e+00 	 1.143836e-03
8.144120e+00 	 1.057718e-03
8.184440e+00 	 2.035514e-03
8.224750e+00 	 3.749486e-03
8.265070e+00 	 7.570109e-03
8.305390e+00 	 5.169816e-03
8.345710e+00 	 2.203206e-03
8.386020e+00 	 4.656105e-03
8.426340e+00 	 4.321587e-03
8.466660e+00 	 1.932142e-03
8.506980e+00 	 3.578199e-03
8.547290e+00 	 3.198197e-03
8.587610e+00 	 4.491984e-03
8.627930e+00 	 2.330558e-03
8.668250e+00 	 1.651228e-03
8.708560e+00 	 2.795254e-03
8.748880e+00 	 1.818377e-03
8.789200e+00 	 2.189606e-03
8.829510e+00 	 4.283526e-03
8.869830e+00 	 2.083400e-03
8.910150e+00 	 1.852565e-03
8.950470e+00 	 2.231240e-03
8.990780e+00 	 2.176338e-03
9.031100e+00 	 2.728602e-03
9.071420e+00 	 2.861537e-03
9.111740e+00 	 2.631992e-03
9.152050e+00 	 3.300971e-03
9.192370e+00 	 4.566431e-03
9.232690e+00 	 3.495383e-03
9.273010e+00 	 2.782528e-03
9.313320e+00 	 3.250035e-03
9.353640e+00 	 2.180851e-03
9.393960e+00 	 1.722012e-03
9.434280e+00 	 1.382828e-03
9.474590e+00 	 2.347032e-03
9.514910e+00 	 2.038563e-03
9.555230e+00 	 2.057777e-03
9.595550e+00 	 1.630792e-03
9.635860e+00 	 2.929665e-03
9.676180e+00 	 4.199226e-03
9.716500e+00 	 2.888375e-03
9.756820e+00 	 4.517752e-03
9.797130e+00 	 5.285619e-03
9.837450e+00 	 2.413599e-03
9.877770e+00 	 2.163940e-03
9.918090e+00 	 2.351746e-03
9.958400e+00 	 3.917585e-03
9.998720e+00 	 3.463381e-03
1.003900e+01 	 2.398618e-03
1.007940e+01 	 4.204660e-03
1.011970e+01 	 4.060289e-03
1.016000e+01 	 3.043777e-03
1.020030e+01 	 2.231372e-03
1.024060e+01 	 4.712381e-03
1.028090e+01 	 0.000000e+00
