# Intensities integrated over 190.44 nm to 239.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 2.188496e-01
7.055550e+00 	 2.234955e-01
7.095870e+00 	 1.752835e-01
7.136180e+00 	 1.929691e-01
7.176500e+00 	 2.021363e-01
7.216820e+00 	 2.013437e-01
7.257140e+00 	 2.182881e-01
7.297450e+00 	 2.106310e-01
7.337770e+00 	 1.603368e-01
7.378090e+00 	 1.580352e-01
7.418410e+00 	 1.816592e-01
7.458720e+00 	 1.764667e-01
7.499040e+00 	 1.625082e-01
7.539360e+00 	 1.425201e-01
7.579670e+00 	 1.495093e-01
7.619990e+00 	 1.342077e-01
7.660310e+00 	 1.432045e-01
7.700630e+00 	 1.164203e-01
7.740940e+00 	 1.038530e-01
7.781260e+00 	 9.469404e-02
7.821580e+00 	 8.470187e-02
7.861900e+00 	 1.083672e-01
7.902210e+00 	 1.197024e-01
7.942530e+00 	 1.131875e-01
7.982850e+00 	 1.193360e-01
8.023170e+00 	 1.210481e-01
8.063480e+00 	 1.148046e-01
8.103800e+00 	 9.624964e-02
8.144120e+00 	 1.464349e-01
8.184440e+00 	 7.502254e-02
8.224750e+00 	 7.719136e-02
8.265070e+00 	 9.366415e-02
8.305390e+00 	 1.244893e-01
8.345710e+00 	 9.785195e-02
8.386020e+00 	 9.292677e-02
8.426340e+00 	 8.401287e-02
8.466660e+00 	 1.461635e-01
8.506980e+00 	 1.262008e-01
8.547290e+00 	 8.029756e-02
8.587610e+00 	 1.062266e-01
8.627930e+00 	 1.153633e-01
8.668250e+00 	 1.258039e-01
8.708560e+00 	 1.253817e-01
8.748880e+00 	 1.257685e-01
8.789200e+00 	 8.911983e-02
8.829510e+00 	 9.269256e-02
8.869830e+00 	 8.568421e-02
8.910150e+00 	 7.575558e-02
8.950470e+00 	 7.099828e-02
8.990780e+00 	 8.453938e-02
9.031100e+00 	 1.061759e-01
9.071420e+00 	 1.265100e-01
9.111740e+00 	 1.027601e-01
9.152050e+00 	 7.168067e-02
9.192370e+00 	 8.152284e-02
9.232690e+00 	 8.787104e-02
9.273010e+00 	 8.390728e-02
9.313320e+00 	 1.052655e-01
9.353640e+00 	 1.043620e-01
9.393960e+00 	 9.607928e-02
9.434280e+00 	 9.371199e-02
9.474590e+00 	 9.229282e-02
9.514910e+00 	 7.418516e-02
9.555230e+00 	 6.216197e-02
