# Intensities integrated over 485.06 nm to 569.75 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
3.870640e+00 	 4.203426e-01
3.892880e+00 	 4.086175e-01
3.915130e+00 	 4.111198e-01
3.937370e+00 	 4.088278e-01
3.959620e+00 	 3.930893e-01
3.981860e+00 	 3.983761e-01
4.004110e+00 	 3.710295e-01
4.026350e+00 	 3.651388e-01
4.048600e+00 	 3.634968e-01
4.070840e+00 	 3.609296e-01
4.093090e+00 	 3.418329e-01
4.115330e+00 	 3.242214e-01
4.137580e+00 	 3.206116e-01
4.159820e+00 	 3.118670e-01
4.182070e+00 	 3.119369e-01
4.204310e+00 	 2.997186e-01
4.226560e+00 	 2.975029e-01
4.248800e+00 	 2.835769e-01
4.271050e+00 	 2.800879e-01
4.293290e+00 	 2.800399e-01
4.315540e+00 	 2.802029e-01
4.337780e+00 	 2.764914e-01
4.360030e+00 	 2.782486e-01
4.382270e+00 	 2.752153e-01
4.404520e+00 	 2.704941e-01
4.426760e+00 	 2.693011e-01
4.449010e+00 	 2.702154e-01
4.471250e+00 	 2.657077e-01
4.493500e+00 	 2.651382e-01
4.515740e+00 	 2.646995e-01
4.537990e+00 	 2.582375e-01
4.560230e+00 	 2.615701e-01
4.582480e+00 	 2.694038e-01
4.604720e+00 	 2.729209e-01
4.626970e+00 	 2.787134e-01
4.649210e+00 	 2.751164e-01
4.671460e+00 	 2.722796e-01
4.693700e+00 	 2.825418e-01
4.715950e+00 	 2.856512e-01
4.738190e+00 	 2.731686e-01
4.760440e+00 	 2.831887e-01
4.782680e+00 	 2.656598e-01
4.804930e+00 	 2.854092e-01
4.827170e+00 	 2.888449e-01
4.849420e+00 	 2.971040e-01
4.871660e+00 	 2.957912e-01
4.893910e+00 	 2.979086e-01
4.916150e+00 	 2.990154e-01
4.938400e+00 	 2.898844e-01
4.960640e+00 	 2.935456e-01
4.982890e+00 	 2.965725e-01
5.005130e+00 	 2.921244e-01
5.027380e+00 	 2.995129e-01
5.049620e+00 	 3.052633e-01
5.071870e+00 	 3.058032e-01
5.094110e+00 	 3.134436e-01
5.116360e+00 	 3.094697e-01
5.138600e+00 	 3.066279e-01
5.160850e+00 	 3.156368e-01
5.183090e+00 	 3.074130e-01
5.205340e+00 	 3.114456e-01
5.227580e+00 	 3.009548e-01
5.249830e+00 	 3.135354e-01
5.272070e+00 	 3.115694e-01
5.294320e+00 	 3.152288e-01
5.316560e+00 	 3.163183e-01
5.338810e+00 	 3.166786e-01
5.361050e+00 	 3.243393e-01
5.383300e+00 	 3.322165e-01
5.405540e+00 	 3.334774e-01
5.427790e+00 	 3.416425e-01
5.450030e+00 	 3.334841e-01
5.472280e+00 	 3.224426e-01
5.494520e+00 	 3.299679e-01
5.516770e+00 	 3.414590e-01
5.539010e+00 	 3.366787e-01
5.561260e+00 	 3.479928e-01
5.583510e+00 	 3.461617e-01
5.605750e+00 	 3.485606e-01
5.628000e+00 	 3.488590e-01
5.650240e+00 	 3.393397e-01
5.672490e+00 	 3.510126e-01
5.694730e+00 	 3.397153e-01
5.716980e+00 	 3.458886e-01
5.739220e+00 	 3.506350e-01
5.761470e+00 	 3.615506e-01
5.783710e+00 	 3.604635e-01
5.805960e+00 	 3.681094e-01
5.828200e+00 	 3.680456e-01
5.850450e+00 	 3.786364e-01
5.872690e+00 	 3.775288e-01
5.894940e+00 	 3.687210e-01
5.917180e+00 	 3.662868e-01
5.939430e+00 	 3.861771e-01
5.961670e+00 	 3.946052e-01
5.983920e+00 	 4.248347e-01
6.006160e+00 	 4.001385e-01
6.028410e+00 	 4.123261e-01
6.050650e+00 	 4.290757e-01
6.072900e+00 	 4.149561e-01
6.095140e+00 	 4.213690e-01
6.117390e+00 	 4.359125e-01
6.139630e+00 	 4.278809e-01
6.161880e+00 	 4.298902e-01
6.184120e+00 	 4.486042e-01
6.206370e+00 	 4.542028e-01
6.228610e+00 	 4.545098e-01
6.250860e+00 	 4.599965e-01
6.273100e+00 	 4.698915e-01
6.295350e+00 	 4.653078e-01
6.317590e+00 	 4.900076e-01
6.339840e+00 	 4.920269e-01
6.362080e+00 	 4.961799e-01
6.384330e+00 	 5.158513e-01
6.406570e+00 	 4.981228e-01
6.428820e+00 	 5.078788e-01
6.451060e+00 	 5.238788e-01
6.473310e+00 	 5.253301e-01
6.495550e+00 	 5.264226e-01
6.517800e+00 	 5.433884e-01
6.540040e+00 	 5.570439e-01
6.562290e+00 	 5.685838e-01
6.584530e+00 	 5.760614e-01
6.606780e+00 	 5.980437e-01
6.629020e+00 	 6.001217e-01
6.651270e+00 	 6.024331e-01
6.673510e+00 	 6.172836e-01
6.695760e+00 	 6.227041e-01
6.718000e+00 	 6.210910e-01
6.740250e+00 	 6.294723e-01
6.762490e+00 	 6.505580e-01
6.784740e+00 	 6.586512e-01
6.806980e+00 	 6.748987e-01
6.829230e+00 	 6.877548e-01
6.851470e+00 	 7.201355e-01
6.873720e+00 	 7.450761e-01
6.895960e+00 	 7.505433e-01
6.918210e+00 	 7.604327e-01
6.940450e+00 	 7.842988e-01
6.962700e+00 	 7.934870e-01
6.984940e+00 	 8.105735e-01
7.007190e+00 	 8.328835e-01
7.029430e+00 	 8.611311e-01
7.051680e+00 	 8.705148e-01
7.073920e+00 	 9.133716e-01
7.096170e+00 	 9.503801e-01
7.118410e+00 	 1.005849e+00
7.140660e+00 	 1.052031e+00
7.162900e+00 	 1.074432e+00
7.185150e+00 	 1.117941e+00
7.207390e+00 	 1.168665e+00
7.229640e+00 	 1.215945e+00
7.251880e+00 	 1.258404e+00
7.274130e+00 	 1.337777e+00
7.296370e+00 	 1.388923e+00
