# Intensities integrated over 341.18 nm to 390.92 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 7.825981e+00
7.055550e+00 	 8.107646e+00
7.095870e+00 	 8.258674e+00
7.136180e+00 	 8.026819e+00
7.176500e+00 	 7.406579e+00
7.216820e+00 	 6.386441e+00
7.257140e+00 	 5.457578e+00
7.297450e+00 	 4.081026e+00
7.337770e+00 	 2.965426e+00
7.378090e+00 	 1.984991e+00
7.418410e+00 	 1.204317e+00
7.458720e+00 	 6.975867e-01
7.499040e+00 	 4.619040e-01
7.539360e+00 	 3.503242e-01
7.579670e+00 	 2.758567e-01
7.619990e+00 	 2.450793e-01
7.660310e+00 	 2.214396e-01
7.700630e+00 	 1.840095e-01
7.740940e+00 	 1.823591e-01
7.781260e+00 	 1.702731e-01
7.821580e+00 	 1.677961e-01
7.861900e+00 	 1.453960e-01
7.902210e+00 	 1.390788e-01
7.942530e+00 	 1.386067e-01
7.982850e+00 	 1.397328e-01
8.023170e+00 	 1.351476e-01
8.063480e+00 	 1.418741e-01
8.103800e+00 	 1.271056e-01
8.144120e+00 	 1.198345e-01
8.184440e+00 	 1.308639e-01
8.224750e+00 	 1.188210e-01
8.265070e+00 	 1.126041e-01
8.305390e+00 	 1.141251e-01
8.345710e+00 	 1.320352e-01
8.386020e+00 	 1.219819e-01
8.426340e+00 	 1.068118e-01
8.466660e+00 	 1.003599e-01
8.506980e+00 	 9.447352e-02
8.547290e+00 	 9.398270e-02
8.587610e+00 	 9.006093e-02
8.627930e+00 	 8.891540e-02
8.668250e+00 	 8.915446e-02
8.708560e+00 	 8.214373e-02
8.748880e+00 	 7.251058e-02
8.789200e+00 	 6.697799e-02
8.829510e+00 	 6.000321e-02
8.869830e+00 	 6.224449e-02
8.910150e+00 	 6.022905e-02
8.950470e+00 	 5.664450e-02
8.990780e+00 	 6.137489e-02
9.031100e+00 	 5.242606e-02
9.071420e+00 	 5.279503e-02
9.111740e+00 	 4.037996e-02
9.152050e+00 	 3.880604e-02
9.192370e+00 	 4.401014e-02
9.232690e+00 	 4.213718e-02
9.273010e+00 	 3.905259e-02
9.313320e+00 	 3.246800e-02
9.353640e+00 	 3.589146e-02
9.393960e+00 	 2.656574e-02
9.434280e+00 	 3.399855e-02
9.474590e+00 	 3.545635e-02
9.514910e+00 	 2.978436e-02
9.555230e+00 	 2.939072e-02
9.595550e+00 	 2.660552e-02
9.635860e+00 	 4.916130e-02
9.676180e+00 	 3.348853e-02
9.716500e+00 	 4.112758e-02
9.756820e+00 	 3.527535e-02
9.797130e+00 	 2.764285e-02
9.837450e+00 	 2.462791e-02
9.877770e+00 	 2.621679e-02
9.918090e+00 	 3.237535e-02
9.958400e+00 	 3.222278e-02
9.998720e+00 	 3.630742e-02
1.003900e+01 	 3.644964e-02
1.007940e+01 	 3.523269e-02
1.011970e+01 	 2.899490e-02
1.016000e+01 	 2.518177e-02
1.020030e+01 	 2.816007e-02
1.024060e+01 	 3.957938e-02
1.028090e+01 	 0.000000e+00
