# Spectral intensities against wavelength averaged over spatial strips 353 to 355
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
5.537220e+02 	 4.960451e+01
5.541670e+02 	 4.791456e+01
5.546120e+02 	 4.632283e+01
5.550580e+02 	 4.213691e+01
5.555030e+02 	 4.150699e+01
5.559490e+02 	 4.204547e+01
5.563940e+02 	 4.130717e+01
5.568400e+02 	 4.070435e+01
5.572850e+02 	 4.009813e+01
5.577310e+02 	 4.154763e+01
5.581760e+02 	 4.255008e+01
5.586210e+02 	 3.912277e+01
5.590670e+02 	 3.686387e+01
5.595120e+02 	 3.354155e+01
5.599580e+02 	 2.926419e+01
5.604030e+02 	 2.669032e+01
5.608480e+02 	 2.633133e+01
5.612940e+02 	 2.691723e+01
5.617390e+02 	 2.554563e+01
5.621850e+02 	 2.944707e+01
5.626300e+02 	 2.941320e+01
5.630750e+02 	 2.565400e+01
5.635210e+02 	 2.404872e+01
5.639660e+02 	 2.229104e+01
5.644110e+02 	 1.919901e+01
5.648570e+02 	 1.603587e+01
5.653020e+02 	 1.593088e+01
5.657480e+02 	 1.415627e+01
5.661930e+02 	 1.535176e+01
5.666380e+02 	 1.673352e+01
5.670830e+02 	 1.684189e+01
5.675290e+02 	 1.453557e+01
5.679740e+02 	 1.517904e+01
5.684190e+02 	 1.413933e+01
5.688650e+02 	 1.384808e+01
5.693100e+02 	 1.500632e+01
5.697550e+02 	 1.477264e+01
5.702010e+02 	 1.464395e+01
5.706460e+02 	 1.465749e+01
5.710910e+02 	 1.380405e+01
5.715360e+02 	 1.510453e+01
5.719820e+02 	 1.544320e+01
5.724270e+02 	 1.676400e+01
5.728720e+02 	 1.727877e+01
5.733170e+02 	 1.747520e+01
5.737630e+02 	 1.712299e+01
5.742080e+02 	 1.679787e+01
5.746530e+02 	 1.665901e+01
5.750980e+02 	 1.638131e+01
5.755440e+02 	 1.776984e+01
5.759890e+02 	 1.720765e+01
5.764340e+02 	 1.613069e+01
5.768790e+02 	 1.644227e+01
5.773250e+02 	 1.663869e+01
5.777700e+02 	 1.600539e+01
5.782150e+02 	 1.739392e+01
5.786600e+02 	 1.773597e+01
5.791050e+02 	 1.824397e+01
5.795500e+02 	 1.729909e+01
5.799960e+02 	 1.901613e+01
5.804410e+02 	 2.052997e+01
5.808860e+02 	 1.866731e+01
5.813310e+02 	 2.021501e+01
5.817760e+02 	 1.993053e+01
5.822210e+02 	 2.052659e+01
5.826670e+02 	 2.169837e+01
5.831120e+02 	 2.013035e+01
5.835570e+02 	 2.166451e+01
5.840020e+02 	 2.211832e+01
5.844470e+02 	 2.161709e+01
5.848920e+02 	 2.096008e+01
5.853370e+02 	 2.150195e+01
5.857820e+02 	 2.103797e+01
5.862270e+02 	 2.149856e+01
5.866730e+02 	 2.234184e+01
5.871180e+02 	 2.347976e+01
5.875630e+02 	 2.486152e+01
5.880080e+02 	 2.576237e+01
5.884530e+02 	 2.564384e+01
5.888980e+02 	 2.478363e+01
5.893430e+02 	 2.535259e+01
5.897880e+02 	 2.588768e+01
5.902330e+02 	 2.429256e+01
5.906780e+02 	 2.695787e+01
5.911230e+02 	 2.437045e+01
5.915680e+02 	 2.283629e+01
5.920130e+02 	 2.168144e+01
5.924580e+02 	 2.162048e+01
5.929030e+02 	 1.927352e+01
5.933480e+02 	 2.119376e+01
5.937930e+02 	 2.125811e+01
5.942380e+02 	 2.106168e+01
5.946830e+02 	 2.166451e+01
5.951280e+02 	 2.087541e+01
5.955730e+02 	 1.878923e+01
5.960180e+02 	 1.893147e+01
5.964630e+02 	 2.025227e+01
5.969080e+02 	 1.977813e+01
5.973530e+02 	 1.977813e+01
5.977980e+02 	 1.898565e+01
5.982430e+02 	 1.789853e+01
5.986880e+02 	 2.064851e+01
5.991330e+02 	 1.922949e+01
5.995780e+02 	 1.850136e+01
6.000230e+02 	 1.686560e+01
6.004680e+02 	 1.702139e+01
6.009130e+02 	 1.742101e+01
6.013580e+02 	 1.822027e+01
6.018030e+02 	 1.842008e+01
6.022480e+02 	 1.969008e+01
6.026920e+02 	 1.814237e+01
6.031370e+02 	 1.555835e+01
6.035820e+02 	 1.562947e+01
6.040270e+02 	 1.607989e+01
6.044720e+02 	 1.688253e+01
6.049170e+02 	 1.628987e+01
6.053620e+02 	 1.583944e+01
6.058070e+02 	 1.549739e+01
6.062520e+02 	 1.588347e+01
6.066960e+02 	 1.389888e+01
6.071410e+02 	 1.281515e+01
6.075860e+02 	 1.200912e+01
6.080310e+02 	 1.294723e+01
6.084760e+02 	 1.116923e+01
6.089210e+02 	 1.246632e+01
6.093650e+02 	 1.387179e+01
6.098100e+02 	 1.352296e+01
6.102550e+02 	 1.385485e+01
6.107000e+02 	 1.255099e+01
6.111450e+02 	 1.191429e+01
6.115900e+02 	 1.158816e+01
6.120340e+02 	 1.326219e+01
6.124790e+02 	 1.240875e+01
6.129240e+02 	 1.169416e+01
6.133690e+02 	 1.188652e+01
6.138130e+02 	 9.921579e+00
6.142580e+02 	 1.035710e+01
6.147030e+02 	 9.870440e+00
6.151480e+02 	 9.251019e+00
6.155920e+02 	 9.890760e+00
6.160370e+02 	 9.536853e+00
6.164820e+02 	 9.973733e+00
6.169270e+02 	 1.032391e+01
6.173710e+02 	 9.958493e+00
6.178160e+02 	 1.032121e+01
6.182610e+02 	 1.020640e+01
6.187060e+02 	 1.066461e+01
6.191500e+02 	 9.885341e+00
6.195950e+02 	 1.021046e+01
6.200400e+02 	 8.285141e+00
6.204840e+02 	 8.067040e+00
6.209290e+02 	 9.078637e+00
6.213740e+02 	 8.798560e+00
6.218190e+02 	 9.095571e+00
6.222630e+02 	 8.583168e+00
6.227080e+02 	 8.147643e+00
6.231530e+02 	 8.473101e+00
6.235970e+02 	 8.933349e+00
6.240420e+02 	 7.705344e+00
6.244870e+02 	 8.711861e+00
6.249310e+02 	 8.899483e+00
6.253760e+02 	 8.254323e+00
6.258200e+02 	 8.916077e+00
6.262650e+02 	 8.885936e+00
6.267100e+02 	 9.059333e+00
6.271540e+02 	 9.780693e+00
6.275990e+02 	 1.069611e+01
6.280440e+02 	 9.283531e+00
6.284880e+02 	 8.911336e+00
