# Intensities integrated over 757.15 nm to 797.07 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
3.870640e+00 	 2.978444e-02
3.892880e+00 	 2.884432e-02
3.915130e+00 	 2.829621e-02
3.937370e+00 	 2.784071e-02
3.959620e+00 	 3.030596e-02
3.981860e+00 	 3.142212e-02
4.004110e+00 	 3.052661e-02
4.026350e+00 	 2.664554e-02
4.048600e+00 	 3.201650e-02
4.070840e+00 	 2.940685e-02
4.093090e+00 	 2.658773e-02
4.115330e+00 	 2.658163e-02
4.137580e+00 	 2.931802e-02
4.159820e+00 	 3.134671e-02
4.182070e+00 	 2.922305e-02
4.204310e+00 	 2.795669e-02
4.226560e+00 	 2.992382e-02
4.248800e+00 	 3.199564e-02
4.271050e+00 	 2.897458e-02
4.293290e+00 	 3.068370e-02
4.315540e+00 	 2.938683e-02
4.337780e+00 	 3.398082e-02
4.360030e+00 	 3.314547e-02
4.382270e+00 	 3.134910e-02
4.404520e+00 	 3.094146e-02
4.426760e+00 	 3.272915e-02
4.449010e+00 	 3.104324e-02
4.471250e+00 	 2.881553e-02
4.493500e+00 	 3.045410e-02
4.515740e+00 	 3.187505e-02
4.537990e+00 	 3.337507e-02
4.560230e+00 	 3.058299e-02
4.582480e+00 	 3.214267e-02
4.604720e+00 	 3.268873e-02
4.626970e+00 	 3.246330e-02
4.649210e+00 	 3.291394e-02
4.671460e+00 	 3.366533e-02
4.693700e+00 	 3.297317e-02
4.715950e+00 	 3.421164e-02
4.738190e+00 	 3.485557e-02
4.760440e+00 	 3.551718e-02
4.782680e+00 	 3.405868e-02
4.804930e+00 	 3.412119e-02
4.827170e+00 	 3.448236e-02
4.849420e+00 	 3.427661e-02
4.871660e+00 	 3.257326e-02
4.893910e+00 	 3.488532e-02
4.916150e+00 	 3.445478e-02
4.938400e+00 	 3.423258e-02
4.960640e+00 	 3.830460e-02
4.982890e+00 	 3.738062e-02
5.005130e+00 	 3.637658e-02
5.027380e+00 	 3.540795e-02
5.049620e+00 	 3.367629e-02
5.071870e+00 	 3.414067e-02
5.094110e+00 	 3.769821e-02
5.116360e+00 	 3.826164e-02
5.138600e+00 	 3.788269e-02
5.160850e+00 	 3.848348e-02
5.183090e+00 	 3.845563e-02
5.205340e+00 	 3.828669e-02
5.227580e+00 	 3.526311e-02
5.249830e+00 	 3.781831e-02
5.272070e+00 	 3.954343e-02
5.294320e+00 	 3.889787e-02
5.316560e+00 	 3.684370e-02
5.338810e+00 	 4.130870e-02
5.361050e+00 	 4.353974e-02
5.383300e+00 	 4.032106e-02
5.405540e+00 	 4.373650e-02
5.427790e+00 	 4.595876e-02
5.450030e+00 	 4.432607e-02
5.472280e+00 	 4.166151e-02
5.494520e+00 	 4.501589e-02
5.516770e+00 	 4.696042e-02
5.539010e+00 	 5.187270e-02
5.561260e+00 	 4.984745e-02
5.583510e+00 	 4.887268e-02
5.605750e+00 	 4.915115e-02
5.628000e+00 	 4.597755e-02
5.650240e+00 	 4.945743e-02
5.672490e+00 	 4.915020e-02
5.694730e+00 	 5.063145e-02
5.716980e+00 	 4.953297e-02
5.739220e+00 	 5.012572e-02
5.761470e+00 	 5.113791e-02
5.783710e+00 	 5.303345e-02
5.805960e+00 	 5.410910e-02
5.828200e+00 	 5.600557e-02
5.850450e+00 	 5.635895e-02
5.872690e+00 	 5.937289e-02
5.894940e+00 	 6.095147e-02
5.917180e+00 	 6.099956e-02
5.939430e+00 	 6.585016e-02
5.961670e+00 	 6.371367e-02
5.983920e+00 	 6.789495e-02
6.006160e+00 	 7.115080e-02
6.028410e+00 	 7.123201e-02
6.050650e+00 	 7.324253e-02
6.072900e+00 	 7.736987e-02
6.095140e+00 	 7.897053e-02
6.117390e+00 	 8.564753e-02
6.139630e+00 	 8.760912e-02
6.161880e+00 	 8.744516e-02
6.184120e+00 	 9.444470e-02
6.206370e+00 	 1.028377e-01
6.228610e+00 	 1.105344e-01
6.250860e+00 	 1.109044e-01
