# Spectral intensities against wavelength averaged over spatial strips 174 to 176
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
2.423600e+02 	 2.692061e-01
2.426420e+02 	 5.180584e-01
2.429250e+02 	 3.570224e-01
2.432070e+02 	 7.121483e-01
2.434900e+02 	 4.259749e-01
2.437730e+02 	 2.478701e-01
2.440550e+02 	 4.073483e-01
2.443380e+02 	 3.535003e-01
2.446200e+02 	 7.416461e-01
2.449030e+02 	 3.525181e-01
2.451850e+02 	 5.107093e-01
2.454680e+02 	 4.037584e-01
2.457500e+02 	 2.639974e-01
2.460330e+02 	 5.245608e-01
2.463150e+02 	 1.583267e-01
2.465980e+02 	 4.193709e-01
2.468800e+02 	 5.410877e-01
2.471620e+02 	 4.864269e-01
2.474450e+02 	 4.332901e-01
2.477270e+02 	 5.715677e-01
2.480100e+02 	 2.937595e-01
2.482920e+02 	 4.653280e-01
2.485750e+02 	 4.837515e-01
2.488570e+02 	 3.609848e-01
2.491390e+02 	 7.224099e-01
2.494220e+02 	 3.602397e-01
2.497040e+02 	 5.483691e-01
2.499860e+02 	 7.012093e-01
2.502690e+02 	 5.467096e-01
2.505510e+02 	 5.114544e-01
2.508330e+02 	 5.288280e-01
2.511150e+02 	 7.857067e-01
2.513980e+02 	 4.268216e-01
2.516800e+02 	 4.424003e-01
2.519620e+02 	 4.432469e-01
2.522450e+02 	 5.790523e-01
2.525270e+02 	 5.614077e-01
2.528090e+02 	 3.566160e-01
2.530910e+02 	 6.627368e-01
2.533730e+02 	 3.907875e-01
2.536560e+02 	 5.106077e-01
2.539380e+02 	 5.092531e-01
2.542200e+02 	 3.054435e-01
2.545020e+02 	 2.720983e-01
2.547840e+02 	 4.744381e-01
2.550660e+02 	 7.118773e-01
2.553490e+02 	 2.888793e-01
2.556310e+02 	 5.761397e-01
2.559130e+02 	 5.582243e-01
2.561950e+02 	 6.263301e-01
2.564770e+02 	 4.052485e-01
2.567590e+02 	 3.372341e-01
2.570410e+02 	 5.743448e-01
2.573230e+02 	 4.052824e-01
2.576050e+02 	 5.568019e-01
2.578870e+02 	 4.732189e-01
2.581690e+02 	 2.694093e-01
2.584510e+02 	 6.230112e-01
2.587330e+02 	 3.033336e-01
2.590150e+02 	 5.228336e-01
2.592970e+02 	 3.035774e-01
2.595790e+02 	 6.068568e-01
2.598610e+02 	 3.360826e-01
2.601430e+02 	 3.364315e-01
2.604250e+02 	 4.375235e-01
2.607070e+02 	 6.563699e-01
2.609890e+02 	 3.872992e-01
2.612710e+02 	 3.357880e-02
2.615530e+02 	 6.234176e-01
2.618340e+02 	 6.061795e-01
2.621160e+02 	 4.217687e-01
2.623980e+02 	 3.703320e-01
2.626800e+02 	 6.234176e-01
2.629620e+02 	 4.543213e-01
2.632440e+02 	 5.732272e-01
2.635260e+02 	 5.230741e-01
2.638070e+02 	 3.376202e-01
2.640890e+02 	 4.726093e-01
2.643710e+02 	 4.885944e-01
2.646530e+02 	 5.213096e-01
2.649350e+02 	 5.390219e-01
2.652160e+02 	 5.900251e-01
2.654980e+02 	 6.566069e-01
2.657800e+02 	 3.707045e-01
2.660610e+02 	 3.198673e-01
2.663430e+02 	 3.879088e-01
2.666250e+02 	 4.047405e-01
2.669070e+02 	 3.708400e-01
2.671880e+02 	 5.561245e-01
2.674700e+02 	 4.549309e-01
2.677520e+02 	 3.038517e-01
2.680330e+02 	 4.045712e-01
2.683150e+02 	 4.048083e-01
2.685960e+02 	 5.063744e-01
2.688780e+02 	 4.555744e-01
2.691600e+02 	 -1.628309e-02
2.694410e+02 	 2.535360e-01
2.697230e+02 	 3.707384e-01
2.700040e+02 	 3.214963e-01
2.702860e+02 	 3.550243e-01
2.705680e+02 	 6.763173e-01
2.708490e+02 	 4.054856e-01
2.711310e+02 	 2.032508e-01
2.714120e+02 	 6.436021e-01
2.716940e+02 	 4.912021e-01
2.719750e+02 	 2.372021e-01
2.722570e+02 	 4.409101e-01
2.725380e+02 	 5.092869e-01
2.728200e+02 	 5.093547e-01
2.731010e+02 	 3.399875e-01
2.733820e+02 	 5.792555e-01
2.736640e+02 	 1.359408e-01
2.739450e+02 	 4.084117e-01
2.742270e+02 	 3.750733e-01
2.745080e+02 	 2.390987e-01
2.747900e+02 	 2.731855e-01
2.750710e+02 	 3.761571e-01
2.753520e+02 	 2.048256e-01
2.756340e+02 	 4.793149e-01
2.759150e+02 	 4.981143e-01
2.761960e+02 	 2.396067e-01
2.764780e+02 	 3.772747e-01
2.767590e+02 	 1.723475e-01
2.770400e+02 	 7.219357e-01
2.773220e+02 	 3.271859e-01
2.776030e+02 	 6.547443e-01
2.778840e+02 	 4.992624e-01
2.781650e+02 	 3.446645e-01
2.784470e+02 	 6.219275e-01
2.787280e+02 	 4.311565e-01
2.790090e+02 	 6.056715e-01
2.792900e+02 	 2.948026e-01
2.795720e+02 	 6.233499e-01
2.798530e+02 	 6.580971e-01
2.801340e+02 	 4.685115e-01
2.804150e+02 	 5.035635e-01
2.806960e+02 	 2.604414e-01
2.809770e+02 	 5.223256e-01
2.812590e+02 	 4.194387e-01
2.815400e+02 	 4.886621e-01
2.818210e+02 	 8.391821e-01
2.821020e+02 	 5.254075e-01
2.823830e+02 	 4.380315e-01
2.826640e+02 	 3.861139e-01
2.829450e+02 	 2.988733e-01
2.832260e+02 	 6.684941e-01
2.835070e+02 	 3.345688e-01
2.837880e+02 	 3.356525e-01
2.840700e+02 	 6.190488e-01
2.843510e+02 	 2.656163e-01
2.846320e+02 	 4.604851e-01
2.849130e+02 	 3.559387e-01
2.851940e+02 	 3.915664e-01
2.854750e+02 	 7.655221e-01
2.857560e+02 	 3.208697e-01
2.860370e+02 	 5.360416e-01
2.863170e+02 	 2.321458e-01
2.865980e+02 	 3.583093e-01
2.868790e+02 	 3.412405e-01
2.871600e+02 	 1.967992e-01
2.874410e+02 	 5.034957e-01
2.877220e+02 	 3.783584e-01
2.880030e+02 	 6.129867e-01
2.882840e+02 	 4.695275e-01
2.885650e+02 	 6.147816e-01
2.888460e+02 	 6.879336e-01
2.891260e+02 	 2.717123e+00
2.894070e+02 	 7.493677e+00
2.896880e+02 	 4.233672e+00
2.899690e+02 	 6.612128e+00
2.902500e+02 	 1.125762e+01
2.905310e+02 	 1.318395e+01
2.908110e+02 	 1.343829e+01
2.910920e+02 	 8.923189e+00
2.913730e+02 	 4.483269e+00
2.916540e+02 	 5.195147e+00
2.919340e+02 	 1.013562e+01
2.922150e+02 	 8.222488e+00
2.924960e+02 	 1.526709e+01
2.927760e+02 	 1.737021e+01
2.930570e+02 	 9.707203e+00
2.933380e+02 	 1.009938e+01
2.936190e+02 	 1.226143e+01
2.938990e+02 	 1.691640e+01
2.941800e+02 	 1.217168e+01
2.944610e+02 	 1.002013e+01
2.947410e+02 	 1.133043e+01
2.950220e+02 	 1.482649e+01
2.953020e+02 	 1.358087e+01
2.955830e+02 	 2.034709e+01
2.958640e+02 	 1.923627e+01
2.961440e+02 	 1.584283e+01
2.964250e+02 	 1.621536e+01
2.967050e+02 	 1.171177e+01
2.969860e+02 	 1.144253e+01
2.972660e+02 	 1.068798e+01
2.975470e+02 	 1.118176e+01
2.978270e+02 	 6.140365e+00
2.981080e+02 	 9.007179e+00
2.983880e+02 	 7.616613e+00
2.986690e+02 	 1.256047e+01
2.989490e+02 	 7.394448e+00
2.992300e+02 	 8.533045e+00
2.995100e+02 	 9.923272e+00
2.997910e+02 	 9.378696e+00
3.000710e+02 	 1.312266e+01
3.003520e+02 	 7.050024e+00
3.006320e+02 	 4.336627e+00
3.009120e+02 	 6.086179e+00
3.011930e+02 	 4.527973e+00
3.014730e+02 	 4.461256e+00
3.017540e+02 	 7.273883e+00
3.020340e+02 	 6.666653e+00
3.023140e+02 	 7.294203e+00
3.025950e+02 	 8.503581e+00
3.028750e+02 	 1.225973e+01
3.031550e+02 	 8.752840e+00
3.034360e+02 	 8.590280e+00
3.037160e+02 	 5.100659e+00
3.039960e+02 	 1.372853e+01
3.042760e+02 	 8.731843e+00
3.045570e+02 	 3.214963e+00
3.048370e+02 	 6.292427e+00
3.051170e+02 	 1.449155e+01
3.053970e+02 	 1.734651e+01
3.056780e+02 	 1.493486e+01
3.059580e+02 	 6.523397e+00
3.062380e+02 	 1.046819e+01
3.065180e+02 	 9.634051e+00
3.067980e+02 	 1.163320e+01
3.070790e+02 	 1.233153e+01
3.073590e+02 	 9.353973e+00
3.076390e+02 	 9.997101e+00
3.079190e+02 	 1.333466e+01
3.081990e+02 	 1.108862e+01
3.084790e+02 	 1.273725e+01
3.087590e+02 	 2.286000e+01
3.090390e+02 	 1.747859e+01
3.093200e+02 	 1.279483e+01
3.096000e+02 	 1.249104e+01
3.098800e+02 	 2.040467e+01
3.101600e+02 	 3.218688e+01
3.104400e+02 	 1.639993e+01
3.107200e+02 	 8.759952e+00
3.110000e+02 	 1.346302e+01
3.112800e+02 	 1.322832e+01
3.115600e+02 	 1.538901e+01
3.118400e+02 	 1.411901e+01
3.121200e+02 	 1.399371e+01
3.124000e+02 	 1.176799e+01
3.126800e+02 	 9.428141e+00
3.129600e+02 	 8.423317e+00
3.132400e+02 	 9.947317e+00
3.135190e+02 	 1.179847e+01
3.137990e+02 	 7.548880e+00
3.140790e+02 	 7.585456e+00
3.143590e+02 	 3.694515e+00
3.146390e+02 	 8.446008e+00
3.149190e+02 	 1.055082e+01
3.151990e+02 	 4.092448e+00
3.154790e+02 	 6.344581e+00
3.157580e+02 	 8.935720e+00
3.160380e+02 	 6.005576e+00
3.163180e+02 	 5.638800e+00
3.165980e+02 	 4.709160e+00
3.168780e+02 	 6.064504e+00
3.171570e+02 	 3.968157e+00
3.174370e+02 	 7.084229e+00
3.177170e+02 	 7.034784e+00
3.179970e+02 	 6.225032e+00
3.182760e+02 	 6.835648e+00
3.185560e+02 	 8.884920e+00
3.188360e+02 	 5.903299e+00
3.191160e+02 	 7.327053e+00
3.193950e+02 	 5.894155e+00
3.196750e+02 	 6.445165e+00
3.199550e+02 	 1.193021e+01
3.202340e+02 	 1.114247e+01
3.205140e+02 	 4.864947e+00
3.207940e+02 	 1.015255e+01
3.210730e+02 	 2.153920e+01
3.213530e+02 	 1.325745e+01
3.216330e+02 	 8.504597e+00
3.219120e+02 	 1.140595e+01
3.221920e+02 	 9.518565e+00
3.224710e+02 	 1.526269e+01
3.227510e+02 	 6.322229e+00
3.230300e+02 	 5.822019e+00
3.233100e+02 	 7.119789e+00
3.235900e+02 	 1.169416e+01
3.238690e+02 	 1.039470e+01
3.241490e+02 	 8.957056e+00
3.244280e+02 	 7.921075e+00
3.247080e+02 	 9.695349e+00
3.249870e+02 	 8.215037e+00
3.252670e+02 	 7.864179e+00
3.255460e+02 	 1.200201e+01
3.258250e+02 	 8.716603e+00
3.261050e+02 	 4.072805e+00
3.263840e+02 	 6.203696e+00
3.266640e+02 	 1.098669e+01
3.269430e+02 	 5.120301e+00
3.272230e+02 	 1.191294e+01
3.275020e+02 	 1.262211e+01
3.277810e+02 	 9.579187e+00
3.280610e+02 	 5.464048e+00
3.283400e+02 	 9.066107e+00
3.286190e+02 	 5.869432e+00
3.288990e+02 	 7.367016e+00
3.291780e+02 	 1.550755e+01
3.294570e+02 	 8.355923e+00
3.297370e+02 	 8.516789e+00
3.300160e+02 	 7.570555e+00
3.302950e+02 	 7.338568e+00
3.305740e+02 	 8.230616e+00
3.308540e+02 	 5.381752e+00
3.311330e+02 	 1.255573e+01
3.314120e+02 	 9.442704e+00
3.316910e+02 	 8.814139e+00
3.319710e+02 	 9.212411e+00
3.322500e+02 	 9.062381e+00
3.325290e+02 	 1.109675e+01
3.328080e+02 	 1.204637e+01
3.330870e+02 	 7.925477e+00
3.333670e+02 	 6.046216e+00
3.336460e+02 	 7.486904e+00
3.339250e+02 	 1.158071e+01
3.342040e+02 	 1.065818e+01
3.344830e+02 	 1.570702e+01
3.347620e+02 	 1.063413e+01
3.350410e+02 	 1.175986e+01
3.353200e+02 	 1.840010e+01
3.356000e+02 	 1.673013e+01
3.358790e+02 	 1.779016e+01
3.361580e+02 	 1.631019e+01
3.364370e+02 	 9.343136e+00
3.367160e+02 	 1.524000e+01
3.369950e+02 	 1.151196e+01
3.372740e+02 	 1.533449e+01
3.375530e+02 	 1.120716e+01
3.378320e+02 	 1.620520e+01
3.381110e+02 	 1.281345e+01
3.383900e+02 	 2.235539e+01
3.386690e+02 	 1.783419e+01
3.389480e+02 	 1.589363e+01
3.392270e+02 	 1.682394e+01
3.395060e+02 	 2.053336e+01
3.397840e+02 	 2.037757e+01
3.400630e+02 	 1.509031e+01
3.403420e+02 	 1.666240e+01
3.406210e+02 	 2.044700e+01
3.409000e+02 	 2.371005e+01
3.411790e+02 	 1.462363e+01
3.414580e+02 	 1.533821e+01
3.417370e+02 	 3.086608e+01
3.420150e+02 	 1.242195e+01
3.422940e+02 	 1.048546e+01
3.425730e+02 	 1.239520e+01
3.428520e+02 	 6.727275e+00
3.431310e+02 	 6.311053e+00
3.434090e+02 	 1.079737e+01
3.436880e+02 	 2.095331e+01
3.439670e+02 	 1.798083e+01
3.442460e+02 	 1.886712e+01
3.445240e+02 	 1.212494e+01
3.448030e+02 	 1.058977e+01
3.450820e+02 	 9.059672e+00
3.453610e+02 	 1.609615e+01
3.456390e+02 	 2.599267e+01
3.459180e+02 	 1.367434e+01
3.461970e+02 	 1.676908e+01
3.464750e+02 	 1.513501e+01
3.467540e+02 	 2.408259e+01
3.470330e+02 	 2.449237e+01
3.473110e+02 	 2.697819e+01
3.475900e+02 	 3.024293e+01
3.478680e+02 	 2.779776e+01
3.481470e+02 	 2.140712e+01
3.484260e+02 	 2.719493e+01
3.487040e+02 	 3.811355e+01
3.489830e+02 	 3.359235e+01
3.492610e+02 	 3.667421e+01
3.495400e+02 	 3.940725e+01
3.498180e+02 	 2.708656e+01
3.500970e+02 	 2.824819e+01
3.503760e+02 	 3.931920e+01
3.506540e+02 	 5.485723e+01
3.509320e+02 	 5.798651e+01
3.512110e+02 	 4.453467e+01
3.514890e+02 	 3.649811e+01
3.517680e+02 	 5.465064e+01
3.520460e+02 	 7.645739e+01
3.523250e+02 	 7.275915e+01
3.526030e+02 	 5.964597e+01
3.528820e+02 	 7.901432e+01
3.531600e+02 	 1.029784e+02
3.534380e+02 	 1.012749e+02
3.537170e+02 	 9.262533e+01
3.539950e+02 	 1.116279e+02
3.542740e+02 	 1.099888e+02
3.545520e+02 	 9.355328e+01
3.548300e+02 	 1.110149e+02
3.551090e+02 	 1.257131e+02
3.553870e+02 	 1.315043e+02
3.556650e+02 	 1.016779e+02
3.559440e+02 	 1.027515e+02
3.562220e+02 	 1.208363e+02
3.565000e+02 	 1.330960e+02
3.567780e+02 	 1.134330e+02
3.570570e+02 	 8.765371e+01
3.573350e+02 	 8.897451e+01
3.576130e+02 	 1.495213e+02
3.578910e+02 	 2.211155e+02
3.581700e+02 	 3.208528e+02
3.584480e+02 	 3.949869e+02
3.587260e+02 	 3.624411e+02
3.590040e+02 	 2.473960e+02
3.592820e+02 	 1.493520e+02
3.595610e+02 	 1.058943e+02
3.598390e+02 	 1.232374e+02
3.601170e+02 	 8.865955e+01
3.603950e+02 	 8.540157e+01
3.606730e+02 	 6.803136e+01
3.609510e+02 	 4.696629e+01
3.612290e+02 	 3.925485e+01
3.615070e+02 	 4.320709e+01
3.617850e+02 	 3.340947e+01
3.620630e+02 	 3.324691e+01
3.623420e+02 	 3.785955e+01
3.626200e+02 	 2.888827e+01
3.628980e+02 	 5.010912e+01
3.631760e+02 	 5.135880e+01
3.634540e+02 	 4.374557e+01
3.637320e+02 	 2.985347e+01
3.640100e+02 	 2.891536e+01
3.642880e+02 	 4.718304e+01
3.645660e+02 	 3.773763e+01
3.648440e+02 	 2.643971e+01
3.651220e+02 	 1.944624e+01
3.653990e+02 	 2.523067e+01
3.656770e+02 	 4.605528e+01
3.659550e+02 	 2.383875e+01
3.662330e+02 	 2.127504e+01
3.665110e+02 	 2.528485e+01
3.667890e+02 	 2.339848e+01
3.670670e+02 	 2.680208e+01
3.673450e+02 	 3.348397e+01
3.676230e+02 	 3.169581e+01
3.679000e+02 	 3.761909e+01
3.681780e+02 	 3.244765e+01
3.684560e+02 	 4.038600e+01
3.687340e+02 	 3.503507e+01
3.690120e+02 	 3.622379e+01
3.692890e+02 	 5.302165e+01
3.695670e+02 	 5.760720e+01
3.698450e+02 	 4.702048e+01
3.701230e+02 	 5.575131e+01
3.704010e+02 	 4.175760e+01
3.706780e+02 	 5.035296e+01
3.709560e+02 	 5.504011e+01
3.712340e+02 	 7.554637e+01
3.715110e+02 	 7.702973e+01
3.717890e+02 	 7.701619e+01
3.720670e+02 	 7.729728e+01
3.723440e+02 	 8.332216e+01
3.726220e+02 	 9.592395e+01
3.729000e+02 	 8.962136e+01
3.731770e+02 	 9.002776e+01
3.734550e+02 	 1.139004e+02
3.737330e+02 	 8.972973e+01
3.740100e+02 	 9.220539e+01
3.742880e+02 	 9.105053e+01
3.745650e+02 	 1.212765e+02
3.748430e+02 	 1.236811e+02
3.751210e+02 	 1.159933e+02
3.753980e+02 	 1.135888e+02
3.756760e+02 	 1.485053e+02
3.759530e+02 	 1.558883e+02
3.762310e+02 	 1.545675e+02
3.765080e+02 	 1.445091e+02
3.767860e+02 	 2.024211e+02
3.770630e+02 	 2.094992e+02
3.773410e+02 	 1.798659e+02
3.776180e+02 	 1.885357e+02
3.778960e+02 	 1.936496e+02
3.781730e+02 	 1.994747e+02
3.784510e+02 	 2.128520e+02
3.787280e+02 	 2.495635e+02
3.790050e+02 	 2.545757e+02
3.792830e+02 	 2.708656e+02
3.795600e+02 	 3.042581e+02
3.798380e+02 	 3.315547e+02
3.801150e+02 	 2.824141e+02
3.803920e+02 	 3.118443e+02
3.806700e+02 	 2.949448e+02
3.809470e+02 	 3.682323e+02
3.812240e+02 	 4.102269e+02
3.815020e+02 	 4.090077e+02
3.817790e+02 	 4.354915e+02
3.820560e+02 	 4.271264e+02
3.823340e+02 	 4.006088e+02
3.826110e+02 	 4.176437e+02
3.828880e+02 	 4.641427e+02
3.831650e+02 	 4.533392e+02
3.834430e+02 	 5.107432e+02
3.837200e+02 	 4.757589e+02
3.839970e+02 	 4.852416e+02
3.842740e+02 	 5.146379e+02
3.845520e+02 	 5.585629e+02
3.848290e+02 	 7.847923e+02
3.851060e+02 	 8.635661e+02
3.853830e+02 	 8.943171e+02
3.856600e+02 	 8.196411e+02
3.859370e+02 	 7.285059e+02
3.862150e+02 	 6.873579e+02
3.864920e+02 	 6.309021e+02
3.867690e+02 	 5.598499e+02
3.870460e+02 	 6.548120e+02
3.873230e+02 	 6.120384e+02
3.876000e+02 	 4.340691e+02
3.878770e+02 	 4.653280e+02
3.881540e+02 	 6.146461e+02
3.884310e+02 	 5.847419e+02
3.887080e+02 	 3.187192e+02
3.889850e+02 	 1.518581e+02
3.892620e+02 	 8.219101e+01
3.895390e+02 	 7.651496e+01
3.898160e+02 	 5.982547e+01
3.900930e+02 	 7.033429e+01
3.903700e+02 	 5.772235e+01
3.906470e+02 	 4.638717e+01
3.909240e+02 	 4.456515e+01
3.912010e+02 	 4.869011e+01
3.914780e+02 	 5.258139e+01
3.917550e+02 	 4.864269e+01
3.920320e+02 	 4.552696e+01
3.923090e+02 	 5.301149e+01
3.925860e+02 	 4.370493e+01
3.928630e+02 	 4.840224e+01
3.931400e+02 	 3.952917e+01
3.934160e+02 	 2.554901e+01
3.936930e+02 	 2.973493e+01
3.939700e+02 	 3.375829e+01
3.942470e+02 	 4.773168e+01
3.945240e+02 	 3.983736e+01
3.948010e+02 	 4.644813e+01
3.950770e+02 	 3.712125e+01
3.953540e+02 	 3.089656e+01
3.956310e+02 	 2.511552e+01
3.959080e+02 	 3.342979e+01
3.961840e+02 	 2.677499e+01
3.964610e+02 	 2.483443e+01
3.967380e+02 	 3.947499e+01
3.970150e+02 	 3.721269e+01
3.972910e+02 	 2.625005e+01
3.975680e+02 	 3.540760e+01
