# Intensities integrated over 400.06 nm to 479.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 4.561110e+00
7.055550e+00 	 4.883338e+00
7.095870e+00 	 4.973094e+00
7.136180e+00 	 4.955399e+00
7.176500e+00 	 4.478004e+00
7.216820e+00 	 4.109347e+00
7.257140e+00 	 3.249739e+00
7.297450e+00 	 2.382325e+00
7.337770e+00 	 1.619249e+00
7.378090e+00 	 9.879392e-01
7.418410e+00 	 5.997165e-01
7.458720e+00 	 4.007810e-01
7.499040e+00 	 2.942238e-01
7.539360e+00 	 2.315137e-01
7.579670e+00 	 2.346392e-01
7.619990e+00 	 2.123522e-01
7.660310e+00 	 1.844482e-01
7.700630e+00 	 1.676294e-01
7.740940e+00 	 1.794259e-01
7.781260e+00 	 1.721737e-01
7.821580e+00 	 1.358339e-01
7.861900e+00 	 1.416042e-01
7.902210e+00 	 1.355169e-01
7.942530e+00 	 1.475819e-01
7.982850e+00 	 1.327407e-01
8.023170e+00 	 1.324340e-01
8.063480e+00 	 1.298083e-01
8.103800e+00 	 1.374243e-01
8.144120e+00 	 1.191913e-01
8.184440e+00 	 1.286950e-01
8.224750e+00 	 1.198088e-01
8.265070e+00 	 1.180255e-01
8.305390e+00 	 1.202790e-01
8.345710e+00 	 1.157291e-01
8.386020e+00 	 1.037652e-01
8.426340e+00 	 1.109589e-01
8.466660e+00 	 1.059067e-01
8.506980e+00 	 1.035842e-01
8.547290e+00 	 9.016834e-02
8.587610e+00 	 8.791092e-02
8.627930e+00 	 7.582888e-02
8.668250e+00 	 8.007755e-02
8.708560e+00 	 7.750592e-02
8.748880e+00 	 7.721477e-02
8.789200e+00 	 7.847875e-02
8.829510e+00 	 7.702969e-02
8.869830e+00 	 5.938882e-02
8.910150e+00 	 5.835280e-02
8.950470e+00 	 5.877420e-02
8.990780e+00 	 5.931860e-02
9.031100e+00 	 5.977113e-02
9.071420e+00 	 4.750702e-02
9.111740e+00 	 5.163706e-02
9.152050e+00 	 4.993658e-02
9.192370e+00 	 4.995129e-02
9.232690e+00 	 4.971024e-02
9.273010e+00 	 4.665608e-02
9.313320e+00 	 4.639123e-02
9.353640e+00 	 3.703697e-02
9.393960e+00 	 3.767679e-02
9.434280e+00 	 3.910769e-02
9.474590e+00 	 4.318279e-02
9.514910e+00 	 4.376194e-02
9.555230e+00 	 4.578042e-02
9.595550e+00 	 3.668202e-02
9.635860e+00 	 3.873172e-02
9.676180e+00 	 3.493748e-02
9.716500e+00 	 3.713602e-02
9.756820e+00 	 3.929043e-02
9.797130e+00 	 3.345918e-02
9.837450e+00 	 3.363981e-02
9.877770e+00 	 3.868838e-02
9.918090e+00 	 3.495756e-02
9.958400e+00 	 3.379060e-02
9.998720e+00 	 4.288115e-02
1.003900e+01 	 3.574843e-02
1.007940e+01 	 3.716799e-02
1.011970e+01 	 3.790108e-02
1.016000e+01 	 4.466553e-02
1.020030e+01 	 3.494427e-02
1.024060e+01 	 6.562310e-02
1.028090e+01 	 0.000000e+00
