# Intensities integrated over 371.23 nm to 390.92 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
7.015230e+00 	 6.040512e+00
7.055550e+00 	 6.255302e+00
7.095870e+00 	 6.303809e+00
7.136180e+00 	 6.083774e+00
7.176500e+00 	 5.528575e+00
7.216820e+00 	 4.700022e+00
7.257140e+00 	 3.896771e+00
7.297450e+00 	 2.903684e+00
7.337770e+00 	 2.043608e+00
7.378090e+00 	 1.367276e+00
7.418410e+00 	 7.903723e-01
7.458720e+00 	 4.421504e-01
7.499040e+00 	 2.891964e-01
7.539360e+00 	 2.336502e-01
7.579670e+00 	 1.776528e-01
7.619990e+00 	 1.627213e-01
7.660310e+00 	 1.449211e-01
7.700630e+00 	 1.172945e-01
7.740940e+00 	 1.087475e-01
7.781260e+00 	 1.069047e-01
7.821580e+00 	 1.093931e-01
7.861900e+00 	 9.097489e-02
7.902210e+00 	 9.177122e-02
7.942530e+00 	 8.681830e-02
7.982850e+00 	 8.773604e-02
8.023170e+00 	 8.205516e-02
8.063480e+00 	 8.202828e-02
8.103800e+00 	 7.932583e-02
8.144120e+00 	 7.506914e-02
8.184440e+00 	 7.358283e-02
8.224750e+00 	 7.010937e-02
8.265070e+00 	 6.727070e-02
8.305390e+00 	 6.920286e-02
8.345710e+00 	 7.965079e-02
8.386020e+00 	 6.781930e-02
8.426340e+00 	 6.712751e-02
8.466660e+00 	 6.138778e-02
8.506980e+00 	 6.019435e-02
8.547290e+00 	 6.226277e-02
8.587610e+00 	 6.023739e-02
8.627930e+00 	 5.996972e-02
8.668250e+00 	 6.123474e-02
8.708560e+00 	 4.957732e-02
8.748880e+00 	 4.694485e-02
8.789200e+00 	 4.308587e-02
8.829510e+00 	 3.826468e-02
8.869830e+00 	 3.727404e-02
8.910150e+00 	 3.451566e-02
8.950470e+00 	 2.852956e-02
8.990780e+00 	 2.912495e-02
9.031100e+00 	 2.913232e-02
9.071420e+00 	 3.042490e-02
9.111740e+00 	 2.109394e-02
9.152050e+00 	 1.887408e-02
9.192370e+00 	 2.114407e-02
9.232690e+00 	 2.359118e-02
9.273010e+00 	 1.994123e-02
9.313320e+00 	 1.260954e-02
9.353640e+00 	 1.232134e-02
9.393960e+00 	 1.167002e-02
9.434280e+00 	 1.726937e-02
9.474590e+00 	 1.968855e-02
9.514910e+00 	 1.292091e-02
9.555230e+00 	 1.173547e-02
9.595550e+00 	 1.210077e-02
9.635860e+00 	 1.494657e-02
9.676180e+00 	 1.869202e-02
9.716500e+00 	 2.044918e-02
9.756820e+00 	 1.855265e-02
9.797130e+00 	 1.625316e-02
9.837450e+00 	 1.533900e-02
9.877770e+00 	 1.200856e-02
9.918090e+00 	 1.513819e-02
9.958400e+00 	 1.602088e-02
9.998720e+00 	 1.830985e-02
1.003900e+01 	 1.564068e-02
1.007940e+01 	 1.514263e-02
1.011970e+01 	 1.363829e-02
1.016000e+01 	 1.351040e-02
1.020030e+01 	 1.416248e-02
1.024060e+01 	 1.849247e-02
1.028090e+01 	 0.000000e+00
